S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),WIND DIR (Deg),WIND SPEED (Kt),SLP (hPa),MSLP (hPa/gpm),SUNSHINE (HH.MM),BATTERY (Volts),GPS
1,SOUTH_ANDAMAN,PORT_BLAIR,2018-08-30,00:00:00,0,1,25.0,24.9,25.6,,99.0,206,6,998.7,1007.7,0.0,12.5,L
2,SOUTH_ANDAMAN,PORT_BLAIR,2018-08-30,01:00:00,0,1,25.5,25.0,25.5,,99.0,204,6,999.2,1008.2,0.0,12.6,L
3,SOUTH_ANDAMAN,PORT_BLAIR,2018-08-30,02:00:00,0,1,26.1,25.5,26.2,,99.0,228,6,999.7,1008.7,0.0,12.8,L
4,SOUTH_ANDAMAN,PORT_BLAIR,2018-08-30,03:00:00,0,1,23.8,23.8,26.1,23.8,48.0,243,4,1000.3,1009.3,0.0,12.5,L
5,SOUTH_ANDAMAN,PORT_BLAIR,2018-08-30,04:00:00,0,0,21.0,20.8,24.1,,,228,11,1001.0,1010.1,0.0,12.4,L
6,SOUTH_ANDAMAN,PORT_BLAIR,2018-08-30,05:00:00,0,0,21.6,20.7,21.6,,,246,5,1000.6,1009.7,0.0,12.4,L
7,SOUTH_ANDAMAN,PORT_BLAIR,2018-08-30,06:00:00,0,0,23.0,21.7,23.0,,,238,4,1000.0,1009.1,0.0,12.4,L
8,SOUTH_ANDAMAN,PORT_BLAIR,2018-08-30,07:00:00,0,0,23.7,23.0,23.7,,,224,8,998.4,1007.4,0.0,12.5,L
9,SOUTH_ANDAMAN,PORT_BLAIR,2018-08-30,08:00:00,0,0,24.6,23.7,24.7,,,233,12,998.4,1007.4,0.0,12.6,L
10,SOUTH_ANDAMAN,PORT_BLAIR,2018-08-30,09:00:00,0,0,24.8,24.4,24.8,,,245,8,998.3,1007.3,0.0,12.5,L
11,SOUTH_ANDAMAN,PORT_BLAIR,2018-08-30,10:00:00,0,0,24.3,24.2,24.8,,,230,7,998.0,1007.0,0.0,12.4,L
12,SOUTH_ANDAMAN,PORT_BLAIR,2018-08-30,11:00:00,0,0,24.7,24.3,24.7,,,229,2,997.7,1006.7,0.0,12.4,L
13,SOUTH_ANDAMAN,PORT_BLAIR,2018-08-30,12:00:00,0,0,25.1,24.7,25.1,25.1,,229,6,998.0,1007.0,0.0,12.4,L
14,SOUTH_ANDAMAN,PORT_BLAIR,2018-08-31,01:00:00,0,1,26.7,26.2,26.7,,99.0,229,12,999.3,1008.2,0.0,12.5,L
15,SOUTH_ANDAMAN,PORT_BLAIR,2018-08-31,02:00:00,0,1,26.4,26.3,27.2,,99.0,232,22,999.3,1008.3,0.0,13.1,L
16,SOUTH_ANDAMAN,PORT_BLAIR,2018-08-31,03:00:00,0,1,27.7,26.1,27.7,,99.0,227,14,1000.1,1009.0,0.0,13.4,L
17,SOUTH_ANDAMAN,PORT_BLAIR,2018-08-31,04:00:00,0,0,28.0,27.7,28.1,,99.0,242,17,1000.2,1009.1,0.0,13.6,L
18,SOUTH_ANDAMAN,PORT_BLAIR,2018-08-31,05:00:00,0,0,28.6,27.8,28.8,,99.0,229,17,999.9,1008.8,0.0,13.7,L
19,SOUTH_ANDAMAN,PORT_BLAIR,2018-08-31,06:00:00,0,0,29.3,28.2,29.3,,99.0,229,18,999.2,1008.1,0.0,13.8,L
20,SOUTH_ANDAMAN,PORT_BLAIR,2018-08-31,07:00:00,0,0,28.5,28.2,29.4,,99.0,223,11,998.8,1007.7,0.0,13.7,L
21,SOUTH_ANDAMAN,PORT_BLAIR,2018-08-31,08:00:00,0,0,28.2,28.1,28.6,,99.0,239,11,998.5,1007.4,0.0,13.7,L
22,SOUTH_ANDAMAN,PORT_BLAIR,2018-08-31,09:00:00,0,0,27.8,27.7,28.3,,99.0,237,13,998.5,1007.4,0.0,13.6,L
23,SOUTH_ANDAMAN,PORT_BLAIR,2018-08-31,10:00:00,0,0,27.7,27.7,27.8,,99.0,239,12,998.3,1007.2,0.0,13.5,L
24,SOUTH_ANDAMAN,PORT_BLAIR,2018-08-31,11:00:00,0,0,27.5,27.5,27.7,,99.0,230,10,998.6,1007.5,0.0,13.2,L
25,SOUTH_ANDAMAN,PORT_BLAIR,2018-08-31,12:00:00,1,1,26.6,26.4,27.5,29.4,99.0,229,8,999.2,1008.1,0.0,12.6,L
26,SOUTH_ANDAMAN,PORT_BLAIR,2018-08-31,13:00:00,0,1,24.8,24.8,26.6,,99.0,232,10,999.8,1008.8,0.0,12.6,L
27,SOUTH_ANDAMAN,PORT_BLAIR,2018-08-31,14:00:00,0,1,24.9,24.5,24.9,,99.0,260,6,1000.1,1009.1,0.0,12.5,L
28,SOUTH_ANDAMAN,PORT_BLAIR,2018-08-31,15:00:00,0,1,25.2,25.0,25.3,,99.0,234,4,1000.7,1009.7,0.0,12.5,L
29,SOUTH_ANDAMAN,PORT_BLAIR,2018-08-31,16:00:00,0,1,25.5,25.2,25.7,,99.0,221,22,1001.0,1010.0,0.0,12.5,L
30,SOUTH_ANDAMAN,PORT_BLAIR,2018-08-31,17:00:00,0,1,24.5,24.0,25.3,,,239,6,1001.1,1010.1,0.0,12.5,L
31,SOUTH_ANDAMAN,PORT_BLAIR,2018-08-31,18:00:00,0,1,25.2,24.6,25.3,,,228,9,1000.5,1009.5,0.0,12.5,L
32,SOUTH_ANDAMAN,PORT_BLAIR,2018-08-31,19:00:00,0,1,24.7,24.7,25.4,,99.0,223,9,1000.0,1009.0,0.0,12.5,L
33,SOUTH_ANDAMAN,PORT_BLAIR,2018-08-31,20:00:00,0,1,24.8,24.6,24.8,,99.0,240,7,999.7,1008.7,0.0,12.5,L
34,SOUTH_ANDAMAN,PORT_BLAIR,2018-08-31,21:00:00,0,1,26.2,24.8,26.2,,99.0,232,9,999.4,1008.4,0.0,12.5,L
35,SOUTH_ANDAMAN,PORT_BLAIR,2018-08-31,22:00:00,0,1,25.8,25.7,26.3,,99.0,215,10,999.8,1008.8,0.0,12.5,L
36,SOUTH_ANDAMAN,PORT_BLAIR,2018-08-31,23:00:00,0,1,25.8,25.8,25.9,,99.0,234,10,999.8,1008.8,0.0,12.5,L
37,SOUTH_ANDAMAN,PORT_BLAIR,2018-09-01,00:00:00,0,1,26.0,25.8,26.0,,99.0,230,10,1000.0,1009.0,0.0,12.5,L
38,SOUTH_ANDAMAN,PORT_BLAIR,2018-09-01,01:00:00,0,1,25.4,25.0,26.2,,99.0,226,8,1001.1,1010.1,0.0,12.6,L
39,SOUTH_ANDAMAN,PORT_BLAIR,2018-09-01,02:00:00,0,1,23.9,23.8,26.5,,99.0,234,14,1002.2,1011.3,0.0,13.0,L
40,SOUTH_ANDAMAN,PORT_BLAIR,2018-09-01,03:00:00,0,1,24.1,23.7,24.1,23.7,99.0,249,7,1002.4,1011.5,0.0,12.9,L
41,SOUTH_ANDAMAN,PORT_BLAIR,2018-09-01,04:00:00,0,0,27.5,24.2,27.5,,99.0,239,10,1002.4,1011.3,0.0,13.5,L
42,SOUTH_ANDAMAN,PORT_BLAIR,2018-09-01,05:00:00,0,0,27.1,27.1,27.7,,99.0,251,9,1001.9,1010.9,0.0,13.6,L
43,SOUTH_ANDAMAN,PORT_BLAIR,2018-09-01,06:00:00,0,0,28.0,26.7,28.1,,99.0,245,13,1001.4,1010.3,0.0,13.6,L
44,SOUTH_ANDAMAN,PORT_BLAIR,2018-09-01,07:00:00,0,0,29.4,27.8,29.5,,90.0,233,10,1000.4,1009.3,0.0,13.9,L
