S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),BATTERY (Volts),GPS
1,ANANTAPUR,KALYANDURG,2018-08-30,01:00:00,0,0.0,22.6,22.5,22.7,,93.0,12.6,L
2,ANANTAPUR,KALYANDURG,2018-08-31,01:00:00,0,0.0,22.5,22.5,22.7,,93.0,12.5,L
3,ANANTAPUR,KALYANDURG,2018-09-01,00:00:00,0,0.0,0.0,0.0,0.0,,,0.0,L
4,ANANTAPUR,KALYANDURG,2018-09-01,01:00:00,0,0.0,22.2,22.2,22.3,,89.0,12.6,L
5,ANANTAPUR,KALYANDURG,2018-09-03,01:00:00,0,0.0,21.4,21.4,21.7,,88.0,12.5,L
6,ANANTAPUR,KALYANDURG,2018-09-04,01:00:00,0,0.0,21.5,21.4,21.6,,90.0,12.5,L
7,ANANTAPUR,KALYANDURG,2018-09-05,01:00:00,0,0.0,22.4,22.2,22.4,,84.0,12.6,L
8,ANANTAPUR,PATTAPARTHI,2018-08-30,00:00:00,0,1.0,23.4,23.4,23.8,,,12.6,L
9,ANANTAPUR,PATTAPARTHI,2018-08-30,01:00:00,0,0.0,23.6,23.3,23.6,,,12.6,L
10,ANANTAPUR,PATTAPARTHI,2018-08-30,02:00:00,0,0.0,25.5,23.7,25.5,,,13.1,L
11,ANANTAPUR,PATTAPARTHI,2018-08-30,03:00:00,0,0.0,26.7,25.4,27.2,23.3,,13.8,L
12,ANANTAPUR,PATTAPARTHI,2018-08-30,04:00:00,0,0.0,28.0,26.6,28.1,,,13.9,L
13,ANANTAPUR,PATTAPARTHI,2018-08-30,05:00:00,0,0.0,29.0,27.6,29.3,,,13.3,L
14,ANANTAPUR,PATTAPARTHI,2018-08-30,06:00:00,0,0.0,30.0,28.3,30.1,,,13.3,L
15,ANANTAPUR,PATTAPARTHI,2018-08-30,07:00:00,0,0.0,31.3,29.0,31.3,,,13.3,L
16,ANANTAPUR,PATTAPARTHI,2018-08-30,08:00:00,0,0.0,31.4,30.4,31.9,,,13.2,L
17,ANANTAPUR,PATTAPARTHI,2018-08-30,09:00:00,0,0.0,32.6,30.9,32.6,,,13.3,L
18,ANANTAPUR,PATTAPARTHI,2018-08-30,10:00:00,0,0.0,31.9,31.7,32.9,,,13.3,L
19,ANANTAPUR,PATTAPARTHI,2018-08-30,11:00:00,6,6.0,24.8,24.6,32.1,,,13.5,L
20,ANANTAPUR,PATTAPARTHI,2018-08-30,12:00:00,2,9.0,26.5,24.6,26.7,32.9,,13.3,L
21,ANANTAPUR,PATTAPARTHI,2018-08-30,13:00:00,0,9.0,26.0,26.0,26.5,,,13.1,L
22,ANANTAPUR,PATTAPARTHI,2018-08-30,14:00:00,1,10.0,25.4,25.4,26.4,,,12.7,L
23,ANANTAPUR,PATTAPARTHI,2018-08-30,15:00:00,2,12.0,24.7,23.9,25.3,,,12.7,L
24,ANANTAPUR,PATTAPARTHI,2018-08-30,16:00:00,0,12.0,24.8,24.6,25.4,,,12.6,L
25,ANANTAPUR,PATTAPARTHI,2018-08-30,17:00:00,0,12.0,25.0,24.8,25.2,,,12.6,L
26,ANANTAPUR,PATTAPARTHI,2018-08-30,18:00:00,0,12.0,25.0,24.9,25.2,,,12.6,L
27,ANANTAPUR,PATTAPARTHI,2018-08-30,19:00:00,0,12.0,24.8,24.3,25.1,,,12.6,L
28,ANANTAPUR,PATTAPARTHI,2018-08-30,20:00:00,0,12.0,24.8,24.4,25.1,,,12.6,L
29,ANANTAPUR,PATTAPARTHI,2018-08-30,21:00:00,0,12.0,24.5,24.4,24.9,,,12.6,L
30,ANANTAPUR,PATTAPARTHI,2018-08-30,22:00:00,0,13.0,23.0,22.9,24.5,,,12.6,L
31,ANANTAPUR,PATTAPARTHI,2018-08-30,23:00:00,0,13.0,22.9,22.6,23.1,,,12.6,L
32,ANANTAPUR,PATTAPARTHI,2018-08-31,00:00:00,0,13.0,23.4,22.9,23.4,,,12.6,L
33,ANANTAPUR,PATTAPARTHI,2018-08-31,01:00:00,0,0.0,23.6,23.5,23.6,,,12.5,L
34,ANANTAPUR,PATTAPARTHI,2018-08-31,02:00:00,0,0.0,24.2,23.5,24.2,,,12.8,L
35,ANANTAPUR,PATTAPARTHI,2018-08-31,03:00:00,0,0.0,25.0,24.2,25.0,22.6,,13.3,L
36,ANANTAPUR,PATTAPARTHI,2018-08-31,04:00:00,0,0.0,26.1,25.0,26.2,,,13.9,L
37,ANANTAPUR,PATTAPARTHI,2018-08-31,05:00:00,0,0.0,27.7,26.3,28.5,,,13.8,L
38,ANANTAPUR,PATTAPARTHI,2018-08-31,06:00:00,0,0.0,27.7,27.4,27.9,,,13.4,L
39,ANANTAPUR,PATTAPARTHI,2018-08-31,07:00:00,0,0.0,29.8,27.7,29.9,,,13.3,L
40,ANANTAPUR,PATTAPARTHI,2018-08-31,08:00:00,0,0.0,29.8,29.5,30.9,,,13.3,L
41,ANANTAPUR,PATTAPARTHI,2018-08-31,09:00:00,0,0.0,29.5,29.4,29.9,,,13.3,L
42,ANANTAPUR,PATTAPARTHI,2018-08-31,10:00:00,0,0.0,30.8,29.5,31.3,,,13.3,L
43,ANANTAPUR,PATTAPARTHI,2018-08-31,11:00:00,0,0.0,31.5,30.6,31.5,,,13.2,L
44,ANANTAPUR,PATTAPARTHI,2018-08-31,12:00:00,0,0.0,30.9,30.9,31.8,31.8,,13.3,L
45,ANANTAPUR,PATTAPARTHI,2018-08-31,13:00:00,0,0.0,29.8,29.8,30.9,,,12.9,L
46,ANANTAPUR,PATTAPARTHI,2018-08-31,14:00:00,0,0.0,25.7,25.5,29.9,,,12.7,L
47,ANANTAPUR,PATTAPARTHI,2018-08-31,15:00:00,0,0.0,27.8,25.6,27.8,,,12.7,L
48,ANANTAPUR,PATTAPARTHI,2018-08-31,16:00:00,0,0.0,25.6,24.9,27.9,,,12.7,L
49,ANANTAPUR,PATTAPARTHI,2018-08-31,17:00:00,0,0.0,25.7,25.5,25.9,,,12.7,L
50,ANANTAPUR,PATTAPARTHI,2018-08-31,18:00:00,0,0.0,25.5,25.1,25.9,,,12.6,L
51,ANANTAPUR,PATTAPARTHI,2018-08-31,19:00:00,0,0.0,25.4,25.2,25.6,,,12.6,L
52,ANANTAPUR,PATTAPARTHI,2018-08-31,20:00:00,0,0.0,25.1,24.9,25.5,,,12.6,L
53,ANANTAPUR,PATTAPARTHI,2018-08-31,21:00:00,0,0.0,24.3,24.3,25.1,,,12.6,L
54,ANANTAPUR,PATTAPARTHI,2018-08-31,22:00:00,0,0.0,23.6,23.6,24.4,,,12.6,L
55,ANANTAPUR,PATTAPARTHI,2018-08-31,23:00:00,0,0.0,23.4,23.4,23.8,,,12.6,L
56,ANANTAPUR,PATTAPARTHI,2018-09-01,00:00:00,0,0.0,22.9,22.9,23.5,,,12.6,L
57,ANANTAPUR,PATTAPARTHI,2018-09-01,01:00:00,0,0.0,22.8,22.4,22.8,,,12.5,L
58,ANANTAPUR,PATTAPARTHI,2018-09-01,02:00:00,0,0.0,23.9,22.8,23.9,,,12.9,L
59,ANANTAPUR,PATTAPARTHI,2018-09-01,03:00:00,0,0.0,25.0,23.9,25.0,22.4,,13.4,L
60,ANANTAPUR,PATTAPARTHI,2018-09-01,04:00:00,0,0.0,27.0,25.0,27.0,,,13.8,L
61,ANANTAPUR,PATTAPARTHI,2018-09-01,05:00:00,0,0.0,28.2,26.4,28.2,,,13.9,L
62,ANANTAPUR,PATTAPARTHI,2018-09-01,06:00:00,0,0.0,29.1,27.8,30.1,,,13.3,L
63,ANANTAPUR,PATTAPARTHI,2018-09-01,07:00:00,0,0.0,29.9,29.2,30.1,,,13.3,L
64,ANANTAPUR,PATTAPARTHI,2018-09-01,08:00:00,0,0.0,30.8,29.8,31.1,,,13.3,L
65,ANANTAPUR,PATTAPARTHI,2018-09-01,09:00:00,0,0.0,31.6,30.5,31.6,,,13.3,L
66,ANANTAPUR,PATTAPARTHI,2018-09-01,10:00:00,0,0.0,31.3,30.9,31.6,,,13.3,L
67,ANANTAPUR,PATTAPARTHI,2018-09-01,11:00:00,0,0.0,31.0,31.0,31.4,,,13.3,L
68,ANANTAPUR,PATTAPARTHI,2018-09-01,12:00:00,0,0.0,30.4,30.4,31.0,31.6,,13.3,L
69,ANANTAPUR,PATTAPARTHI,2018-09-01,13:00:00,0,0.0,29.2,29.2,30.4,,,12.9,L
70,ANANTAPUR,PATTAPARTHI,2018-09-01,14:00:00,0,0.0,27.8,27.7,29.1,,,12.7,L
71,ANANTAPUR,PATTAPARTHI,2018-09-01,15:00:00,0,0.0,27.6,26.9,27.8,,,12.7,L
72,ANANTAPUR,PATTAPARTHI,2018-09-01,16:00:00,0,0.0,27.7,27.7,28.3,,,12.7,L
73,ANANTAPUR,PATTAPARTHI,2018-09-01,17:00:00,0,0.0,26.5,26.5,27.7,,,12.7,L
74,ANANTAPUR,PATTAPARTHI,2018-09-01,18:00:00,0,0.0,26.2,26.1,26.6,,,12.6,L
75,ANANTAPUR,PATTAPARTHI,2018-09-01,19:00:00,0,0.0,25.1,25.1,26.3,,,12.6,L
76,ANANTAPUR,PATTAPARTHI,2018-09-01,20:00:00,0,0.0,24.6,24.6,25.4,,,12.6,L
77,ANANTAPUR,PATTAPARTHI,2018-09-01,21:00:00,0,0.0,23.8,23.6,24.6,,,12.6,L
78,ANANTAPUR,PATTAPARTHI,2018-09-01,22:00:00,0,0.0,23.2,23.2,24.2,,,12.6,L
79,ANANTAPUR,PATTAPARTHI,2018-09-01,23:00:00,0,0.0,22.7,22.5,23.3,,,12.6,L
80,ANANTAPUR,PATTAPARTHI,2018-09-02,00:00:00,0,0.0,22.6,22.4,22.7,,,12.5,L
81,ANANTAPUR,PATTAPARTHI,2018-09-02,01:00:00,0,0.0,22.4,22.1,22.4,,,12.6,L
82,ANANTAPUR,PATTAPARTHI,2018-09-02,02:00:00,0,0.0,23.9,22.4,23.9,,,13.0,L
83,ANANTAPUR,PATTAPARTHI,2018-09-02,03:00:00,0,0.0,25.8,24.0,25.8,22.1,,13.9,L
84,ANANTAPUR,PATTAPARTHI,2018-09-02,04:00:00,0,0.0,26.6,25.6,26.8,,,13.9,L
85,ANANTAPUR,PATTAPARTHI,2018-09-02,05:00:00,0,0.0,27.9,26.7,27.9,,,13.9,L
86,ANANTAPUR,PATTAPARTHI,2018-09-02,06:00:00,0,0.0,28.4,27.8,28.8,,,13.3,L
87,ANANTAPUR,PATTAPARTHI,2018-09-02,07:00:00,0,0.0,29.8,28.6,29.8,,,13.3,L
88,ANANTAPUR,PATTAPARTHI,2018-09-02,08:00:00,0,0.0,30.6,29.5,30.9,,,13.3,L
89,ANANTAPUR,PATTAPARTHI,2018-09-02,09:00:00,0,0.0,30.7,30.5,31.3,,,13.3,L
90,ANANTAPUR,PATTAPARTHI,2018-09-02,10:00:00,0,0.0,31.2,30.7,31.6,,,13.2,L
91,ANANTAPUR,PATTAPARTHI,2018-09-02,11:00:00,0,0.0,31.7,31.1,31.7,,,13.2,L
92,ANANTAPUR,PATTAPARTHI,2018-09-02,12:00:00,0,0.0,31.1,30.9,31.7,31.7,,13.3,L
93,ANANTAPUR,PATTAPARTHI,2018-09-02,13:00:00,0,0.0,29.9,29.9,31.2,,,12.9,L
94,ANANTAPUR,PATTAPARTHI,2018-09-02,14:00:00,0,0.0,28.9,28.7,29.9,,,12.7,L
95,ANANTAPUR,PATTAPARTHI,2018-09-02,15:00:00,0,0.0,28.3,28.2,28.8,,,12.7,L
96,ANANTAPUR,PATTAPARTHI,2018-09-02,16:00:00,0,0.0,27.5,27.5,28.5,,,12.7,L
97,ANANTAPUR,PATTAPARTHI,2018-09-02,17:00:00,0,0.0,26.8,26.6,27.7,,,12.7,L
98,ANANTAPUR,PATTAPARTHI,2018-09-02,18:00:00,0,0.0,25.7,25.5,26.8,,,12.6,L
99,ANANTAPUR,PATTAPARTHI,2018-09-02,19:00:00,0,0.0,24.7,24.7,25.7,,,12.6,L
100,ANANTAPUR,PATTAPARTHI,2018-09-02,20:00:00,0,0.0,24.2,24.2,24.7,,,12.6,L
101,ANANTAPUR,PATTAPARTHI,2018-09-02,21:00:00,0,0.0,23.2,23.0,24.3,,,12.6,L
102,ANANTAPUR,PATTAPARTHI,2018-09-02,22:00:00,0,0.0,22.8,22.6,23.2,,,12.6,L
103,ANANTAPUR,PATTAPARTHI,2018-09-02,23:00:00,0,0.0,22.7,22.3,23.2,,,12.6,L
104,ANANTAPUR,PATTAPARTHI,2018-09-03,00:00:00,0,0.0,21.6,21.3,22.8,,,12.6,L
105,ANANTAPUR,PATTAPARTHI,2018-09-03,01:00:00,0,0.0,21.6,21.5,21.6,,,12.6,L
106,ANANTAPUR,PATTAPARTHI,2018-09-03,02:00:00,0,0.0,23.7,21.5,23.8,,,13.1,L
107,ANANTAPUR,PATTAPARTHI,2018-09-03,03:00:00,0,0.0,25.0,23.7,25.0,21.3,,13.4,L
108,ANANTAPUR,PATTAPARTHI,2018-09-03,04:00:00,0,0.0,26.5,24.7,26.6,,,13.9,L
109,ANANTAPUR,PATTAPARTHI,2018-09-03,05:00:00,0,0.0,28.4,26.6,28.8,,,13.8,L
110,ANANTAPUR,PATTAPARTHI,2018-09-03,06:00:00,0,0.0,29.5,28.4,29.5,,,13.3,L
111,ANANTAPUR,PATTAPARTHI,2018-09-03,07:00:00,0,0.0,30.5,29.6,30.8,,,13.3,L
112,ANANTAPUR,PATTAPARTHI,2018-09-03,08:00:00,0,0.0,31.2,30.2,31.4,,,13.2,L
113,ANANTAPUR,PATTAPARTHI,2018-09-03,09:00:00,0,0.0,32.1,30.7,32.7,,,13.1,L
114,ANANTAPUR,PATTAPARTHI,2018-09-03,10:00:00,0,0.0,32.2,31.5,32.7,,,13.2,L
115,ANANTAPUR,PATTAPARTHI,2018-09-03,11:00:00,0,0.0,32.6,31.9,33.1,,,13.2,L
116,ANANTAPUR,PATTAPARTHI,2018-09-03,12:00:00,0,0.0,31.8,31.7,32.9,33.1,,13.3,L
117,ANANTAPUR,PATTAPARTHI,2018-09-03,13:00:00,0,0.0,30.5,30.5,32.0,,,12.9,L
118,ANANTAPUR,PATTAPARTHI,2018-09-03,14:00:00,0,0.0,29.4,29.4,30.6,,,12.7,L
119,ANANTAPUR,PATTAPARTHI,2018-09-03,15:00:00,0,0.0,28.3,28.3,29.6,,,12.7,L
120,ANANTAPUR,PATTAPARTHI,2018-09-03,16:00:00,0,0.0,26.9,26.9,28.3,,,12.7,L
121,ANANTAPUR,PATTAPARTHI,2018-09-03,17:00:00,0,0.0,27.5,25.5,27.6,,,12.7,L
122,ANANTAPUR,PATTAPARTHI,2018-09-03,18:00:00,0,0.0,26.4,26.2,27.4,,,12.6,L
123,ANANTAPUR,PATTAPARTHI,2018-09-03,19:00:00,0,0.0,25.4,25.4,26.3,,,12.6,L
124,ANANTAPUR,PATTAPARTHI,2018-09-03,20:00:00,0,0.0,23.2,23.2,25.5,,,12.6,L
125,ANANTAPUR,PATTAPARTHI,2018-09-03,21:00:00,0,0.0,23.5,22.5,23.8,,,12.6,L
126,ANANTAPUR,PATTAPARTHI,2018-09-03,22:00:00,0,0.0,22.4,22.0,23.3,,,12.6,L
127,ANANTAPUR,PATTAPARTHI,2018-09-03,23:00:00,0,0.0,22.2,22.1,22.5,,,12.6,L
128,ANANTAPUR,PATTAPARTHI,2018-09-04,00:00:00,0,0.0,21.8,21.7,22.1,,,12.5,L
129,ANANTAPUR,PATTAPARTHI,2018-09-04,01:00:00,0,0.0,21.8,21.6,21.8,,,12.6,L
130,ANANTAPUR,PATTAPARTHI,2018-09-04,02:00:00,0,0.0,23.6,21.8,23.6,,,13.0,L
131,ANANTAPUR,PATTAPARTHI,2018-09-04,03:00:00,0,0.0,24.7,23.7,25.1,21.6,,13.9,L
132,ANANTAPUR,PATTAPARTHI,2018-09-04,04:00:00,0,0.0,26.5,24.8,26.6,,,13.9,L
133,ANANTAPUR,PATTAPARTHI,2018-09-04,05:00:00,0,0.0,28.6,26.0,28.6,,,13.8,L
134,ANANTAPUR,PATTAPARTHI,2018-09-04,06:00:00,0,0.0,29.9,27.8,30.1,,,13.2,L
135,ANANTAPUR,PATTAPARTHI,2018-09-04,07:00:00,0,0.0,30.7,29.1,31.2,,,13.2,L
136,ANANTAPUR,PATTAPARTHI,2018-09-04,08:00:00,0,0.0,31.3,30.5,31.9,,,13.2,L
137,ANANTAPUR,PATTAPARTHI,2018-09-04,09:00:00,0,0.0,31.9,30.7,32.3,,,13.2,L
138,ANANTAPUR,PATTAPARTHI,2018-09-04,10:00:00,0,0.0,31.5,31.4,31.9,,,13.3,L
139,ANANTAPUR,PATTAPARTHI,2018-09-04,11:00:00,0,0.0,31.6,31.4,31.7,,,13.3,L
140,ANANTAPUR,PATTAPARTHI,2018-09-04,12:00:00,0,0.0,31.0,30.9,31.7,32.3,,13.1,L
141,ANANTAPUR,PATTAPARTHI,2018-09-04,13:00:00,0,0.0,30.3,30.3,31.0,,,12.7,L
142,ANANTAPUR,PATTAPARTHI,2018-09-04,14:00:00,0,0.0,29.6,29.5,30.5,,,12.7,L
143,ANANTAPUR,PATTAPARTHI,2018-09-04,15:00:00,0,0.0,29.0,29.0,29.6,,,12.7,L
144,ANANTAPUR,PATTAPARTHI,2018-09-04,16:00:00,0,0.0,28.8,28.3,28.9,,,12.7,L
145,ANANTAPUR,PATTAPARTHI,2018-09-04,17:00:00,0,0.0,27.9,27.9,29.1,,,12.6,L
146,ANANTAPUR,PATTAPARTHI,2018-09-04,18:00:00,0,0.0,26.2,26.2,28.0,,,12.6,L
147,ANANTAPUR,PATTAPARTHI,2018-09-04,19:00:00,0,0.0,25.1,25.1,26.3,,,12.6,L
148,ANANTAPUR,PATTAPARTHI,2018-09-04,20:00:00,0,0.0,24.6,24.5,25.2,,,12.6,L
149,ANANTAPUR,PATTAPARTHI,2018-09-04,21:00:00,0,0.0,23.8,23.8,24.7,,,12.6,L
150,ANANTAPUR,PATTAPARTHI,2018-09-04,22:00:00,0,0.0,23.8,23.2,23.8,,,12.6,L
151,ANANTAPUR,PATTAPARTHI,2018-09-04,23:00:00,0,0.0,22.8,22.5,23.8,,,12.6,L
152,ANANTAPUR,PATTAPARTHI,2018-09-05,00:00:00,0,0.0,22.6,22.5,22.9,,,12.5,L
153,ANANTAPUR,PATTAPARTHI,2018-09-05,01:00:00,0,0.0,22.7,22.4,22.7,,,12.6,L
154,ANANTAPUR,PATTAPARTHI,2018-09-05,02:00:00,0,0.0,24.1,22.7,24.1,,,13.1,L
155,ANANTAPUR,PATTAPARTHI,2018-09-05,03:00:00,0,0.0,24.9,24.1,24.9,22.4,,13.3,L
156,ANANTAPUR,PATTAPARTHI,2018-09-05,04:00:00,0,0.0,27.0,25.1,27.0,,,13.9,L
157,ANANTAPUR,PATTAPARTHI,2018-09-05,05:00:00,0,0.0,27.5,26.3,28.6,,,13.8,L
158,ANANTAPUR,PATTAPARTHI,2018-09-05,06:00:00,0,0.0,29.2,27.8,29.6,,,13.3,L
159,ANANTAPUR,PATTAPARTHI,2018-09-05,07:00:00,0,0.0,30.0,28.9,30.8,,,13.3,L
160,ANANTAPUR,PATTAPARTHI,2018-09-05,08:00:00,0,0.0,30.9,29.7,31.8,,,13.2,L
161,ANANTAPUR,PATTAPARTHI,2018-09-05,09:00:00,0,0.0,30.4,30.4,31.8,,,13.3,L
162,ANANTAPUR,PATTAPARTHI,2018-09-05,10:00:00,0,0.0,30.3,30.1,30.7,,,13.3,L
163,ANANTAPUR,PATTAPARTHI,2018-09-05,11:00:00,0,0.0,30.0,30.0,30.6,,,13.3,L
164,ANANTAPUR,PATTAPARTHI,2018-09-05,12:00:00,0,0.0,29.8,29.7,30.1,31.8,,13.1,L
165,ANANTAPUR,PATTAPARTHI,2018-09-05,13:00:00,0,0.0,29.4,29.3,29.8,,,12.7,L
166,ANANTAPUR,PATTAPARTHI,2018-09-05,14:00:00,0,0.0,28.6,28.6,29.4,,,12.7,L
167,ANANTAPUR,PATTAPARTHI,2018-09-05,15:00:00,0,0.0,27.6,27.3,28.6,,,12.7,L
168,ANANTAPUR,PATTAPARTHI,2018-09-05,16:00:00,0,0.0,26.1,25.5,27.7,,,12.7,L
169,ANANTAPUR,PATTAPARTHI,2018-09-05,17:00:00,0,0.0,26.2,25.3,26.7,,,12.6,L
170,ANANTAPUR,PATTAPARTHI,2018-09-05,18:00:00,0,0.0,25.3,25.3,26.1,,,12.6,L
