S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),BATTERY (Volts),GPS
1,CHANGLANG,BORDUMSA,2018-08-30,00:00:00,0,0,,,,,,11.2,L
2,CHANGLANG,BORDUMSA,2018-08-30,01:00:00,0,0,,,,,,11.3,L
3,CHANGLANG,BORDUMSA,2018-08-30,02:00:00,0,0,,,,,,11.2,L
4,CHANGLANG,BORDUMSA,2018-08-30,03:00:00,0,0,,,,,,11.3,L
5,CHANGLANG,BORDUMSA,2018-08-30,04:00:00,0,0,,,,,,11.3,L
6,CHANGLANG,BORDUMSA,2018-08-30,05:00:00,0,0,,,,,,11.3,L
7,CHANGLANG,BORDUMSA,2018-08-30,06:00:00,0,0,,,,,,11.5,L
8,CHANGLANG,BORDUMSA,2018-08-30,07:00:00,0,0,,,,,,11.7,L
9,CHANGLANG,BORDUMSA,2018-08-30,08:00:00,0,0,,,,,,11.4,L
10,CHANGLANG,BORDUMSA,2018-08-30,09:00:00,0,0,,,,,,11.3,L
11,CHANGLANG,BORDUMSA,2018-08-30,10:00:00,0,0,,,,,,11.3,L
12,CHANGLANG,BORDUMSA,2018-08-30,11:00:00,0,0,,,,,,11.3,L
13,CHANGLANG,BORDUMSA,2018-08-30,12:00:00,0,0,,,,,,11.3,L
14,CHANGLANG,BORDUMSA,2018-08-30,13:00:00,0,0,,,,,,11.2,L
15,CHANGLANG,BORDUMSA,2018-08-30,14:00:00,0,0,,,,,,11.2,L
16,CHANGLANG,BORDUMSA,2018-08-30,15:00:00,0,0,,,,,,11.2,L
17,CHANGLANG,BORDUMSA,2018-08-30,16:00:00,0,0,,,,,,11.2,L
18,CHANGLANG,BORDUMSA,2018-08-30,17:00:00,0,0,,,,,,11.2,L
19,CHANGLANG,BORDUMSA,2018-08-30,18:00:00,0,0,,,,,,11.2,L
20,CHANGLANG,BORDUMSA,2018-08-30,19:00:00,0,0,,,,,,11.2,L
21,CHANGLANG,BORDUMSA,2018-08-30,20:00:00,0,0,,,,,,11.2,L
22,CHANGLANG,BORDUMSA,2018-08-30,21:00:00,0,0,,,,,,11.2,L
23,CHANGLANG,BORDUMSA,2018-08-30,22:00:00,0,0,,,,,,11.2,L
24,CHANGLANG,BORDUMSA,2018-08-30,23:00:00,0,0,,,,,,11.2,L
25,CHANGLANG,BORDUMSA,2018-08-31,00:00:00,0,0,,,,,,11.2,L
26,CHANGLANG,BORDUMSA,2018-08-31,01:00:00,0,0,,,,,,11.2,L
27,CHANGLANG,BORDUMSA,2018-08-31,02:00:00,1,1,,,,,,11.4,L
28,CHANGLANG,BORDUMSA,2018-08-31,03:00:00,0,1,,,,,,11.4,L
29,CHANGLANG,BORDUMSA,2018-08-31,04:00:00,0,0,,,,,,11.4,L
30,CHANGLANG,BORDUMSA,2018-08-31,05:00:00,0,0,,,,,,11.5,L
31,CHANGLANG,BORDUMSA,2018-08-31,06:00:00,0,0,,,,,,11.5,L
32,CHANGLANG,BORDUMSA,2018-08-31,07:00:00,0,0,,,,,,11.5,L
33,CHANGLANG,BORDUMSA,2018-08-31,08:00:00,0,0,,,,,,11.4,L
34,CHANGLANG,BORDUMSA,2018-08-31,09:00:00,0,0,,,,,,11.3,L
35,CHANGLANG,BORDUMSA,2018-08-31,10:00:00,0,0,,,,,,11.3,L
36,CHANGLANG,BORDUMSA,2018-08-31,11:00:00,0,0,,,,,,11.3,L
37,CHANGLANG,BORDUMSA,2018-08-31,12:00:00,0,0,,,,,,11.3,L
38,CHANGLANG,BORDUMSA,2018-08-31,13:00:00,0,0,,,,,,11.3,L
39,CHANGLANG,BORDUMSA,2018-08-31,14:00:00,0,0,,,,,,11.3,L
40,CHANGLANG,BORDUMSA,2018-08-31,15:00:00,0,0,,,,,,11.3,L
41,CHANGLANG,BORDUMSA,2018-08-31,16:00:00,0,0,,,,,,11.2,L
42,CHANGLANG,BORDUMSA,2018-08-31,17:00:00,0,0,,,,,,11.2,L
43,CHANGLANG,BORDUMSA,2018-08-31,18:00:00,0,0,,,,,,11.2,L
44,CHANGLANG,BORDUMSA,2018-08-31,19:00:00,0,0,,,,,,11.2,L
45,CHANGLANG,BORDUMSA,2018-08-31,20:00:00,0,0,,,,,,11.2,L
46,CHANGLANG,BORDUMSA,2018-08-31,21:00:00,0,0,,,,,,11.2,L
47,CHANGLANG,BORDUMSA,2018-08-31,22:00:00,0,0,,,,,,11.2,L
48,CHANGLANG,BORDUMSA,2018-08-31,23:00:00,0,0,,,,,,11.2,L
49,CHANGLANG,BORDUMSA,2018-09-01,00:00:00,0,0,,,,,,11.2,L
50,CHANGLANG,BORDUMSA,2018-09-01,01:00:00,0,0,,,,,,11.2,L
51,CHANGLANG,BORDUMSA,2018-09-01,02:00:00,0,0,,,,,,11.2,L
52,CHANGLANG,BORDUMSA,2018-09-01,03:00:00,0,0,,,,,,11.2,L
53,CHANGLANG,BORDUMSA,2018-09-01,04:00:00,0,0,,,,,,11.4,L
54,CHANGLANG,BORDUMSA,2018-09-01,05:00:00,0,0,,,,,,11.6,L
55,CHANGLANG,BORDUMSA,2018-09-01,06:00:00,0,0,,,,,,11.3,L
56,CHANGLANG,BORDUMSA,2018-09-01,07:00:00,0,0,,,,,,11.4,L
57,CHANGLANG,BORDUMSA,2018-09-01,08:00:00,0,0,,,,,,11.4,L
58,CHANGLANG,BORDUMSA,2018-09-01,12:00:00,0,0,,,,,,11.2,L
