S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),BATTERY (Volts),GPS
1,BAKSA,TAMULPUR,2018-08-30,00:00:00,0,0,,,,,,12.9,L
2,BAKSA,TAMULPUR,2018-08-30,01:00:00,0,0,,,,,,13.1,L
3,BAKSA,TAMULPUR,2018-08-30,02:00:00,0,0,,,,,,13.3,L
4,BAKSA,TAMULPUR,2018-08-30,03:00:00,0,0,,,,,,13.5,L
5,BAKSA,TAMULPUR,2018-08-30,04:00:00,0,0,,,,,,13.6,L
6,BAKSA,TAMULPUR,2018-08-30,05:00:00,0,0,,,,,,13.8,L
7,BAKSA,TAMULPUR,2018-08-30,06:00:00,0,0,,,,,,13.4,L
8,BAKSA,TAMULPUR,2018-08-30,07:00:00,0,0,,,,,,13.4,L
9,BAKSA,TAMULPUR,2018-08-30,08:00:00,0,0,,,,,,13.3,L
10,BAKSA,TAMULPUR,2018-08-30,09:00:00,0,0,,,,,,13.2,L
11,BAKSA,TAMULPUR,2018-08-30,10:00:00,0,0,,,,,,13.2,L
12,BAKSA,TAMULPUR,2018-08-30,11:00:00,0,0,,,,,,13.4,L
13,BAKSA,TAMULPUR,2018-08-30,12:00:00,0,0,,,,,,13.1,L
14,BAKSA,TAMULPUR,2018-08-30,13:00:00,0,0,,,,,,13.1,L
15,BAKSA,TAMULPUR,2018-08-30,14:00:00,0,0,,,,,,13.1,L
16,BAKSA,TAMULPUR,2018-08-30,15:00:00,0,0,,,,,,13.0,L
17,BAKSA,TAMULPUR,2018-08-30,16:00:00,0,0,,,,,,13.0,L
18,BAKSA,TAMULPUR,2018-08-30,17:00:00,0,0,,,,,,12.9,L
19,BAKSA,TAMULPUR,2018-08-30,18:00:00,0,0,,,,,,12.9,L
20,BAKSA,TAMULPUR,2018-08-30,19:00:00,1,1,,,,,,12.9,L
21,BAKSA,TAMULPUR,2018-08-30,20:00:00,0,1,,,,,,12.9,L
22,BAKSA,TAMULPUR,2018-08-30,21:00:00,0,1,,,,,,12.9,L
23,BAKSA,TAMULPUR,2018-08-30,22:00:00,0,1,,,,,,12.8,L
24,BAKSA,TAMULPUR,2018-08-30,23:00:00,0,1,,,,,,12.8,L
25,BAKSA,TAMULPUR,2018-08-31,00:00:00,0,1,,,,,,12.8,L
26,BAKSA,TAMULPUR,2018-08-31,01:00:00,0,0,,,,,,12.9,L
27,BAKSA,TAMULPUR,2018-08-31,02:00:00,0,0,,,,,,13.1,L
28,BAKSA,TAMULPUR,2018-08-31,03:00:00,0,0,,,,,,13.4,L
29,BAKSA,TAMULPUR,2018-08-31,04:00:00,0,0,,,,,,13.5,L
30,BAKSA,TAMULPUR,2018-08-31,05:00:00,0,0,,,,,,13.5,L
31,BAKSA,TAMULPUR,2018-08-31,06:00:00,0,0,,,,,,13.4,L
32,BAKSA,TAMULPUR,2018-08-31,07:00:00,0,0,,,,,,13.4,L
33,BAKSA,TAMULPUR,2018-08-31,08:00:00,0,0,,,,,,13.3,L
34,BAKSA,TAMULPUR,2018-08-31,09:00:00,0,0,,,,,,13.2,L
35,BAKSA,TAMULPUR,2018-08-31,10:00:00,0,0,,,,,,13.2,L
36,BAKSA,TAMULPUR,2018-08-31,11:00:00,0,0,,,,,,13.3,L
37,BAKSA,TAMULPUR,2018-08-31,12:00:00,0,0,,,,,,13.1,L
38,BAKSA,TAMULPUR,2018-08-31,13:00:00,0,0,,,,,,13.1,L
39,BAKSA,TAMULPUR,2018-08-31,14:00:00,0,0,,,,,,13.1,L
40,BAKSA,TAMULPUR,2018-08-31,15:00:00,0,0,,,,,,13.0,L
41,BAKSA,TAMULPUR,2018-08-31,16:00:00,0,0,,,,,,13.0,L
42,BAKSA,TAMULPUR,2018-08-31,17:00:00,0,0,,,,,,12.9,L
43,BAKSA,TAMULPUR,2018-08-31,18:00:00,0,0,,,,,,12.9,L
44,BAKSA,TAMULPUR,2018-08-31,19:00:00,0,0,,,,,,12.9,L
45,BAKSA,TAMULPUR,2018-08-31,20:00:00,0,0,,,,,,12.9,L
46,BAKSA,TAMULPUR,2018-08-31,21:00:00,0,0,,,,,,12.8,L
47,BAKSA,TAMULPUR,2018-08-31,22:00:00,0,0,,,,,,12.8,L
48,BAKSA,TAMULPUR,2018-08-31,23:00:00,0,0,,,,,,12.8,L
49,BAKSA,TAMULPUR,2018-09-01,00:00:00,0,0,,,,,,12.8,L
50,BAKSA,TAMULPUR,2018-09-01,01:00:00,0,0,,,,,,12.8,L
51,BAKSA,TAMULPUR,2018-09-01,02:00:00,0,0,,,,,,12.9,L
52,BAKSA,TAMULPUR,2018-09-01,03:00:00,0,0,,,,,,13.1,L
53,BAKSA,TAMULPUR,2018-09-01,04:00:00,0,0,,,,,,13.3,L
54,BAKSA,TAMULPUR,2018-09-01,05:00:00,0,0,,,,,,13.3,L
55,BAKSA,TAMULPUR,2018-09-01,06:00:00,0,0,,,,,,13.4,L
56,BAKSA,TAMULPUR,2018-09-01,07:00:00,0,0,,,,,,13.6,L
57,BAKSA,TAMULPUR,2018-09-01,08:00:00,0,0,,,,,,13.7,L
58,BAKSA,TAMULPUR,2018-09-01,09:00:00,0,0,,,,,,13.3,L
59,BAKSA,TAMULPUR,2018-09-01,10:00:00,0,0,,,,,,13.2,L
60,BAKSA,TAMULPUR,2018-09-01,11:00:00,0,0,,,,,,13.3,L
61,BAKSA,TAMULPUR,2018-09-01,12:00:00,0,0,,,,,,13.1,L
62,BAKSA,TAMULPUR,2018-09-01,13:00:00,0,0,,,,,,13.1,L
63,BAKSA,TAMULPUR,2018-09-01,14:00:00,0,0,,,,,,13.1,L
64,BAKSA,TAMULPUR,2018-09-01,15:00:00,0,0,,,,,,13.1,L
65,BAKSA,TAMULPUR,2018-09-01,16:00:00,0,0,,,,,,13.0,L
66,BAKSA,TAMULPUR,2018-09-01,17:00:00,0,0,,,,,,12.9,L
67,BAKSA,TAMULPUR,2018-09-01,18:00:00,0,0,,,,,,12.9,L
68,BAKSA,TAMULPUR,2018-09-01,19:00:00,0,0,,,,,,12.9,L
69,BAKSA,TAMULPUR,2018-09-01,20:00:00,0,0,,,,,,12.9,L
70,BAKSA,TAMULPUR,2018-09-01,21:00:00,0,0,,,,,,12.9,L
71,BAKSA,TAMULPUR,2018-09-01,22:00:00,0,0,,,,,,12.8,L
72,BAKSA,TAMULPUR,2018-09-01,23:00:00,0,0,,,,,,12.8,L
73,BAKSA,TAMULPUR,2018-09-02,00:00:00,0,0,,,,,,12.8,L
74,BAKSA,TAMULPUR,2018-09-02,01:00:00,0,0,,,,,,12.9,L
75,BAKSA,TAMULPUR,2018-09-02,02:00:00,0,0,,,,,,13.1,L
76,BAKSA,TAMULPUR,2018-09-02,03:00:00,0,0,,,,,,13.4,L
77,BAKSA,TAMULPUR,2018-09-02,04:00:00,0,0,,,,,,13.7,L
78,BAKSA,TAMULPUR,2018-09-02,05:00:00,0,0,,,,,,13.7,L
79,BAKSA,TAMULPUR,2018-09-02,06:00:00,0,0,,,,,,13.8,L
80,BAKSA,TAMULPUR,2018-09-02,07:00:00,0,0,,,,,,13.8,L
81,BAKSA,TAMULPUR,2018-09-02,08:00:00,0,0,,,,,,13.7,L
82,BAKSA,TAMULPUR,2018-09-02,09:00:00,0,0,,,,,,13.3,L
83,BAKSA,TAMULPUR,2018-09-02,10:00:00,0,0,,,,,,13.3,L
84,BAKSA,TAMULPUR,2018-09-02,11:00:00,0,0,,,,,,13.3,L
85,BAKSA,TAMULPUR,2018-09-02,12:00:00,0,0,,,,,,13.1,L
86,BAKSA,TAMULPUR,2018-09-02,13:00:00,0,0,,,,,,13.1,L
87,BAKSA,TAMULPUR,2018-09-02,14:00:00,0,0,,,,,,13.1,L
88,BAKSA,TAMULPUR,2018-09-02,15:00:00,0,0,,,,,,13.1,L
89,BAKSA,TAMULPUR,2018-09-02,16:00:00,0,0,,,,,,13.1,L
90,BAKSA,TAMULPUR,2018-09-02,17:00:00,0,0,,,,,,13.1,L
91,BAKSA,TAMULPUR,2018-09-02,18:00:00,0,0,,,,,,13.0,L
92,BAKSA,TAMULPUR,2018-09-02,19:00:00,0,0,,,,,,13.0,L
93,BAKSA,TAMULPUR,2018-09-02,20:00:00,0,0,,,,,,13.0,L
94,BAKSA,TAMULPUR,2018-09-02,21:00:00,0,0,,,,,,12.9,L
95,BAKSA,TAMULPUR,2018-09-02,22:00:00,0,0,,,,,,12.9,L
96,BAKSA,TAMULPUR,2018-09-02,23:00:00,0,0,,,,,,12.9,L
97,BAKSA,TAMULPUR,2018-09-03,00:00:00,0,0,0.0,0.0,0.0,,,0.0,L
98,BAKSA,TAMULPUR,2018-09-03,01:00:00,0,0,,,,,,13.0,L
99,BAKSA,TAMULPUR,2018-09-03,02:00:00,0,0,,,,,,13.2,L
100,BAKSA,TAMULPUR,2018-09-03,03:00:00,0,0,,,,,,13.3,L
101,BAKSA,TAMULPUR,2018-09-03,04:00:00,0,0,,,,,,13.4,L
102,BAKSA,TAMULPUR,2018-09-03,05:00:00,0,0,,,,,,13.7,L
103,BAKSA,TAMULPUR,2018-09-03,06:00:00,0,0,,,,,,13.4,L
104,BAKSA,TAMULPUR,2018-09-03,07:00:00,0,0,,,,,,13.3,L
105,BAKSA,TAMULPUR,2018-09-03,08:00:00,0,0,,,,,,13.3,L
106,BAKSA,TAMULPUR,2018-09-03,09:00:00,0,0,,,,,,13.3,L
107,BAKSA,TAMULPUR,2018-09-03,10:00:00,0,0,,,,,,13.3,L
108,BAKSA,TAMULPUR,2018-09-03,11:00:00,0,0,,,,,,13.2,L
109,BAKSA,TAMULPUR,2018-09-03,12:00:00,0,0,,,,,,13.1,L
110,BAKSA,TAMULPUR,2018-09-03,13:00:00,0,0,,,,,,13.1,L
111,BAKSA,TAMULPUR,2018-09-03,14:00:00,0,0,,,,,,13.1,L
112,BAKSA,TAMULPUR,2018-09-03,15:00:00,0,0,,,,,,13.1,L
113,BAKSA,TAMULPUR,2018-09-03,16:00:00,0,0,,,,,,13.0,L
114,BAKSA,TAMULPUR,2018-09-03,17:00:00,0,0,,,,,,13.0,L
115,BAKSA,TAMULPUR,2018-09-03,18:00:00,0,0,,,,,,13.0,L
116,BAKSA,TAMULPUR,2018-09-03,19:00:00,0,0,,,,,,12.9,L
117,BAKSA,TAMULPUR,2018-09-03,20:00:00,0,0,,,,,,12.9,L
118,BAKSA,TAMULPUR,2018-09-03,21:00:00,0,0,,,,,,12.9,L
119,BAKSA,TAMULPUR,2018-09-03,22:00:00,0,0,,,,,,12.9,L
120,BAKSA,TAMULPUR,2018-09-03,23:00:00,0,0,,,,,,12.9,L
121,BAKSA,TAMULPUR,2018-09-04,00:00:00,0,0,,,,,,12.9,L
122,BAKSA,TAMULPUR,2018-09-04,01:00:00,0,0,,,,,,12.9,L
123,BAKSA,TAMULPUR,2018-09-04,02:00:00,0,0,,,,,,13.3,L
124,BAKSA,TAMULPUR,2018-09-04,03:00:00,0,0,,,,,,13.4,L
125,BAKSA,TAMULPUR,2018-09-04,04:00:00,0,0,,,,,,13.3,L
126,BAKSA,TAMULPUR,2018-09-04,05:00:00,0,0,,,,,,13.6,L
127,BAKSA,TAMULPUR,2018-09-04,06:00:00,0,0,,,,,,13.7,L
128,BAKSA,TAMULPUR,2018-09-04,07:00:00,0,0,,,,,,13.8,L
