S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),BATTERY (Volts),GPS
1,GOPALGANJ,HATHUA,2018-08-30,03:00:00,0,0,,,,,,12.9,L
2,GOPALGANJ,HATHUA,2018-08-30,04:00:00,0,0,,,,,,14.0,L
3,GOPALGANJ,HATHUA,2018-08-30,05:00:00,0,0,,,,,,13.1,L
4,GOPALGANJ,HATHUA,2018-08-30,06:00:00,0,0,,,,,,13.1,L
5,GOPALGANJ,HATHUA,2018-08-30,07:00:00,0,0,,,,,,12.9,L
6,GOPALGANJ,HATHUA,2018-08-30,08:00:00,0,0,,,,,,13.0,L
7,GOPALGANJ,HATHUA,2018-08-30,09:00:00,0,0,,,,,,12.5,L
8,GOPALGANJ,HATHUA,2018-08-30,10:00:00,0,0,,,,,,12.4,L
9,GOPALGANJ,HATHUA,2018-08-30,11:00:00,0,0,,,,,,12.4,L
10,GOPALGANJ,HATHUA,2018-08-30,12:00:00,0,0,,,,,,12.4,L
11,GOPALGANJ,HATHUA,2018-08-30,13:00:00,0,0,,,,,,12.4,L
12,GOPALGANJ,HATHUA,2018-08-31,02:00:00,0,0,,,,,,12.8,L
13,GOPALGANJ,HATHUA,2018-08-31,03:00:00,0,0,,,,,,12.7,L
14,GOPALGANJ,HATHUA,2018-08-31,04:00:00,0,0,,,,,,13.9,L
15,GOPALGANJ,HATHUA,2018-08-31,05:00:00,0,0,,,,,,13.1,L
16,GOPALGANJ,HATHUA,2018-08-31,06:00:00,0,0,,,,,,12.9,L
17,GOPALGANJ,HATHUA,2018-08-31,07:00:00,0,0,,,,,,12.9,L
18,GOPALGANJ,HATHUA,2018-08-31,08:00:00,0,0,,,,,,12.9,L
19,GOPALGANJ,HATHUA,2018-08-31,10:00:00,0,0,,,,,,13.1,L
20,GOPALGANJ,HATHUA,2018-08-31,11:00:00,0,0,,,,,,13.1,L
21,GOPALGANJ,HATHUA,2018-08-31,12:00:00,0,0,,,,,,12.8,L
22,GOPALGANJ,HATHUA,2018-08-31,13:00:00,0,0,,,,,,12.5,L
23,GOPALGANJ,HATHUA,2018-08-31,14:00:00,0,0,,,,,,12.4,L
24,GOPALGANJ,HATHUA,2018-08-31,15:00:00,0,0,,,,,,12.4,L
25,GOPALGANJ,HATHUA,2018-08-31,16:00:00,0,0,,,,,,12.4,L
26,GOPALGANJ,HATHUA,2018-08-31,17:00:00,0,0,,,,,,12.4,L
27,GOPALGANJ,HATHUA,2018-08-31,18:00:00,0,0,,,,,,12.3,L
28,GOPALGANJ,HATHUA,2018-09-01,02:00:00,0,0,,,,,,12.9,L
29,GOPALGANJ,HATHUA,2018-09-01,03:00:00,0,0,,,,,,13.1,L
30,GOPALGANJ,HATHUA,2018-09-01,04:00:00,0,0,,,,,,13.1,L
31,GOPALGANJ,HATHUA,2018-09-01,05:00:00,0,0,,,,,,13.0,L
32,GOPALGANJ,HATHUA,2018-09-01,06:00:00,0,0,,,,,,12.9,L
33,GOPALGANJ,HATHUA,2018-09-01,07:00:00,0,0,,,,,,12.9,L
34,GOPALGANJ,HATHUA,2018-09-01,08:00:00,0,0,,,,,,13.1,L
35,GOPALGANJ,HATHUA,2018-09-01,09:00:00,0,0,,,,,,13.1,L
36,GOPALGANJ,HATHUA,2018-09-01,10:00:00,0,0,,,,,,13.2,L
37,GOPALGANJ,HATHUA,2018-09-01,11:00:00,0,0,,,,,,13.2,L
38,GOPALGANJ,HATHUA,2018-09-01,12:00:00,0,0,,,,,,12.7,L
39,GOPALGANJ,HATHUA,2018-09-01,13:00:00,0,0,,,,,,12.5,L
40,GOPALGANJ,HATHUA,2018-09-01,14:00:00,0,0,,,,,,12.4,L
41,GOPALGANJ,HATHUA,2018-09-01,15:00:00,0,0,,,,,,12.4,L
42,GOPALGANJ,HATHUA,2018-09-01,16:00:00,0,0,,,,,,12.4,L
43,GOPALGANJ,HATHUA,2018-09-01,17:00:00,0,0,,,,,,12.4,L
44,GOPALGANJ,HATHUA,2018-09-01,18:00:00,0,0,,,,,,12.3,L
45,GOPALGANJ,HATHUA,2018-09-02,02:00:00,0,0,,,,,,13.0,L
46,GOPALGANJ,HATHUA,2018-09-02,03:00:00,0,0,,,,,,12.9,L
47,GOPALGANJ,HATHUA,2018-09-02,04:00:00,0,0,,,,,,13.8,L
48,GOPALGANJ,HATHUA,2018-09-02,05:00:00,0,0,,,,,,13.1,L
49,GOPALGANJ,HATHUA,2018-09-02,06:00:00,0,0,,,,,,13.0,L
50,GOPALGANJ,HATHUA,2018-09-02,07:00:00,0,0,,,,,,13.0,L
51,GOPALGANJ,HATHUA,2018-09-02,08:00:00,0,0,,,,,,13.0,L
52,GOPALGANJ,HATHUA,2018-09-02,09:00:00,0,0,,,,,,13.1,L
53,GOPALGANJ,HATHUA,2018-09-02,10:00:00,0,0,,,,,,13.1,L
54,GOPALGANJ,HATHUA,2018-09-02,11:00:00,0,0,,,,,,13.1,L
55,GOPALGANJ,HATHUA,2018-09-02,12:00:00,0,0,,,,,,12.6,L
56,GOPALGANJ,HATHUA,2018-09-02,13:00:00,0,0,,,,,,12.5,L
57,GOPALGANJ,HATHUA,2018-09-02,14:00:00,0,0,,,,,,12.4,L
58,GOPALGANJ,HATHUA,2018-09-02,15:00:00,0,0,,,,,,12.4,L
59,GOPALGANJ,HATHUA,2018-09-02,16:00:00,0,0,,,,,,12.4,L
60,GOPALGANJ,HATHUA,2018-09-02,17:00:00,0,0,,,,,,12.4,L
61,GOPALGANJ,HATHUA,2018-09-03,02:00:00,0,0,,,,,,12.6,L
62,GOPALGANJ,HATHUA,2018-09-03,03:00:00,0,0,,,,,,14.1,L
63,GOPALGANJ,HATHUA,2018-09-03,04:00:00,0,0,,,,,,13.1,L
64,GOPALGANJ,HATHUA,2018-09-03,05:00:00,0,0,,,,,,13.2,L
65,GOPALGANJ,HATHUA,2018-09-03,06:00:00,0,0,,,,,,14.1,L
66,GOPALGANJ,HATHUA,2018-09-03,07:00:00,0,0,,,,,,13.2,L
67,GOPALGANJ,HATHUA,2018-09-03,08:00:00,0,0,,,,,,13.2,L
68,GOPALGANJ,HATHUA,2018-09-03,09:00:00,0,0,,,,,,13.2,L
69,GOPALGANJ,HATHUA,2018-09-03,10:00:00,0,0,,,,,,13.2,L
70,GOPALGANJ,HATHUA,2018-09-03,11:00:00,0,0,,,,,,13.2,L
71,GOPALGANJ,HATHUA,2018-09-03,12:00:00,0,0,,,,,,12.8,L
72,GOPALGANJ,HATHUA,2018-09-03,13:00:00,0,0,,,,,,12.5,L
73,GOPALGANJ,HATHUA,2018-09-03,14:00:00,0,0,,,,,,12.4,L
74,GOPALGANJ,HATHUA,2018-09-03,15:00:00,0,0,,,,,,12.4,L
75,GOPALGANJ,HATHUA,2018-09-03,16:00:00,0,0,,,,,,12.4,L
76,GOPALGANJ,HATHUA,2018-09-03,17:00:00,0,0,,,,,,12.4,L
77,GOPALGANJ,HATHUA,2018-09-03,18:00:00,0,0,,,,,,12.3,L
78,GOPALGANJ,HATHUA,2018-09-04,02:00:00,0,0,,,,,,12.9,L
79,GOPALGANJ,HATHUA,2018-09-04,03:00:00,0,0,,,,,,13.9,L
80,GOPALGANJ,HATHUA,2018-09-04,04:00:00,0,0,,,,,,13.1,L
81,GOPALGANJ,HATHUA,2018-09-04,05:00:00,0,0,,,,,,13.1,L
82,GOPALGANJ,HATHUA,2018-09-04,06:00:00,0,0,,,,,,13.1,L
83,GOPALGANJ,HATHUA,2018-09-04,07:00:00,0,0,,,,,,13.2,L
84,GOPALGANJ,HATHUA,2018-09-04,08:00:00,0,0,,,,,,13.0,L
85,GOPALGANJ,HATHUA,2018-09-04,09:00:00,0,0,,,,,,13.0,L
86,GOPALGANJ,HATHUA,2018-09-04,10:00:00,0,0,,,,,,13.1,L
87,GOPALGANJ,HATHUA,2018-09-04,11:00:00,0,0,,,,,,13.8,L
88,GOPALGANJ,HATHUA,2018-09-04,12:00:00,0,0,,,,,,12.8,L
89,GOPALGANJ,HATHUA,2018-09-04,13:00:00,0,0,,,,,,12.5,L
