S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),BATTERY (Volts),GPS
1,BALRAMPUR,BALRAMPUR,2018-08-30,00:00:00,0,0.0,0.0,0.0,0.0,,,0.0,L
2,BALRAMPUR,BALRAMPUR,2018-08-30,01:00:00,0,0.0,23.7,23.5,23.7,,,12.6,L
3,BALRAMPUR,BALRAMPUR,2018-08-30,02:00:00,0,0.0,25.3,23.7,25.4,,,12.9,L
4,BALRAMPUR,BALRAMPUR,2018-08-30,03:00:00,0,0.0,26.3,25.3,26.5,0.0,,13.1,L
5,BALRAMPUR,BALRAMPUR,2018-08-30,04:00:00,0,0.0,27.4,26.3,27.7,,,13.3,L
6,BALRAMPUR,BALRAMPUR,2018-08-30,05:00:00,0,0.0,29.9,27.3,30.1,,,12.9,L
7,BALRAMPUR,BALRAMPUR,2018-08-30,06:00:00,0,0.0,29.4,28.4,30.1,,,12.9,L
8,BALRAMPUR,BALRAMPUR,2018-08-30,08:00:00,0,0.0,30.0,28.2,30.0,,,12.9,L
9,BALRAMPUR,BALRAMPUR,2018-08-30,09:00:00,0,0.0,30.1,29.2,30.7,,,12.9,L
10,BALRAMPUR,BALRAMPUR,2018-08-30,10:00:00,11,11.0,23.5,23.5,30.1,,,12.8,L
11,BALRAMPUR,BALRAMPUR,2018-08-30,11:00:00,5,16.0,23.4,22.5,23.5,,,12.7,L
12,BALRAMPUR,BALRAMPUR,2018-08-30,12:00:00,2,18.0,21.9,21.9,23.8,,,12.7,L
13,BALRAMPUR,BALRAMPUR,2018-08-30,13:00:00,6,24.0,21.3,20.9,21.9,,,12.7,L
14,BALRAMPUR,BALRAMPUR,2018-08-30,14:00:00,1,25.0,21.7,21.4,22.0,,,12.7,L
15,BALRAMPUR,BALRAMPUR,2018-08-30,15:00:00,0,25.0,21.9,21.6,22.0,,,12.6,L
16,BALRAMPUR,BALRAMPUR,2018-08-30,16:00:00,0,25.0,22.2,21.9,22.2,,,12.6,L
17,BALRAMPUR,BALRAMPUR,2018-08-30,17:00:00,0,25.0,22.4,22.1,22.4,,,12.6,L
18,BALRAMPUR,BALRAMPUR,2018-08-30,18:00:00,0,25.0,22.5,22.4,22.7,,,12.6,L
19,BALRAMPUR,BALRAMPUR,2018-08-30,19:00:00,0,25.0,22.8,22.5,23.1,,,12.6,L
20,BALRAMPUR,BALRAMPUR,2018-08-30,20:00:00,0,25.0,22.4,22.4,22.9,,,12.6,L
21,BALRAMPUR,BALRAMPUR,2018-08-30,21:00:00,0,25.0,22.7,22.5,22.8,,,12.6,L
22,BALRAMPUR,BALRAMPUR,2018-08-30,22:00:00,0,25.0,22.7,22.6,22.9,,,12.6,L
23,BALRAMPUR,BALRAMPUR,2018-08-30,23:00:00,0,25.0,22.9,22.7,22.9,,,12.5,L
24,BALRAMPUR,BALRAMPUR,2018-08-31,00:00:00,1,27.0,22.8,22.7,23.0,,,12.5,L
25,BALRAMPUR,BALRAMPUR,2018-08-31,01:00:00,0,0.0,22.8,22.7,22.9,,,12.6,L
26,BALRAMPUR,BALRAMPUR,2018-08-31,02:00:00,0,0.0,24.4,22.8,24.4,,,12.9,L
27,BALRAMPUR,BALRAMPUR,2018-08-31,03:00:00,0,0.0,25.3,24.3,25.5,22.6,,13.1,L
28,BALRAMPUR,BALRAMPUR,2018-08-31,04:00:00,0,0.0,27.1,25.2,27.4,,,13.2,L
29,BALRAMPUR,BALRAMPUR,2018-08-31,05:00:00,0,0.0,28.3,26.6,28.9,,,13.7,L
30,BALRAMPUR,BALRAMPUR,2018-08-31,06:00:00,0,0.0,28.3,28.1,29.7,,,13.0,L
31,BALRAMPUR,BALRAMPUR,2018-08-31,07:00:00,0,0.0,30.9,28.1,31.1,,,12.9,L
32,BALRAMPUR,BALRAMPUR,2018-08-31,08:00:00,0,0.0,28.9,28.6,30.8,,,13.1,L
33,BALRAMPUR,BALRAMPUR,2018-08-31,09:00:00,0,0.0,30.2,28.8,30.3,,,12.9,L
