S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),BATTERY (Volts),GPS
1,SOUTH_WEST_DELHI,SAFDARJUNG,2018-08-30,01:00:00,0,15,26.2,26.0,26.3,,99.0,12.8,L
2,SOUTH_WEST_DELHI,SAFDARJUNG,2018-08-30,02:00:00,0,15,26.9,26.1,26.9,,99.0,12.9,L
3,SOUTH_WEST_DELHI,SAFDARJUNG,2018-08-30,03:00:00,0,15,28.1,26.9,28.1,,99.0,13.2,L
4,SOUTH_WEST_DELHI,SAFDARJUNG,2018-08-30,04:00:00,0,0,29.6,28.2,29.8,,99.0,13.4,L
5,SOUTH_WEST_DELHI,SAFDARJUNG,2018-08-30,05:00:00,0,0,30.9,29.7,31.0,,96.0,13.6,L
6,SOUTH_WEST_DELHI,SAFDARJUNG,2018-08-30,06:00:00,0,0,31.6,30.8,31.9,,93.0,13.8,L
7,SOUTH_WEST_DELHI,SAFDARJUNG,2018-08-30,07:00:00,0,0,32.8,31.9,33.1,,85.0,13.9,L
8,SOUTH_WEST_DELHI,SAFDARJUNG,2018-08-30,08:00:00,0,0,33.4,32.6,33.9,,74.0,13.3,L
9,SOUTH_WEST_DELHI,SAFDARJUNG,2018-08-30,09:00:00,0,0,33.7,33.4,34.3,,77.0,13.3,L
10,SOUTH_WEST_DELHI,SAFDARJUNG,2018-08-30,10:00:00,0,0,34.1,33.5,34.5,,73.0,13.3,L
11,SOUTH_WEST_DELHI,SAFDARJUNG,2018-08-30,11:00:00,0,0,33.3,33.2,34.5,,79.0,13.3,L
12,SOUTH_WEST_DELHI,SAFDARJUNG,2018-08-30,12:00:00,0,0,32.9,32.9,33.4,34.5,81.0,13.3,L
13,SOUTH_WEST_DELHI,SAFDARJUNG,2018-08-30,13:00:00,0,0,32.3,32.3,32.9,,89.0,13.0,L
14,SOUTH_WEST_DELHI,SAFDARJUNG,2018-08-30,14:00:00,0,0,31.0,30.9,32.3,,99.0,12.9,L
15,SOUTH_WEST_DELHI,SAFDARJUNG,2018-08-30,15:00:00,0,0,30.4,30.4,30.9,,99.0,12.9,L
16,SOUTH_WEST_DELHI,SAFDARJUNG,2018-08-30,16:00:00,0,0,30.2,30.2,30.5,,99.0,12.9,L
17,SOUTH_WEST_DELHI,SAFDARJUNG,2018-08-30,17:00:00,0,0,29.9,29.9,30.3,,,12.9,L
18,SOUTH_WEST_DELHI,SAFDARJUNG,2018-08-30,18:00:00,0,0,29.7,29.6,29.9,,9.0,12.9,L
19,SOUTH_WEST_DELHI,SAFDARJUNG,2018-08-30,19:00:00,0,0,29.2,29.2,29.6,,99.0,12.9,L
20,SOUTH_WEST_DELHI,SAFDARJUNG,2018-08-30,20:00:00,0,0,29.0,29.0,29.3,,,12.9,L
21,SOUTH_WEST_DELHI,SAFDARJUNG,2018-08-30,21:00:00,0,0,28.9,28.9,29.1,,,12.9,L
22,SOUTH_WEST_DELHI,SAFDARJUNG,2018-08-30,22:00:00,0,0,28.5,28.5,28.9,,,12.8,L
