S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),BATTERY (Volts),GPS
1,NORTH_GOA,PERNEM,2018-08-30,10:00:00,0,0,12.6,12.6,20.5,,43,13.7,L
2,NORTH_GOA,PERNEM,2018-08-30,11:00:00,0,0,13.1,9.6,20.0,,43,13.7,L
3,NORTH_GOA,PERNEM,2018-08-30,12:00:00,0,0,17.9,11.3,20.0,,43,14.4,L
4,NORTH_GOA,PERNEM,2018-08-30,13:00:00,0,0,14.7,12.2,16.9,,1,13.3,L
5,NORTH_GOA,PERNEM,2018-08-30,14:00:00,3,3,12.3,10.3,15.2,,44,13.2,L
6,NORTH_GOA,PERNEM,2018-08-30,15:00:00,0,3,10.4,9.9,14.4,,44,13.1,L
7,NORTH_GOA,PERNEM,2018-08-30,16:00:00,0,3,10.5,9.8,14.0,,44,13.0,L
8,NORTH_GOA,PERNEM,2018-08-30,17:00:00,0,3,12.4,9.6,14.1,,44,13.0,L
9,NORTH_GOA,PERNEM,2018-08-30,18:00:00,0,3,12.5,9.2,13.4,,44,13.0,L
10,NORTH_GOA,PERNEM,2018-08-30,19:00:00,0,3,10.9,8.2,13.3,,44,13.0,L
11,NORTH_GOA,PERNEM,2018-08-30,20:00:00,0,3,9.9,8.9,13.2,,44,12.9,L
12,NORTH_GOA,PERNEM,2018-08-30,21:00:00,0,3,12.4,8.5,12.8,,44,12.9,L
13,NORTH_GOA,PERNEM,2018-08-30,22:00:00,0,3,9.8,9.1,13.1,,44,12.9,L
14,NORTH_GOA,PERNEM,2018-08-30,23:00:00,1,4,9.8,9.3,13.5,,44,12.9,L
15,NORTH_GOA,PERNEM,2018-08-31,00:00:00,0,5,10.4,9.2,12.9,,44,12.9,L
16,NORTH_GOA,PERNEM,2018-08-31,01:00:00,0,5,11.1,8.9,13.0,,44,12.9,L
17,NORTH_GOA,PERNEM,2018-08-31,02:00:00,0,5,10.3,8.4,12.9,,44,13.1,L
18,NORTH_GOA,PERNEM,2018-08-31,04:00:00,0,0,19.2,9.0,19.2,,43,13.7,L
19,NORTH_GOA,PERNEM,2018-08-31,05:00:00,0,0,19.7,11.1,22.9,,43,13.6,L
20,NORTH_GOA,PERNEM,2018-08-31,06:00:00,0,0,12.3,9.7,22.8,,43,13.6,L
21,NORTH_GOA,PERNEM,2018-08-31,07:00:00,0,0,18.6,13.2,22.4,,43,13.6,L
22,NORTH_GOA,PERNEM,2018-08-31,08:00:00,0,0,16.5,12.9,22.0,,43,13.6,L
23,NORTH_GOA,PERNEM,2018-08-31,09:00:00,0,0,16.6,15.1,22.1,,42,13.6,L
24,NORTH_GOA,PERNEM,2018-09-04,14:00:00,0,0,13.0,9.3,15.4,,43,13.0,L
25,NORTH_GOA,PERNEM,2018-09-04,15:00:00,0,0,12.8,9.5,14.5,,44,13.0,L
26,NORTH_GOA,PERNEM,2018-09-04,16:00:00,1,1,9.9,8.7,13.6,,44,12.9,L
27,NORTH_GOA,PERNEM,2018-09-04,17:00:00,0,1,9.5,8.4,12.7,,44,12.9,L
28,NORTH_GOA,PERNEM,2018-09-04,18:00:00,0,1,11.9,8.5,12.9,,44,12.9,L
29,NORTH_GOA,PERNEM,2018-09-04,19:00:00,0,1,9.2,8.3,13.0,,44,12.9,L
30,NORTH_GOA,PERNEM,2018-09-04,20:00:00,0,1,9.3,8.5,12.6,,44,12.9,L
31,NORTH_GOA,PERNEM,2018-09-04,22:00:00,0,1,8.1,7.9,12.0,,44,12.9,L
32,NORTH_GOA,PERNEM,2018-09-04,23:00:00,0,2,9.7,7.7,12.2,,44,12.9,L
33,NORTH_GOA,PERNEM,2018-09-05,00:00:00,0,2,11.9,7.9,11.9,,44,12.9,L
34,NORTH_GOA,PERNEM,2018-09-05,01:00:00,0,2,12.4,7.3,12.4,,44,12.9,L
35,NORTH_GOA,PERNEM,2018-09-05,02:00:00,0,2,11.7,8.0,12.6,,44,13.2,L
36,NORTH_GOA,PERNEM,2018-09-05,03:00:00,0,2,11.6,8.7,13.8,7.3,43,13.8,L
37,NORTH_GOA,PERNEM,2018-09-05,04:00:00,0,0,13.0,10.0,17.7,,43,13.7,L
38,NORTH_GOA,PERNEM,2018-09-05,05:00:00,0,0,18.8,11.0,22.9,,43,13.6,L
39,NORTH_GOA,PERNEM,2018-09-05,06:00:00,0,0,18.4,12.0,22.2,,42,13.5,L
40,NORTH_GOA,PERNEM,2018-09-05,07:00:00,0,0,18.7,15.0,20.1,,43,13.6,L
41,NORTH_GOA,PERNEM,2018-09-05,08:00:00,0,0,16.9,15.0,20.9,,42,13.6,L
42,NORTH_GOA,PERNEM,2018-09-05,09:00:00,0,0,14.1,14.1,21.5,,43,13.6,L
43,NORTH_GOA,PERNEM,2018-09-05,10:00:00,1,1,13.7,9.3,20.6,,43,13.7,L
44,NORTH_GOA,PERNEM,2018-09-05,11:00:00,0,1,13.5,10.1,20.9,,43,13.7,L
45,NORTH_GOA,PERNEM,2018-09-05,12:00:00,0,1,13.4,11.8,19.9,22.2,43,13.7,L
46,NORTH_GOA,PERNEM,2018-09-05,13:00:00,0,1,13.0,11.9,17.6,,43,13.3,L
47,NORTH_GOA,PERNEM,2018-09-05,14:00:00,0,1,11.7,10.4,16.5,,43,13.2,L
48,NORTH_GOA,PERNEM,2018-09-05,15:00:00,0,1,10.8,10.3,14.1,,44,13.1,L
49,NORTH_GOA,PERNEM,2018-09-05,16:00:00,0,1,13.2,9.8,13.8,,44,13.0,L
50,NORTH_GOA,PERNEM,2018-09-05,17:00:00,1,2,11.1,9.6,13.9,,44,13.0,L
51,NORTH_GOA,PERNEM,2018-09-05,18:00:00,0,2,12.7,9.8,13.5,,44,13.0,L
52,NORTH_GOA,PERNEM,2018-09-05,19:00:00,0,2,12.0,8.9,13.4,,44,13.0,L
53,NORTH_GOA,PERNEM,2018-09-05,20:00:00,0,2,9.7,8.7,12.6,,44,13.0,L
54,NORTH_GOA,PERNEM,2018-09-05,21:00:00,0,2,8.7,7.9,12.5,,44,13.0,L
55,NORTH_GOA,PERNEM,2018-09-05,22:00:00,0,2,9.1,7.8,12.1,,44,12.9,L
56,SOUTH_GOA,CANACONA,2018-08-30,02:00:00,0,7,24.6,24.1,24.7,,99,12.8,L
57,SOUTH_GOA,CANACONA,2018-08-30,03:00:00,0,7,25.6,24.6,25.8,,96,13.3,L
58,SOUTH_GOA,CANACONA,2018-08-30,04:00:00,0,0,27.7,25.7,27.8,,86,13.7,L
59,SOUTH_GOA,CANACONA,2018-08-30,05:00:00,0,0,29.2,26.5,29.2,,80,13.6,L
60,SOUTH_GOA,CANACONA,2018-08-30,06:00:00,0,0,29.6,27.2,29.7,,77,13.6,L
61,SOUTH_GOA,CANACONA,2018-08-30,07:00:00,0,0,29.1,28.0,29.6,,79,13.6,L
62,SOUTH_GOA,CANACONA,2018-08-30,08:00:00,0,0,28.8,27.7,29.3,,78,13.6,L
63,SOUTH_GOA,CANACONA,2018-08-30,09:00:00,0,0,28.5,27.9,29.5,,81,13.5,L
64,SOUTH_GOA,CANACONA,2018-08-30,10:00:00,0,0,28.4,28.2,29.2,,79,13.4,L
65,SOUTH_GOA,CANACONA,2018-08-30,11:00:00,0,0,28.0,27.7,29.2,,81,14.3,L
66,SOUTH_GOA,CANACONA,2018-08-30,12:00:00,0,0,27.1,27.1,28.2,29.7,84,13.5,L
67,SOUTH_GOA,CANACONA,2018-08-30,13:00:00,2,2,25.1,25.1,27.1,,95,13.0,L
68,SOUTH_GOA,CANACONA,2018-08-30,14:00:00,0,3,23.8,23.8,25.0,,96,12.9,L
69,SOUTH_GOA,CANACONA,2018-08-30,15:00:00,0,3,23.7,23.6,23.8,,97,12.9,L
70,SOUTH_GOA,CANACONA,2018-08-30,16:00:00,0,3,24.1,23.6,24.2,,98,12.9,L
71,SOUTH_GOA,CANACONA,2018-08-30,17:00:00,0,3,24.0,23.9,24.2,,98,12.9,L
