S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),BATTERY (Volts),GPS
1,AHMEDABAD,DHOLKA,2018-08-30,00:00:00,0,0,0.0,0.0,0.0,,,12.7,L
2,AHMEDABAD,DHOLKA,2018-08-30,01:00:00,0,0,0.0,0.0,0.0,,,12.7,L
3,AHMEDABAD,DHOLKA,2018-08-30,02:00:00,0,0,0.0,0.0,0.0,,,12.7,L
4,AHMEDABAD,DHOLKA,2018-08-30,03:00:00,0,0,0.0,0.0,0.0,0.0,,12.7,L
5,AHMEDABAD,DHOLKA,2018-08-30,04:00:00,0,0,0.0,0.0,0.0,,,13.6,L
6,AHMEDABAD,DHOLKA,2018-08-30,05:00:00,0,0,0.0,0.0,0.0,,,13.3,L
7,AHMEDABAD,DHOLKA,2018-08-30,06:00:00,0,0,0.0,0.0,0.0,,,13.3,L
8,AHMEDABAD,DHOLKA,2018-08-30,07:00:00,0,0,0.0,0.0,0.0,,,13.2,L
9,AHMEDABAD,DHOLKA,2018-08-30,08:00:00,0,0,0.0,0.0,0.0,,,13.2,L
10,AHMEDABAD,DHOLKA,2018-08-30,09:00:00,0,0,0.0,0.0,0.0,,,13.1,L
11,AHMEDABAD,DHOLKA,2018-08-30,10:00:00,0,0,0.0,0.0,0.0,,,13.1,L
12,AHMEDABAD,DHOLKA,2018-08-30,11:00:00,0,0,0.0,0.0,0.0,,,13.1,L
13,AHMEDABAD,DHOLKA,2018-08-30,12:00:00,0,0,0.0,0.0,0.0,0.0,,13.2,L
14,AHMEDABAD,DHOLKA,2018-08-30,13:00:00,0,0,0.0,0.0,0.0,,,12.9,L
15,AHMEDABAD,DHOLKA,2018-08-30,14:00:00,0,0,0.0,0.0,0.0,,,12.8,L
16,AHMEDABAD,DHOLKA,2018-08-30,15:00:00,0,0,0.0,0.0,0.0,,,12.8,L
17,AHMEDABAD,DHOLKA,2018-08-30,16:00:00,0,0,0.0,0.0,0.0,,,12.8,L
18,AHMEDABAD,DHOLKA,2018-08-30,17:00:00,0,0,0.0,0.0,0.0,,,12.8,L
19,AHMEDABAD,DHOLKA,2018-08-30,18:00:00,0,0,0.0,0.0,0.0,,,12.8,L
20,AHMEDABAD,DHOLKA,2018-08-30,19:00:00,0,0,0.0,0.0,0.0,,,12.8,L
21,AHMEDABAD,DHOLKA,2018-08-30,20:00:00,0,0,0.0,0.0,0.0,,,12.8,L
22,AHMEDABAD,DHOLKA,2018-08-30,21:00:00,0,0,0.0,0.0,0.0,,,12.8,L
23,AHMEDABAD,DHOLKA,2018-08-30,22:00:00,0,0,0.0,0.0,0.0,,,12.8,L
24,AHMEDABAD,DHOLKA,2018-08-30,23:00:00,0,0,0.0,0.0,0.0,,,12.7,L
25,AHMEDABAD,DHOLKA,2018-08-31,00:00:00,0,0,0.0,0.0,0.0,,,12.7,L
26,AHMEDABAD,DHOLKA,2018-08-31,01:00:00,0,0,0.0,0.0,0.0,,,12.7,L
27,AHMEDABAD,DHOLKA,2018-08-31,02:00:00,0,0,0.0,0.0,0.0,,,12.7,L
28,AHMEDABAD,DHOLKA,2018-08-31,03:00:00,0,0,0.0,0.0,0.0,0.0,,13.2,L
29,AHMEDABAD,DHOLKA,2018-08-31,04:00:00,0,0,0.0,0.0,0.0,,,13.3,L
30,AHMEDABAD,DHOLKA,2018-08-31,05:00:00,0,0,0.0,0.0,0.0,,,13.3,L
31,AHMEDABAD,DHOLKA,2018-08-31,06:00:00,0,0,0.0,0.0,0.0,,,13.2,L
32,AHMEDABAD,DHOLKA,2018-08-31,07:00:00,0,0,0.0,0.0,0.0,,,13.2,L
33,AHMEDABAD,DHOLKA,2018-08-31,08:00:00,0,0,0.0,0.0,0.0,,,13.2,L
34,AHMEDABAD,DHOLKA,2018-08-31,09:00:00,0,0,0.0,0.0,0.0,,,13.1,L
35,AHMEDABAD,DHOLKA,2018-08-31,10:00:00,0,0,0.0,0.0,0.0,,,13.2,L
36,AHMEDABAD,DHOLKA,2018-08-31,11:00:00,0,0,0.0,0.0,0.0,,,13.7,L
37,AHMEDABAD,DHOLKA,2018-08-31,12:00:00,0,0,0.0,0.0,0.0,0.0,,13.3,L
38,AHMEDABAD,DHOLKA,2018-08-31,13:00:00,0,0,0.0,0.0,0.0,,,12.8,L
39,AHMEDABAD,DHOLKA,2018-08-31,14:00:00,0,0,0.0,0.0,0.0,,,12.8,L
40,AHMEDABAD,DHOLKA,2018-08-31,15:00:00,0,0,0.0,0.0,0.0,,,12.8,L
41,AHMEDABAD,DHOLKA,2018-08-31,16:00:00,0,0,0.0,0.0,0.0,,,12.8,L
42,AHMEDABAD,DHOLKA,2018-08-31,17:00:00,0,0,0.0,0.0,0.0,,,12.8,L
43,AHMEDABAD,DHOLKA,2018-08-31,18:00:00,0,0,0.0,0.0,0.0,,,12.8,L
44,AHMEDABAD,DHOLKA,2018-08-31,19:00:00,0,0,0.0,0.0,0.0,,,12.8,L
45,AHMEDABAD,DHOLKA,2018-08-31,20:00:00,0,0,0.0,0.0,0.0,,,12.7,L
46,AHMEDABAD,DHOLKA,2018-08-31,21:00:00,0,0,0.0,0.0,0.0,,,12.8,L
47,AHMEDABAD,DHOLKA,2018-08-31,22:00:00,0,0,0.0,0.0,0.0,,,12.7,L
48,AHMEDABAD,DHOLKA,2018-08-31,23:00:00,0,0,0.0,0.0,0.0,,,12.7,L
49,AHMEDABAD,DHOLKA,2018-09-01,00:00:00,0,0,0.0,0.0,0.0,,,12.7,L
50,AHMEDABAD,DHOLKA,2018-09-01,01:00:00,0,0,0.0,0.0,0.0,,,12.7,L
51,AHMEDABAD,DHOLKA,2018-09-01,02:00:00,0,0,0.0,0.0,0.0,,,12.7,L
52,AHMEDABAD,DHOLKA,2018-09-01,03:00:00,0,0,0.0,0.0,0.0,0.0,,13.3,L
53,AHMEDABAD,DHOLKA,2018-09-01,04:00:00,0,0,0.0,0.0,0.0,,,14.1,L
54,AHMEDABAD,DHOLKA,2018-09-01,05:00:00,0,0,0.0,0.0,0.0,,,13.2,L
