S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),BATTERY (Volts),GPS
1,AMBALA,BARARA,2018-08-30,00:00:00,0,0,,,,,,12.4,L
2,AMBALA,BARARA,2018-08-30,01:00:00,0,0,,,,,,12.4,L
3,AMBALA,BARARA,2018-08-30,02:00:00,0,0,,,,,,12.4,L
4,AMBALA,BARARA,2018-08-30,03:00:00,0,0,,,,,,12.5,L
5,AMBALA,BARARA,2018-08-30,04:00:00,0,0,,,,,,12.8,L
6,AMBALA,BARARA,2018-08-30,05:00:00,0,0,,,,,,13.2,L
7,AMBALA,BARARA,2018-08-30,06:00:00,0,0,,,,,,13.1,L
8,AMBALA,BARARA,2018-08-30,07:00:00,0,0,,,,,,13.1,L
9,AMBALA,BARARA,2018-08-30,08:00:00,0,0,,,,,,13.1,L
10,AMBALA,BARARA,2018-08-30,09:00:00,0,0,,,,,,13.3,L
11,AMBALA,BARARA,2018-08-30,10:00:00,0,0,,,,,,13.3,L
12,AMBALA,BARARA,2018-08-30,11:00:00,0,0,,,,,,12.8,L
13,AMBALA,BARARA,2018-08-30,12:00:00,0,0,,,,,,12.8,L
14,AMBALA,BARARA,2018-08-30,13:00:00,0,0,,,,,,12.6,L
15,AMBALA,BARARA,2018-08-30,14:00:00,0,0,,,,,,12.6,L
16,AMBALA,BARARA,2018-08-30,15:00:00,0,0,,,,,,12.6,L
17,AMBALA,BARARA,2018-08-30,16:00:00,0,0,,,,,,12.6,L
18,AMBALA,BARARA,2018-08-30,17:00:00,0,0,,,,,,12.6,L
19,AMBALA,BARARA,2018-08-30,18:00:00,0,0,,,,,,12.6,L
20,AMBALA,BARARA,2018-08-30,19:00:00,0,0,,,,,,12.5,L
21,AMBALA,BARARA,2018-08-30,20:00:00,0,0,,,,,,12.5,L
22,AMBALA,BARARA,2018-08-30,21:00:00,0,0,,,,,,12.5,L
23,AMBALA,BARARA,2018-08-30,22:00:00,0,0,,,,,,12.4,L
24,AMBALA,BARARA,2018-08-30,23:00:00,0,0,,,,,,12.4,L
25,AMBALA,BARARA,2018-08-31,00:00:00,0,0,,,,,,12.4,L
26,AMBALA,BARARA,2018-08-31,01:00:00,0,0,,,,,,12.4,L
27,AMBALA,BARARA,2018-08-31,02:00:00,0,0,,,,,,12.4,L
28,AMBALA,BARARA,2018-08-31,03:00:00,0,0,,,,,,12.4,L
29,AMBALA,BARARA,2018-08-31,04:00:00,0,0,,,,,,12.6,L
30,AMBALA,BARARA,2018-08-31,05:00:00,0,0,,,,,,12.8,L
31,AMBALA,BARARA,2018-08-31,06:00:00,0,0,,,,,,13.1,L
32,AMBALA,BARARA,2018-08-31,07:00:00,0,0,,,,,,13.1,L
33,AMBALA,BARARA,2018-08-31,08:00:00,0,0,,,,,,13.0,L
34,AMBALA,BARARA,2018-08-31,09:00:00,0,0,,,,,,13.0,L
35,AMBALA,BARARA,2018-08-31,10:00:00,0,0,,,,,,12.9,L
36,AMBALA,BARARA,2018-08-31,11:00:00,0,0,,,,,,12.7,L
37,AMBALA,BARARA,2018-08-31,12:00:00,0,0,,,,,,12.8,L
38,AMBALA,BARARA,2018-08-31,13:00:00,0,0,,,,,,12.6,L
39,AMBALA,BARARA,2018-08-31,14:00:00,0,0,,,,,,12.6,L
40,AMBALA,BARARA,2018-08-31,15:00:00,0,0,,,,,,12.6,L
41,AMBALA,BARARA,2018-08-31,16:00:00,0,0,,,,,,12.6,L
42,AMBALA,BARARA,2018-08-31,17:00:00,0,0,,,,,,12.5,L
43,AMBALA,BARARA,2018-08-31,18:00:00,0,0,,,,,,12.5,L
44,AMBALA,BARARA,2018-08-31,19:00:00,0,0,,,,,,12.5,L
45,AMBALA,BARARA,2018-08-31,20:00:00,0,0,,,,,,12.4,L
46,AMBALA,BARARA,2018-08-31,21:00:00,0,0,,,,,,12.4,L
