S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),BATTERY (Volts),GPS
1,BILASPUR,GHUMARWIN,2018-08-30,00:00:00,0,3.0,0.0,0.0,0.0,,,0.0,L
2,BILASPUR,GHUMARWIN,2018-08-30,02:00:00,0,0.0,,,,,,12.6,L
3,BILASPUR,GHUMARWIN,2018-08-30,03:00:00,0,0.0,,,,,,13.3,L
4,BILASPUR,GHUMARWIN,2018-08-30,04:00:00,0,0.0,,,,,,13.2,L
5,BILASPUR,GHUMARWIN,2018-08-30,05:00:00,0,0.0,,,,,,12.8,L
6,BILASPUR,GHUMARWIN,2018-08-30,07:00:00,0,0.0,,,,,,13.3,L
7,BILASPUR,GHUMARWIN,2018-08-30,08:00:00,0,0.0,,,,,,13.1,L
8,BILASPUR,GHUMARWIN,2018-08-30,09:00:00,0,0.0,,,,,,13.1,L
9,BILASPUR,GHUMARWIN,2018-08-30,10:00:00,0,0.0,,,,,,13.0,L
10,BILASPUR,GHUMARWIN,2018-08-30,11:00:00,0,0.0,,,,,,13.1,L
11,BILASPUR,GHUMARWIN,2018-08-30,12:00:00,0,0.0,,,,,,12.6,L
12,BILASPUR,GHUMARWIN,2018-08-30,14:00:00,0,0.0,,,,,,12.5,L
13,BILASPUR,GHUMARWIN,2018-08-30,15:00:00,0,0.0,,,,,,12.4,L
14,BILASPUR,GHUMARWIN,2018-08-30,18:00:00,0,0.0,,,,,,12.4,L
15,BILASPUR,GHUMARWIN,2018-08-30,19:00:00,0,0.0,,,,,,12.4,L
16,BILASPUR,GHUMARWIN,2018-08-30,20:00:00,0,0.0,,,,,,31.6,L
17,BILASPUR,GHUMARWIN,2018-08-30,21:00:00,0,0.0,,,,,,12.4,L
18,BILASPUR,GHUMARWIN,2018-08-30,22:00:00,0,0.0,,,,,,12.4,L
19,BILASPUR,GHUMARWIN,2018-08-30,23:00:00,0,0.0,,,,,,12.4,L
20,BILASPUR,GHUMARWIN,2018-08-31,00:00:00,0,0.0,,,,,,12.3,L
21,BILASPUR,GHUMARWIN,2018-08-31,04:00:00,0,0.0,,,,,,12.8,L
22,BILASPUR,GHUMARWIN,2018-08-31,05:00:00,0,0.0,,,,,,13.6,L
23,BILASPUR,GHUMARWIN,2018-08-31,06:00:00,0,0.0,,,,,,13.0,L
24,BILASPUR,GHUMARWIN,2018-08-31,07:00:00,0,0.0,,,,,,13.0,L
25,BILASPUR,GHUMARWIN,2018-08-31,08:00:00,0,0.0,,,,,,12.9,L
26,BILASPUR,GHUMARWIN,2018-08-31,09:00:00,0,0.0,,,,,,13.0,L
27,BILASPUR,GHUMARWIN,2018-08-31,10:00:00,0,0.0,,,,,,13.1,L
28,BILASPUR,GHUMARWIN,2018-08-31,11:00:00,0,0.0,,,,,,13.9,L
29,BILASPUR,GHUMARWIN,2018-08-31,12:00:00,0,0.0,,,,,,12.8,L
30,BILASPUR,GHUMARWIN,2018-08-31,13:00:00,0,0.0,,,,,,12.6,L
31,BILASPUR,GHUMARWIN,2018-08-31,14:00:00,0,0.0,,,,,,12.5,L
32,BILASPUR,GHUMARWIN,2018-08-31,15:00:00,0,0.0,,,,,,12.4,L
33,BILASPUR,GHUMARWIN,2018-08-31,16:00:00,0,0.0,,,,,,12.4,L
34,BILASPUR,GHUMARWIN,2018-08-31,17:00:00,0,0.0,,,,,,12.4,L
35,BILASPUR,GHUMARWIN,2018-08-31,18:00:00,0,0.0,,,,,,12.4,L
36,BILASPUR,GHUMARWIN,2018-08-31,19:00:00,0,0.0,,,,,,12.4,L
37,BILASPUR,GHUMARWIN,2018-08-31,20:00:00,0,0.0,,,,,,12.4,L
38,BILASPUR,GHUMARWIN,2018-08-31,23:00:00,0,0.0,,,,,,12.4,L
39,BILASPUR,GHUMARWIN,2018-09-01,03:00:00,0,0.0,,,,,,13.2,L
40,BILASPUR,GHUMARWIN,2018-09-01,04:00:00,0,0.0,,,,,,13.1,L
41,BILASPUR,GHUMARWIN,2018-09-01,05:00:00,0,0.0,,,,,,13.1,L
42,BILASPUR,GHUMARWIN,2018-09-01,06:00:00,0,0.0,,,,,,13.1,L
43,BILASPUR,GHUMARWIN,2018-09-01,07:00:00,0,0.0,,,,,,13.0,L
44,BILASPUR,GHUMARWIN,2018-09-01,08:00:00,0,0.0,,,,,,13.0,L
45,BILASPUR,GHUMARWIN,2018-09-01,09:00:00,0,0.0,,,,,,13.0,L
46,BILASPUR,GHUMARWIN,2018-09-01,10:00:00,0,0.0,,,,,,13.0,L
