S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),BATTERY (Volts),GPS
1,JAMMU,BAKORE,2018-08-30,01:00:00,0,0,25.8,25.7,25.8,,,12.1,L
2,JAMMU,BAKORE,2018-08-30,02:00:00,0,0,26.6,26.0,26.7,,,12.1,L
3,JAMMU,BAKORE,2018-08-30,03:00:00,0,0,28.4,26.6,28.6,,,12.6,L
4,JAMMU,BAKORE,2018-08-30,04:00:00,0,0,30.2,28.4,30.2,,,12.9,L
5,JAMMU,BAKORE,2018-08-30,05:00:00,0,0,30.9,30.0,31.1,,,13.2,L
6,JAMMU,BAKORE,2018-08-30,06:00:00,0,0,31.3,30.6,31.6,,,13.2,L
7,JAMMU,BAKORE,2018-08-30,07:00:00,0,0,32.0,30.9,32.0,,,13.6,L
8,JAMMU,BAKORE,2018-08-30,08:00:00,0,0,32.8,31.9,33.0,,,13.7,L
9,JAMMU,BAKORE,2018-08-30,09:00:00,0,0,33.5,32.5,33.8,,,13.4,L
10,JAMMU,BAKORE,2018-08-30,10:00:00,0,0,33.8,33.4,34.5,,,13.1,L
11,JAMMU,BAKORE,2018-08-30,11:00:00,0,0,33.6,33.4,33.9,,,12.9,L
12,JAMMU,BAKORE,2018-08-30,12:00:00,0,0,32.8,32.8,33.7,34.5,,12.6,L
13,JAMMU,BAKORE,2018-08-30,13:00:00,0,0,31.2,31.2,33.1,,,12.3,L
14,JAMMU,BAKORE,2018-08-30,14:00:00,0,0,30.5,30.5,31.1,,,12.2,L
15,JAMMU,BAKORE,2018-08-30,15:00:00,0,0,30.2,30.2,30.6,,,12.2,L
16,JAMMU,BAKORE,2018-08-30,16:00:00,0,0,29.8,29.5,30.2,,,12.2,L
17,JAMMU,BAKORE,2018-08-30,17:00:00,0,0,28.7,28.6,29.8,,,12.2,L
18,JAMMU,BAKORE,2018-08-30,18:00:00,0,0,28.7,28.6,28.8,,,12.2,L
19,JAMMU,BAKORE,2018-08-30,19:00:00,0,0,28.3,28.3,28.7,,,12.2,L
20,JAMMU,BAKORE,2018-08-30,20:00:00,0,0,27.3,27.1,28.4,,,12.1,L
21,JAMMU,BAKORE,2018-08-30,22:00:00,0,0,27.7,27.6,28.2,,,12.1,L
22,JAMMU,BAKORE,2018-08-30,23:00:00,0,0,27.5,27.4,27.7,,,12.1,L
