S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),BATTERY (Volts),GPS
1,DUMKA,JAMA,2018-08-30,00:00:00,0,0,,,,,,12.5,L
2,DUMKA,JAMA,2018-08-30,01:00:00,0,0,,,,,,12.7,L
3,DUMKA,JAMA,2018-08-30,02:00:00,0,0,,,,,,13.2,L
4,DUMKA,JAMA,2018-08-30,05:00:00,0,0,,,,,,13.1,L
5,DUMKA,JAMA,2018-08-30,06:00:00,0,0,,,,,,13.1,L
6,DUMKA,JAMA,2018-08-30,10:00:00,0,0,,,,,,13.1,L
7,DUMKA,JAMA,2018-08-30,12:00:00,0,0,,,,,,12.7,L
8,DUMKA,JAMA,2018-08-30,14:00:00,1,1,,,,,19.0,12.7,L
9,DUMKA,JAMA,2018-08-30,15:00:00,1,2,,,,,,12.6,L
10,DUMKA,JAMA,2018-08-30,16:00:00,0,2,,,,,,12.6,L
11,DUMKA,JAMA,2018-08-30,17:00:00,0,2,,,,,,12.6,L
12,DUMKA,JAMA,2018-08-30,18:00:00,0,3,,,,,,12.6,L
13,DUMKA,JAMA,2018-08-30,19:00:00,1,4,,,,,,12.6,L
14,DUMKA,JAMA,2018-08-30,20:00:00,8,12,,,,,,12.6,L
15,DUMKA,JAMA,2018-08-30,21:00:00,1,13,,,,,,12.6,L
16,DUMKA,JAMA,2018-08-30,22:00:00,0,13,,,,,,12.6,L
17,DUMKA,JAMA,2018-08-31,00:00:00,0,13,,,,,,12.5,L
18,DUMKA,JAMA,2018-08-31,01:00:00,0,13,,,,,,12.8,L
19,DUMKA,JAMA,2018-08-31,06:00:00,0,0,,,,,,13.1,L
20,DUMKA,JAMA,2018-08-31,12:00:00,0,0,,,,,,12.7,L
21,DUMKA,JAMA,2018-08-31,14:00:00,0,0,,,,,,12.6,L
22,DUMKA,JAMA,2018-08-31,17:00:00,0,0,,,,,,12.6,L
23,DUMKA,JAMA,2018-08-31,22:00:00,0,0,,,,,,12.5,L
24,DUMKA,JAMA,2018-08-31,23:00:00,0,0,,,,,,12.5,L
25,DUMKA,JAMA,2018-09-01,00:00:00,0,0,,,,,,12.5,L
26,DUMKA,JAMA,2018-09-01,01:00:00,0,0,,,,,,12.5,L
27,DUMKA,JAMA,2018-09-01,09:00:00,0,0,,,,,,13.2,L
28,DUMKA,JAMA,2018-09-01,11:00:00,0,0,,,,,,13.7,L
29,DUMKA,JAMA,2018-09-01,13:00:00,0,0,,,,,,12.7,L
30,DUMKA,JAMA,2018-09-01,14:00:00,15,15,,,,,,12.7,L
31,DUMKA,JAMA,2018-09-01,16:00:00,0,16,,,,,,12.6,L
32,DUMKA,JAMA,2018-09-01,17:00:00,0,16,,,,,,12.6,L
33,DUMKA,JAMA,2018-09-01,20:00:00,0,16,,,,,,12.6,L
34,DUMKA,JAMA,2018-09-01,21:00:00,0,16,,,,,,12.6,L
35,DUMKA,JAMA,2018-09-02,00:00:00,0,16,,,,,,12.6,L
36,DUMKA,JAMA,2018-09-02,01:00:00,0,16,,,,,,12.8,L
37,DUMKA,JAMA,2018-09-03,02:00:00,0,10,,,,,,12.5,L
38,DUMKA,JAMA,2018-09-03,03:00:00,0,10,,,,,,12.5,L
39,DUMKA,JAMA,2018-09-03,05:00:00,0,0,,,,,,13.2,L
40,DUMKA,JAMA,2018-09-03,06:00:00,0,0,,,,,,13.8,L
41,DUMKA,JAMA,2018-09-03,08:00:00,0,0,,,,,,13.2,L
42,DUMKA,JAMA,2018-09-03,11:00:00,0,0,,,,,,13.3,L
43,DUMKA,JAMA,2018-09-03,12:00:00,0,0,,,,,,12.8,L
44,DUMKA,JAMA,2018-09-03,16:00:00,0,0,8.8,,,,,12.6,L
45,DUMKA,JAMA,2018-09-03,21:00:00,0,0,,,,,,12.6,L
46,DUMKA,JAMA,2018-09-03,22:00:00,0,0,,,,,,12.6,L
47,DUMKA,JAMA,2018-09-03,23:00:00,0,0,,,,,,12.6,L
48,DUMKA,JAMA,2018-09-04,00:00:00,0,0,,,,,,12.6,L
49,DUMKA,JAMA,2018-09-04,01:00:00,0,0,,,,,,12.6,L
50,DUMKA,JAMA,2018-09-04,03:00:00,0,0,,,,,,12.6,L
51,DUMKA,JAMA,2018-09-04,06:00:00,1,1,,,,,,12.9,L
52,DUMKA,JAMA,2018-09-04,11:00:00,0,1,,,,,,13.2,L
53,DUMKA,JAMA,2018-09-04,13:00:00,0,1,,,,,,12.7,L
54,DUMKA,JAMA,2018-09-04,15:00:00,0,1,,,,,,12.6,L
55,DUMKA,JAMA,2018-09-04,16:00:00,0,1,,,,,,12.6,L
56,DUMKA,JAMA,2018-09-04,17:00:00,0,1,,,,,,12.6,L
57,DUMKA,JAMA,2018-09-04,18:00:00,0,1,,,,,,12.6,L
58,DUMKA,JAMA,2018-09-04,20:00:00,0,1,,,,,,12.6,L
59,DUMKA,JAMA,2018-09-04,22:00:00,0,1,,,,,,12.6,L
60,DUMKA,JAMA,2018-09-05,00:00:00,0,1,,,,,,12.5,L
61,DUMKA,JAMA,2018-09-05,01:00:00,0,1,,,,,,12.5,L
62,DUMKA,JAMA,2018-09-05,02:00:00,0,641,,,,,,12.5,L
63,DUMKA,JAMA,2018-09-05,03:00:00,0,1,,,,,,12.5,L
64,DUMKA,JAMA,2018-09-05,05:00:00,0,0,,,,,,12.5,L
65,DUMKA,JAMA,2018-09-05,08:00:00,0,0,,,,,,12.5,L
66,DUMKA,JAMA,2018-09-05,09:00:00,0,0,,,,,,12.5,L
67,DUMKA,JAMA,2018-09-05,11:00:00,0,0,,,,,,12.5,L
68,DUMKA,JAMA,2018-09-05,13:00:00,2,10,,,,,,12.4,L
69,DUMKA,JAMA,2018-09-05,16:00:00,0,10,,,,,,12.4,L
70,DUMKA,JAMA,2018-09-05,17:00:00,0,10,,,,,,12.4,L
71,DUMKA,JAMA,2018-09-05,20:00:00,0,10,,,,,,12.4,L
72,DUMKA,JAMA,2018-09-05,21:00:00,0,10,,,,,,12.4,L
73,GIRIDIH,BIRNI,2018-08-30,00:00:00,0,0,,,,,,12.8,L
74,GIRIDIH,BIRNI,2018-08-30,01:00:00,0,0,,,,,,13.1,L
75,GIRIDIH,BIRNI,2018-08-30,02:00:00,0,0,,,,,,13.5,L
76,GIRIDIH,BIRNI,2018-08-30,03:00:00,0,0,,,,,,14.0,L
77,GIRIDIH,BIRNI,2018-08-30,04:00:00,0,0,,,,,,13.4,L
78,GIRIDIH,BIRNI,2018-08-30,05:00:00,0,0,,,,,,13.4,L
79,GIRIDIH,BIRNI,2018-08-30,06:00:00,0,0,,,,,,13.4,L
80,GIRIDIH,BIRNI,2018-08-30,07:00:00,0,0,,,,,,13.4,L
81,GIRIDIH,BIRNI,2018-08-30,08:00:00,0,0,,,,,,13.3,L
82,GIRIDIH,BIRNI,2018-08-30,09:00:00,0,0,,,,,,13.4,L
83,GIRIDIH,BIRNI,2018-08-30,10:00:00,0,0,,,,,,14.3,L
84,GIRIDIH,BIRNI,2018-08-30,11:00:00,0,0,,,,,,12.9,L
85,GIRIDIH,BIRNI,2018-08-30,12:00:00,0,0,,,,,,12.9,L
86,GIRIDIH,BIRNI,2018-08-30,13:00:00,0,0,,,,,,12.9,L
87,GIRIDIH,BIRNI,2018-08-30,14:00:00,0,1,,,,,,12.9,L
88,GIRIDIH,BIRNI,2018-08-30,15:00:00,0,1,,,,,,12.9,L
89,GIRIDIH,BIRNI,2018-08-30,16:00:00,0,1,,,,,,12.8,L
90,GIRIDIH,BIRNI,2018-08-30,17:00:00,0,1,,,,,,12.8,L
91,GIRIDIH,BIRNI,2018-08-30,18:00:00,0,1,,,,,,12.8,L
92,GIRIDIH,BIRNI,2018-08-30,19:00:00,0,1,,,,,,12.8,L
93,GIRIDIH,BIRNI,2018-08-30,20:00:00,0,1,,,,,,12.8,L
94,GIRIDIH,BIRNI,2018-08-30,21:00:00,0,1,,,,,,12.8,L
95,GIRIDIH,BIRNI,2018-08-30,23:00:00,0,1,,,,,,12.8,L
96,GIRIDIH,BIRNI,2018-08-31,00:00:00,0,1,,,,,,12.8,L
97,GIRIDIH,BIRNI,2018-08-31,01:00:00,0,1,,,,,,12.9,L
98,GIRIDIH,BIRNI,2018-08-31,02:00:00,0,1,,,,,,13.4,L
99,GIRIDIH,BIRNI,2018-08-31,03:00:00,0,1,,,,,,13.9,L
100,GIRIDIH,BIRNI,2018-08-31,04:00:00,0,0,,,,,,13.4,L
101,GIRIDIH,BIRNI,2018-08-31,05:00:00,0,0,,,,,,13.3,L
102,GIRIDIH,BIRNI,2018-08-31,06:00:00,0,0,,,,,,13.3,L
103,GIRIDIH,BIRNI,2018-08-31,07:00:00,0,0,,,,,,13.4,L
104,GIRIDIH,BIRNI,2018-08-31,08:00:00,0,0,,,,,,14.2,L
105,GIRIDIH,BIRNI,2018-08-31,09:00:00,0,0,,,,,,14.2,L
106,GIRIDIH,BIRNI,2018-08-31,10:00:00,0,0,,,,,,13.4,L
107,GIRIDIH,BIRNI,2018-08-31,11:00:00,0,0,,,,,,13.5,L
108,GIRIDIH,BIRNI,2018-08-31,12:00:00,0,0,,,,,,13.4,L
109,GIRIDIH,BIRNI,2018-08-31,13:00:00,0,0,,,,,,12.9,L
110,GIRIDIH,BIRNI,2018-08-31,14:00:00,0,0,,,,,,12.9,L
111,GIRIDIH,BIRNI,2018-08-31,15:00:00,0,0,,,,,,12.9,L
