S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),BATTERY (Volts),GPS
1,ERNAKULAM,KEERAMPARA,2018-08-30,00:00:00,0,0.0,,,,,,8.9,L
2,ERNAKULAM,KEERAMPARA,2018-08-30,01:00:00,0,0.0,,,,,,8.9,L
3,ERNAKULAM,KEERAMPARA,2018-08-30,02:00:00,0,0.0,,,,,,9.1,L
4,ERNAKULAM,KEERAMPARA,2018-08-30,07:00:00,0,0.0,,,,,,12.8,L
5,ERNAKULAM,KEERAMPARA,2018-08-30,08:00:00,1,1.0,,,,,,11.8,L
6,ERNAKULAM,KEERAMPARA,2018-08-30,09:00:00,3,5.0,,,,,,10.0,L
7,ERNAKULAM,KEERAMPARA,2018-08-30,11:00:00,0,5.0,,,,,,9.4,L
8,ERNAKULAM,KEERAMPARA,2018-08-30,12:00:00,0,5.0,,,,,,9.7,L
9,ERNAKULAM,KEERAMPARA,2018-08-30,13:00:00,0,5.0,,,,,,9.3,L
10,ERNAKULAM,KEERAMPARA,2018-08-30,14:00:00,0,5.0,,,,,,9.2,L
11,ERNAKULAM,KEERAMPARA,2018-08-30,15:00:00,0,5.0,,,,,,9.1,L
12,ERNAKULAM,KEERAMPARA,2018-08-30,16:00:00,0,5.0,,,,,,9.0,L
13,ERNAKULAM,KEERAMPARA,2018-08-30,17:00:00,0,5.0,,,,,,8.9,L
14,ERNAKULAM,KEERAMPARA,2018-08-30,18:00:00,0,5.0,,,,,,8.9,L
15,ERNAKULAM,KEERAMPARA,2018-08-30,19:00:00,0,5.0,,,,,,8.9,L
16,ERNAKULAM,KEERAMPARA,2018-08-30,20:00:00,0,5.0,,,,,,8.9,L
17,ERNAKULAM,KEERAMPARA,2018-08-30,21:00:00,0,5.0,,,,,,8.8,L
18,ERNAKULAM,KEERAMPARA,2018-08-30,22:00:00,0,5.0,,,,,,8.8,L
19,ERNAKULAM,KEERAMPARA,2018-08-30,23:00:00,0,5.0,,,,,,8.8,L
20,ERNAKULAM,KEERAMPARA,2018-08-31,00:00:00,0,5.0,,,,,,8.8,L
21,ERNAKULAM,KEERAMPARA,2018-08-31,01:00:00,0,0.0,,,,,,8.8,L
22,ERNAKULAM,KEERAMPARA,2018-08-31,02:00:00,0,0.0,,,,,,9.1,L
23,ERNAKULAM,KEERAMPARA,2018-08-31,03:00:00,0,0.0,,,,,,9.5,L
24,ERNAKULAM,KEERAMPARA,2018-08-31,04:00:00,0,0.0,,,,,,12.4,L
25,ERNAKULAM,KEERAMPARA,2018-08-31,05:00:00,0,0.0,,,,,,13.1,L
26,ERNAKULAM,KEERAMPARA,2018-08-31,06:00:00,0,0.0,,,,,,10.8,L
27,ERNAKULAM,KEERAMPARA,2018-08-31,07:00:00,0,0.0,,,,,,11.2,L
28,ERNAKULAM,KEERAMPARA,2018-08-31,08:00:00,0,0.0,,,,,,10.3,L
29,ERNAKULAM,KEERAMPARA,2018-08-31,09:00:00,1,1.0,,,,,,10.9,L
30,ERNAKULAM,KEERAMPARA,2018-08-31,10:00:00,0,1.0,,,,,,10.3,L
31,ERNAKULAM,KEERAMPARA,2018-08-31,11:00:00,0,1.0,,,,,,9.9,L
32,ERNAKULAM,KEERAMPARA,2018-08-31,12:00:00,0,1.0,,,,,,9.7,L
33,ERNAKULAM,KEERAMPARA,2018-08-31,13:00:00,0,1.0,,,,,,9.6,L
34,ERNAKULAM,KEERAMPARA,2018-08-31,14:00:00,0,1.0,,,,,,9.3,L
35,ERNAKULAM,KEERAMPARA,2018-08-31,15:00:00,0,1.0,,,,,,9.3,L
36,ERNAKULAM,KEERAMPARA,2018-08-31,16:00:00,0,1.0,,,,,,9.2,L
37,ERNAKULAM,KEERAMPARA,2018-08-31,17:00:00,0,1.0,,,,,,9.1,L
38,ERNAKULAM,KEERAMPARA,2018-08-31,18:00:00,0,1.0,,,,,,9.1,L
39,ERNAKULAM,KEERAMPARA,2018-08-31,19:00:00,0,2.0,,,,,,9.0,L
40,ERNAKULAM,KEERAMPARA,2018-08-31,20:00:00,0,2.0,,,,,,9.0,L
41,ERNAKULAM,KEERAMPARA,2018-08-31,21:00:00,0,2.0,,,,,,8.9,L
42,ERNAKULAM,KEERAMPARA,2018-08-31,22:00:00,0,2.0,,,,,,8.9,L
43,ERNAKULAM,KEERAMPARA,2018-08-31,23:00:00,0,2.0,,,,,,8.9,L
44,ERNAKULAM,KEERAMPARA,2018-09-01,00:00:00,0,2.0,,,,,,8.9,L
45,ERNAKULAM,KEERAMPARA,2018-09-01,01:00:00,0,0.0,,,,,,8.8,L
46,ERNAKULAM,KEERAMPARA,2018-09-01,02:00:00,0,0.0,,,,,,9.0,L
47,ERNAKULAM,KEERAMPARA,2018-09-01,03:00:00,0,0.0,,,,,,9.4,L
48,ERNAKULAM,KEERAMPARA,2018-09-01,09:00:00,0,0.0,,,,,,13.4,L
49,ERNAKULAM,KEERAMPARA,2018-09-01,10:00:00,0,0.0,,,,,,11.1,L
50,ERNAKULAM,KEERAMPARA,2018-09-01,11:00:00,0,0.0,,,,,,10.2,L
51,ERNAKULAM,KEERAMPARA,2018-09-01,12:00:00,0,0.0,,,,,,9.8,L
52,ERNAKULAM,KEERAMPARA,2018-09-01,13:00:00,0,0.0,,,,,,9.3,L
53,ERNAKULAM,KEERAMPARA,2018-09-01,14:00:00,0,0.0,,,,,,9.2,L
54,ERNAKULAM,KEERAMPARA,2018-09-01,15:00:00,0,0.0,,,,,,9.2,L
55,ERNAKULAM,KEERAMPARA,2018-09-01,16:00:00,0,0.0,,,,,,9.1,L
56,ERNAKULAM,KEERAMPARA,2018-09-01,17:00:00,0,0.0,,,,,,9.1,L
57,ERNAKULAM,KEERAMPARA,2018-09-01,18:00:00,0,0.0,,,,,,9.0,L
58,ERNAKULAM,KEERAMPARA,2018-09-01,19:00:00,0,0.0,,,,,,8.9,L
59,ERNAKULAM,KEERAMPARA,2018-09-01,20:00:00,0,0.0,,,,,,8.9,L
60,ERNAKULAM,KEERAMPARA,2018-09-01,21:00:00,0,0.0,,,,,,8.9,L
61,ERNAKULAM,KEERAMPARA,2018-09-01,22:00:00,0,0.0,,,,,,8.9,L
62,ERNAKULAM,KEERAMPARA,2018-09-01,23:00:00,0,0.0,,,,,,8.8,L
63,ERNAKULAM,KEERAMPARA,2018-09-02,00:00:00,0,0.0,,,,,,8.8,L
64,ERNAKULAM,KEERAMPARA,2018-09-02,01:00:00,0,0.0,,,,,,8.8,L
65,ERNAKULAM,KEERAMPARA,2018-09-02,02:00:00,0,0.0,,,,,,9.0,L
66,ERNAKULAM,KEERAMPARA,2018-09-02,03:00:00,0,0.0,,,,,,9.9,L
67,ERNAKULAM,KEERAMPARA,2018-09-02,06:00:00,0,0.0,,,,,,9.3,L
68,ERNAKULAM,KEERAMPARA,2018-09-02,07:00:00,0,0.0,,,,,,14.1,L
69,ERNAKULAM,KEERAMPARA,2018-09-02,08:00:00,0,0.0,,,,,,10.6,L
70,ERNAKULAM,KEERAMPARA,2018-09-02,09:00:00,0,0.0,,,,,,10.1,L
71,ERNAKULAM,KEERAMPARA,2018-09-02,10:00:00,0,0.0,,,,,,9.9,L
72,ERNAKULAM,KEERAMPARA,2018-09-02,11:00:00,0,0.0,,,,,,10.3,L
73,ERNAKULAM,KEERAMPARA,2018-09-02,12:00:00,0,0.0,,,,,,9.8,L
74,ERNAKULAM,KEERAMPARA,2018-09-02,13:00:00,0,0.0,,,,,,9.3,L
75,ERNAKULAM,KEERAMPARA,2018-09-02,14:00:00,0,0.0,,,,,,9.3,L
76,ERNAKULAM,KEERAMPARA,2018-09-02,15:00:00,0,0.0,,,,,,9.2,L
77,ERNAKULAM,KEERAMPARA,2018-09-02,16:00:00,0,0.0,,,,,,9.1,L
78,ERNAKULAM,KEERAMPARA,2018-09-02,17:00:00,0,0.0,,,,,,9.1,L
79,ERNAKULAM,KEERAMPARA,2018-09-02,18:00:00,0,0.0,,,,,,9.0,L
80,ERNAKULAM,KEERAMPARA,2018-09-02,19:00:00,0,0.0,,,,,,8.9,L
81,ERNAKULAM,KEERAMPARA,2018-09-02,20:00:00,0,0.0,,,,,,8.9,L
82,ERNAKULAM,KEERAMPARA,2018-09-02,21:00:00,0,0.0,,,,,,8.9,L
83,ERNAKULAM,KEERAMPARA,2018-09-02,22:00:00,0,0.0,,,,,,8.9,L
84,ERNAKULAM,KEERAMPARA,2018-09-02,23:00:00,0,0.0,,,,,,8.8,L
85,ERNAKULAM,KEERAMPARA,2018-09-03,00:00:00,0,0.0,,,,,,8.8,L
86,ERNAKULAM,KEERAMPARA,2018-09-03,01:00:00,0,0.0,,,,,,8.8,L
87,ERNAKULAM,KEERAMPARA,2018-09-03,02:00:00,0,0.0,,,,,,9.0,L
88,ERNAKULAM,KEERAMPARA,2018-09-03,03:00:00,0,0.0,,,,,,9.7,L
89,ERNAKULAM,KEERAMPARA,2018-09-03,10:00:00,0,0.0,,,,,,13.7,L
90,ERNAKULAM,KEERAMPARA,2018-09-03,11:00:00,0,0.0,,,,,,12.5,L
91,ERNAKULAM,KEERAMPARA,2018-09-03,12:00:00,0,0.0,,,,,,9.6,L
92,ERNAKULAM,KEERAMPARA,2018-09-03,13:00:00,0,0.0,,,,,,9.3,L
93,ERNAKULAM,KEERAMPARA,2018-09-03,14:00:00,0,0.0,,,,,,9.2,L
