S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),BATTERY (Volts),GPS
1,ALIRAJPUR,BHABHARA,2018-08-30,00:00:00,0,0,,,,,,11.5,L
2,ALIRAJPUR,BHABHARA,2018-08-30,01:00:00,0,0,,,,,,11.5,L
3,ALIRAJPUR,BHABHARA,2018-08-30,02:00:00,0,0,,,,,,11.5,L
4,ALIRAJPUR,BHABHARA,2018-08-30,03:00:00,0,0,,,,,,11.5,L
5,ALIRAJPUR,BHABHARA,2018-08-30,07:00:00,0,0,,,,,,11.6,L
6,ALIRAJPUR,BHABHARA,2018-08-30,09:00:00,0,0,,,,,,11.6,L
7,ALIRAJPUR,BHABHARA,2018-08-30,10:00:00,0,0,,,,,,11.6,L
8,ALIRAJPUR,BHABHARA,2018-08-30,11:00:00,0,0,,,,,,11.6,L
9,ALIRAJPUR,BHABHARA,2018-08-30,12:00:00,0,0,,,,,,11.6,L
10,ALIRAJPUR,BHABHARA,2018-08-30,14:00:00,0,0,,,,,,11.5,L
11,ALIRAJPUR,BHABHARA,2018-08-30,15:00:00,0,0,,,,,,11.5,L
12,ALIRAJPUR,BHABHARA,2018-08-30,16:00:00,0,0,,,,,,11.5,L
13,ALIRAJPUR,BHABHARA,2018-08-30,17:00:00,0,0,,,,,,11.5,L
14,ALIRAJPUR,BHABHARA,2018-08-30,18:00:00,0,0,,,,,,11.5,L
15,ALIRAJPUR,BHABHARA,2018-08-30,19:00:00,0,0,,,,,,1.9,L
16,ALIRAJPUR,BHABHARA,2018-08-30,20:00:00,0,0,,,,,,11.4,L
17,ALIRAJPUR,BHABHARA,2018-08-30,21:00:00,0,0,,,,,,11.5,L
18,ALIRAJPUR,BHABHARA,2018-08-30,22:00:00,0,0,,,,,,11.4,L
19,ALIRAJPUR,BHABHARA,2018-08-30,23:00:00,0,0,,,,,,11.4,L
20,ALIRAJPUR,BHABHARA,2018-08-31,00:00:00,0,0,,,,,,11.4,L
21,ALIRAJPUR,BHABHARA,2018-08-31,01:00:00,0,0,,,,,,11.4,L
22,ALIRAJPUR,BHABHARA,2018-08-31,02:00:00,0,0,,,,,,11.4,L
23,ALIRAJPUR,BHABHARA,2018-08-31,03:00:00,0,0,,,,,,11.4,L
24,ALIRAJPUR,BHABHARA,2018-08-31,06:00:00,0,0,,,,,,11.6,L
25,ALIRAJPUR,BHABHARA,2018-08-31,08:00:00,0,0,,,,,,11.8,L
26,ALIRAJPUR,BHABHARA,2018-08-31,10:00:00,0,0,,,,,,11.6,L
27,ALIRAJPUR,BHABHARA,2018-08-31,11:00:00,0,0,,,,,,11.6,L
28,ALIRAJPUR,BHABHARA,2018-08-31,12:00:00,0,0,,,,,,11.6,L
29,ALIRAJPUR,BHABHARA,2018-08-31,13:00:00,0,0,,,,,,11.5,L
30,ALIRAJPUR,BHABHARA,2018-08-31,14:00:00,0,0,,,,,,11.5,L
31,ALIRAJPUR,BHABHARA,2018-08-31,15:00:00,0,0,,,,,,11.5,L
32,ALIRAJPUR,BHABHARA,2018-08-31,16:00:00,0,0,,,,,,11.4,L
33,ALIRAJPUR,BHABHARA,2018-08-31,17:00:00,0,0,,,,,,11.4,L
34,ALIRAJPUR,BHABHARA,2018-08-31,18:00:00,0,0,,,,,,11.4,L
35,ALIRAJPUR,BHABHARA,2018-08-31,19:00:00,0,0,,,,,,11.4,L
36,ALIRAJPUR,BHABHARA,2018-08-31,20:00:00,0,0,,,,,,11.4,L
37,ALIRAJPUR,BHABHARA,2018-08-31,21:00:00,0,0,,,,,,11.4,L
38,ALIRAJPUR,BHABHARA,2018-08-31,22:00:00,0,0,,,,,,11.4,L
39,ALIRAJPUR,BHABHARA,2018-08-31,23:00:00,0,0,,,,,,11.4,L
40,ALIRAJPUR,BHABHARA,2018-09-01,00:00:00,0,0,,,,,,11.4,L
41,ALIRAJPUR,BHABHARA,2018-09-01,01:00:00,0,0,,,,,,11.4,L
42,ALIRAJPUR,BHABHARA,2018-09-01,02:00:00,0,0,,,,,,11.4,L
43,ALIRAJPUR,BHABHARA,2018-09-01,04:00:00,0,0,,,,,,11.6,L
44,ALIRAJPUR,BHABHARA,2018-09-01,07:00:00,0,0,,,,,,11.7,L
45,ALIRAJPUR,BHABHARA,2018-09-01,08:00:00,0,0,,,,,,11.6,L
46,ALIRAJPUR,BHABHARA,2018-09-01,09:00:00,0,0,,,,,,11.6,L
47,ALIRAJPUR,BHABHARA,2018-09-01,10:00:00,0,0,,,,,,11.7,L
48,ALIRAJPUR,BHABHARA,2018-09-01,11:00:00,0,0,,,,,,11.6,L
49,ALIRAJPUR,BHABHARA,2018-09-01,12:00:00,0,0,,,,,,11.6,L
50,ALIRAJPUR,BHABHARA,2018-09-01,13:00:00,0,0,,,,,,11.6,L
51,ALIRAJPUR,BHABHARA,2018-09-01,14:00:00,0,0,,,,,,11.5,L
52,ALIRAJPUR,BHABHARA,2018-09-01,15:00:00,0,0,,,,,,11.4,L
53,ALIRAJPUR,BHABHARA,2018-09-01,16:00:00,0,0,,,,,,11.4,L
54,ALIRAJPUR,BHABHARA,2018-09-01,17:00:00,0,0,,,,,,11.4,L
55,ALIRAJPUR,BHABHARA,2018-09-01,18:00:00,0,0,,,,,,11.4,L
56,ALIRAJPUR,BHABHARA,2018-09-01,19:00:00,0,0,,,,,,11.4,L
57,ALIRAJPUR,BHABHARA,2018-09-01,20:00:00,0,0,,,,,,11.4,L
58,ALIRAJPUR,BHABHARA,2018-09-01,21:00:00,0,0,,,,,,11.4,L
59,ALIRAJPUR,BHABHARA,2018-09-01,22:00:00,0,0,,,,,,11.4,L
60,ALIRAJPUR,BHABHARA,2018-09-01,23:00:00,0,0,,,,,,11.4,L
61,ALIRAJPUR,BHABHARA,2018-09-02,00:00:00,0,0,,,,,,11.4,L
62,ALIRAJPUR,BHABHARA,2018-09-02,01:00:00,0,0,,,,,,11.4,L
63,ALIRAJPUR,BHABHARA,2018-09-02,02:00:00,0,0,,,,,,11.4,L
64,ALIRAJPUR,BHABHARA,2018-09-02,03:00:00,0,0,,,,,,11.4,L
65,ALIRAJPUR,BHABHARA,2018-09-02,04:00:00,0,0,,,,,,11.4,L
66,ALIRAJPUR,BHABHARA,2018-09-02,05:00:00,0,0,,,,,,11.6,L
67,ALIRAJPUR,BHABHARA,2018-09-02,06:00:00,0,0,,,,,,11.7,L
68,ALIRAJPUR,BHABHARA,2018-09-02,07:00:00,0,0,,,,,,11.6,L
69,ALIRAJPUR,BHABHARA,2018-09-02,08:00:00,0,0,,,,,,11.7,L
70,ALIRAJPUR,BHABHARA,2018-09-02,09:00:00,0,0,,,,,,11.7,L
71,ALIRAJPUR,BHABHARA,2018-09-02,10:00:00,0,0,,,,,,11.6,L
72,ALIRAJPUR,BHABHARA,2018-09-02,11:00:00,0,0,,,,,,11.6,L
73,ALIRAJPUR,BHABHARA,2018-09-02,12:00:00,0,0,,,,,,11.5,L
74,ALIRAJPUR,BHABHARA,2018-09-02,13:00:00,0,0,,,,,,11.5,L
75,ALIRAJPUR,BHABHARA,2018-09-02,14:00:00,0,0,,,,,,11.4,L
76,ALIRAJPUR,BHABHARA,2018-09-02,15:00:00,0,0,,,,,,11.4,L
77,ALIRAJPUR,BHABHARA,2018-09-02,16:00:00,0,0,,,,,,11.4,L
78,ALIRAJPUR,BHABHARA,2018-09-02,17:00:00,0,0,,,,,,11.4,L
79,ALIRAJPUR,BHABHARA,2018-09-02,18:00:00,0,0,,,,,,11.4,L
80,ALIRAJPUR,BHABHARA,2018-09-02,19:00:00,0,0,,,,,,11.4,L
81,ALIRAJPUR,BHABHARA,2018-09-02,20:00:00,0,0,,,,,,11.4,L
82,ALIRAJPUR,BHABHARA,2018-09-02,21:00:00,0,0,,,,,,11.4,L
83,ALIRAJPUR,BHABHARA,2018-09-02,22:00:00,0,0,,,,,,11.4,L
84,ALIRAJPUR,BHABHARA,2018-09-02,23:00:00,0,0,,,,,,11.3,L
85,ALIRAJPUR,BHABHARA,2018-09-03,00:00:00,0,0,,,,,,11.3,L
86,ALIRAJPUR,BHABHARA,2018-09-03,01:00:00,0,0,,,,,,11.3,L
87,ALIRAJPUR,BHABHARA,2018-09-03,02:00:00,0,0,,,,,,11.4,L
88,ALIRAJPUR,BHABHARA,2018-09-03,03:00:00,0,0,,,,,,11.3,L
89,ALIRAJPUR,BHABHARA,2018-09-03,04:00:00,0,0,,,,,,11.4,L
90,ALIRAJPUR,BHABHARA,2018-09-03,05:00:00,0,0,,,,,,11.6,L
