S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),BATTERY (Volts),GPS
1,AKOLA,MURTIZAPUR,2018-08-30,00:00:00,0,0,,,,,,12.3,L
2,AKOLA,MURTIZAPUR,2018-08-30,01:00:00,0,0,,,,,,12.3,L
3,AKOLA,MURTIZAPUR,2018-08-30,02:00:00,0,0,,,,,,13.3,L
4,AKOLA,MURTIZAPUR,2018-08-30,03:00:00,0,0,,,,,,13.8,L
5,AKOLA,MURTIZAPUR,2018-08-30,04:00:00,0,0,,,,,,13.8,L
6,AKOLA,MURTIZAPUR,2018-08-30,05:00:00,0,0,,,,,,13.3,L
7,AKOLA,MURTIZAPUR,2018-08-30,06:00:00,0,0,,,,,,13.3,L
8,AKOLA,MURTIZAPUR,2018-08-30,07:00:00,0,0,,,,,,13.2,L
9,AKOLA,MURTIZAPUR,2018-08-30,08:00:00,0,0,,,,,,13.3,L
10,AKOLA,MURTIZAPUR,2018-08-30,09:00:00,0,0,,,,,,13.3,L
11,AKOLA,MURTIZAPUR,2018-08-30,10:00:00,0,0,,,,,,13.3,L
12,AKOLA,MURTIZAPUR,2018-08-30,11:00:00,0,0,,,,,,13.3,L
13,AKOLA,MURTIZAPUR,2018-08-30,12:00:00,0,0,,,,,,13.1,L
14,AKOLA,MURTIZAPUR,2018-08-30,13:00:00,0,0,,,,,,12.8,L
15,AKOLA,MURTIZAPUR,2018-08-30,14:00:00,0,0,,,,,,12.6,L
16,AKOLA,MURTIZAPUR,2018-08-30,15:00:00,0,0,,,,,,12.4,L
17,AKOLA,MURTIZAPUR,2018-08-30,16:00:00,0,0,,,,,,12.4,L
18,AKOLA,MURTIZAPUR,2018-08-30,17:00:00,0,0,,,,,,12.4,L
19,AKOLA,MURTIZAPUR,2018-08-30,18:00:00,0,0,,,,,,12.4,L
20,AKOLA,MURTIZAPUR,2018-08-30,19:00:00,0,0,,,,,,12.4,L
21,AKOLA,MURTIZAPUR,2018-08-30,20:00:00,0,0,,,,,,12.4,L
22,AKOLA,MURTIZAPUR,2018-08-30,21:00:00,0,0,,,,,,12.3,L
23,AKOLA,MURTIZAPUR,2018-08-30,22:00:00,0,0,,,,,,12.3,L
24,AKOLA,MURTIZAPUR,2018-08-30,23:00:00,0,0,,,,,,12.3,L
25,AKOLA,MURTIZAPUR,2018-08-31,00:00:00,0,0,,,,,,12.3,L
26,AKOLA,MURTIZAPUR,2018-08-31,01:00:00,0,0,,,,,,12.3,L
27,AKOLA,MURTIZAPUR,2018-08-31,02:00:00,0,0,,,,,,12.4,L
28,AKOLA,MURTIZAPUR,2018-08-31,03:00:00,0,0,,,,,,12.7,L
29,AKOLA,MURTIZAPUR,2018-08-31,04:00:00,0,0,,,,,,13.9,L
30,AKOLA,MURTIZAPUR,2018-08-31,05:00:00,0,0,,,,,,13.8,L
31,AKOLA,MURTIZAPUR,2018-08-31,06:00:00,0,0,,,,,,13.3,L
32,AKOLA,MURTIZAPUR,2018-08-31,07:00:00,0,0,,,,,,13.3,L
33,AKOLA,MURTIZAPUR,2018-08-31,08:00:00,0,0,,,,,,13.3,L
34,AKOLA,MURTIZAPUR,2018-08-31,09:00:00,0,0,,,,,,13.3,L
35,AKOLA,MURTIZAPUR,2018-08-31,10:00:00,0,0,,,,,,13.3,L
36,AKOLA,MURTIZAPUR,2018-08-31,11:00:00,0,0,,,,,,13.3,L
37,AKOLA,MURTIZAPUR,2018-08-31,12:00:00,0,0,,,,,,13.3,L
38,AKOLA,MURTIZAPUR,2018-08-31,13:00:00,0,0,,,,,,12.9,L
39,AKOLA,MURTIZAPUR,2018-08-31,14:00:00,0,0,,,,,,12.6,L
40,AKOLA,MURTIZAPUR,2018-08-31,15:00:00,0,0,,,,,,12.4,L
41,AKOLA,MURTIZAPUR,2018-08-31,16:00:00,0,0,,,,,,12.4,L
42,AKOLA,MURTIZAPUR,2018-08-31,17:00:00,0,0,,,,,,12.4,L
43,AKOLA,MURTIZAPUR,2018-08-31,18:00:00,0,0,,,,,,12.4,L
44,AKOLA,MURTIZAPUR,2018-08-31,19:00:00,0,0,,,,,,12.4,L
45,AKOLA,MURTIZAPUR,2018-08-31,20:00:00,0,0,,,,,,12.4,L
46,AKOLA,MURTIZAPUR,2018-08-31,21:00:00,0,0,,,,,,12.4,L
47,AKOLA,MURTIZAPUR,2018-08-31,22:00:00,0,0,,,,,,12.4,L
48,AKOLA,MURTIZAPUR,2018-08-31,23:00:00,0,0,,,,,,12.3,L
49,AKOLA,MURTIZAPUR,2018-09-01,00:00:00,0,0,,,,,,12.3,L
50,AKOLA,MURTIZAPUR,2018-09-01,01:00:00,0,0,,,,,,12.3,L
51,AKOLA,MURTIZAPUR,2018-09-01,02:00:00,0,0,,,,,,12.9,L
52,AKOLA,MURTIZAPUR,2018-09-01,03:00:00,0,0,,,,,,13.3,L
53,AKOLA,MURTIZAPUR,2018-09-01,04:00:00,0,0,,,,,,13.9,L
54,AKOLA,MURTIZAPUR,2018-09-01,05:00:00,0,0,,,,,,13.8,L
55,AKOLA,MURTIZAPUR,2018-09-01,06:00:00,0,0,,,,,,13.3,L
56,AKOLA,MURTIZAPUR,2018-09-01,07:00:00,0,0,,,,,,13.3,L
57,AKOLA,MURTIZAPUR,2018-09-01,08:00:00,0,0,,,,,,13.2,L
58,AKOLA,MURTIZAPUR,2018-09-01,09:00:00,0,0,,,,,,13.2,L
59,AKOLA,MURTIZAPUR,2018-09-01,10:00:00,0,0,,,,,,13.2,L
60,AKOLA,MURTIZAPUR,2018-09-01,11:00:00,0,0,,,,,,13.2,L
61,AKOLA,MURTIZAPUR,2018-09-01,12:00:00,0,0,,,,,,13.3,L
62,AKOLA,MURTIZAPUR,2018-09-01,13:00:00,0,0,,,,,,12.9,L
63,AKOLA,MURTIZAPUR,2018-09-01,14:00:00,0,0,,,,,,12.6,L
64,AKOLA,MURTIZAPUR,2018-09-01,15:00:00,0,0,,,,,,12.4,L
