S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),BATTERY (Volts),GPS
1,RI_BHOI,BYRNIHAT,2018-08-30,00:00:00,0,0,,,,,,12.4,L
2,RI_BHOI,BYRNIHAT,2018-08-30,02:00:00,0,0,,,,,,12.5,L
3,RI_BHOI,BYRNIHAT,2018-08-30,03:00:00,0,0,,,,,,12.8,L
4,RI_BHOI,BYRNIHAT,2018-08-30,04:00:00,0,0,,,,,,13.0,L
5,RI_BHOI,BYRNIHAT,2018-08-30,12:00:00,0,0,,,,,,12.5,L
6,RI_BHOI,BYRNIHAT,2018-08-30,13:00:00,0,0,,,,,,12.5,L
7,RI_BHOI,BYRNIHAT,2018-08-30,14:00:00,0,0,,,,,,12.4,L
8,RI_BHOI,BYRNIHAT,2018-08-30,16:00:00,0,0,,,,,,12.4,L
9,RI_BHOI,BYRNIHAT,2018-08-30,18:00:00,0,0,,,,,,12.4,L
10,RI_BHOI,BYRNIHAT,2018-08-30,19:00:00,0,0,,,,,,12.4,L
11,RI_BHOI,BYRNIHAT,2018-08-30,21:00:00,0,0,,,,,,12.4,L
12,RI_BHOI,BYRNIHAT,2018-08-31,02:00:00,0,0,,,,,,12.6,L
13,RI_BHOI,BYRNIHAT,2018-08-31,03:00:00,0,0,,,,,,12.7,L
14,RI_BHOI,BYRNIHAT,2018-08-31,04:00:00,0,0,,,,,,12.8,L
15,RI_BHOI,BYRNIHAT,2018-08-31,07:00:00,0,0,,,,,,13.1,L
16,RI_BHOI,BYRNIHAT,2018-08-31,08:00:00,0,0,,,,,,13.0,L
17,RI_BHOI,BYRNIHAT,2018-08-31,09:00:00,0,0,,,,,,13.0,L
18,RI_BHOI,BYRNIHAT,2018-08-31,10:00:00,0,0,,,,,,13.1,L
19,RI_BHOI,BYRNIHAT,2018-08-31,18:00:00,0,1,,,,,,12.4,L
20,RI_BHOI,BYRNIHAT,2018-08-31,19:00:00,0,1,,,,,,12.4,L
21,RI_BHOI,BYRNIHAT,2018-08-31,21:00:00,0,1,,,,,,12.4,L
22,RI_BHOI,BYRNIHAT,2018-09-01,03:00:00,0,1,,,,,,12.8,L
23,RI_BHOI,BYRNIHAT,2018-09-01,04:00:00,0,0,,,,,,13.1,L
24,RI_BHOI,BYRNIHAT,2018-09-01,05:00:00,0,0,,,,,,13.1,L
25,RI_BHOI,BYRNIHAT,2018-09-01,06:00:00,0,0,,,,,,13.1,L
26,RI_BHOI,BYRNIHAT,2018-09-01,07:00:00,0,0,,,,,,14.0,L
27,RI_BHOI,BYRNIHAT,2018-09-01,09:00:00,0,0,,,,,,13.2,L
28,RI_BHOI,BYRNIHAT,2018-09-01,10:00:00,0,0,,,,,,13.1,L
29,RI_BHOI,BYRNIHAT,2018-09-01,11:00:00,0,0,,,,,,14.0,L
30,RI_BHOI,BYRNIHAT,2018-09-01,12:00:00,0,0,,,,,,12.5,L
31,RI_BHOI,BYRNIHAT,2018-09-01,14:00:00,0,0,,,,,,12.4,L
32,RI_BHOI,BYRNIHAT,2018-09-01,19:00:00,0,0,,,,,,12.4,L
33,RI_BHOI,BYRNIHAT,2018-09-01,21:00:00,0,0,,,,,,12.4,L
34,RI_BHOI,BYRNIHAT,2018-09-01,22:00:00,0,0,,,,,,12.4,L
35,RI_BHOI,BYRNIHAT,2018-09-02,00:00:00,0,0,,,,,,12.4,L
36,RI_BHOI,BYRNIHAT,2018-09-02,01:00:00,0,0,,,,,,12.4,L
37,RI_BHOI,BYRNIHAT,2018-09-02,02:00:00,0,0,,,,,,12.5,L
38,RI_BHOI,BYRNIHAT,2018-09-02,03:00:00,0,1,,,,,,12.8,L
39,RI_BHOI,BYRNIHAT,2018-09-02,04:00:00,0,0,,,,,,12.9,L
40,RI_BHOI,BYRNIHAT,2018-09-02,05:00:00,0,0,,,,,,12.9,L
41,RI_BHOI,BYRNIHAT,2018-09-02,07:00:00,0,0,,,,,,13.1,L
42,RI_BHOI,BYRNIHAT,2018-09-02,08:00:00,0,0,,,,,,13.2,L
43,RI_BHOI,BYRNIHAT,2018-09-02,11:00:00,0,4,,,,,,12.7,L
44,RI_BHOI,BYRNIHAT,2018-09-02,12:00:00,0,4,,,,,,12.5,L
45,RI_BHOI,BYRNIHAT,2018-09-02,13:00:00,0,4,,,,,,12.4,L
46,RI_BHOI,BYRNIHAT,2018-09-02,14:00:00,0,4,,,,,,12.4,L
47,RI_BHOI,BYRNIHAT,2018-09-02,16:00:00,0,4,,,,,,12.4,L
48,RI_BHOI,BYRNIHAT,2018-09-02,17:00:00,0,4,,,,,,12.4,L
49,RI_BHOI,BYRNIHAT,2018-09-02,18:00:00,0,4,,,,,,12.4,L
50,RI_BHOI,BYRNIHAT,2018-09-02,19:00:00,0,4,,,,,,12.4,L
51,RI_BHOI,BYRNIHAT,2018-09-02,20:00:00,0,4,,,,,,12.4,L
52,RI_BHOI,BYRNIHAT,2018-09-02,21:00:00,0,4,,,,,,12.4,L
53,RI_BHOI,BYRNIHAT,2018-09-03,02:00:00,0,20,,,,,,12.7,L
54,RI_BHOI,BYRNIHAT,2018-09-03,04:00:00,0,0,,,,,,13.0,L
55,RI_BHOI,BYRNIHAT,2018-09-03,05:00:00,0,0,,,,,,13.2,L
56,RI_BHOI,BYRNIHAT,2018-09-04,02:00:00,0,1,,,,,,12.6,L
57,RI_BHOI,BYRNIHAT,2018-09-04,03:00:00,0,1,,,,,,12.8,L
58,RI_BHOI,BYRNIHAT,2018-09-04,04:00:00,0,0,,,,,,13.1,L
59,RI_BHOI,BYRNIHAT,2018-09-04,05:00:00,0,0,,,,,,13.9,L
60,RI_BHOI,BYRNIHAT,2018-09-04,06:00:00,0,0,,,,,,13.1,L
61,RI_BHOI,BYRNIHAT,2018-09-04,08:00:00,0,0,,,,,,13.0,L
62,RI_BHOI,BYRNIHAT,2018-09-04,10:00:00,0,0,,,,,,13.1,L
63,RI_BHOI,BYRNIHAT,2018-09-04,11:00:00,0,0,,,,,,13.1,L
64,RI_BHOI,BYRNIHAT,2018-09-04,12:00:00,0,0,,,,,,12.5,L
65,RI_BHOI,BYRNIHAT,2018-09-04,13:00:00,0,0,,,,,,12.5,L
66,RI_BHOI,BYRNIHAT,2018-09-04,14:00:00,0,0,,,,,,12.4,L
67,RI_BHOI,BYRNIHAT,2018-09-04,15:00:00,0,0,,,,,,12.4,L
68,RI_BHOI,BYRNIHAT,2018-09-04,16:00:00,0,0,,,,,,12.4,L
69,RI_BHOI,BYRNIHAT,2018-09-04,17:00:00,0,0,,,,,,12.4,L
70,RI_BHOI,BYRNIHAT,2018-09-04,18:00:00,0,0,,,,,,12.4,L
71,RI_BHOI,BYRNIHAT,2018-09-04,19:00:00,0,0,,,,,,12.4,L
72,RI_BHOI,BYRNIHAT,2018-09-04,20:00:00,0,0,,,,,,12.4,L
73,RI_BHOI,BYRNIHAT,2018-09-05,00:00:00,0,46,,,,,,12.4,L
74,RI_BHOI,BYRNIHAT,2018-09-05,01:00:00,0,46,,,,,,12.6,L
75,RI_BHOI,BYRNIHAT,2018-09-05,02:00:00,0,46,,,,,,12.7,L
76,RI_BHOI,BYRNIHAT,2018-09-05,03:00:00,0,46,,,,,,13.1,L
77,RI_BHOI,BYRNIHAT,2018-09-05,04:00:00,0,0,,,,,,13.7,L
78,RI_BHOI,BYRNIHAT,2018-09-05,09:00:00,0,0,,,,,,12.6,L
79,RI_BHOI,BYRNIHAT,2018-09-05,10:00:00,0,0,,,,,,12.5,L
80,RI_BHOI,BYRNIHAT,2018-09-05,11:00:00,2,3,,,,,,12.6,L
81,RI_BHOI,BYRNIHAT,2018-09-05,12:00:00,0,3,,,,,,12.4,L
82,RI_BHOI,BYRNIHAT,2018-09-05,13:00:00,0,3,,,,,,12.4,L
83,RI_BHOI,BYRNIHAT,2018-09-05,14:00:00,0,3,,,,,,12.4,L
84,RI_BHOI,BYRNIHAT,2018-09-05,17:00:00,0,3,,,,,,12.4,L
85,RI_BHOI,BYRNIHAT,2018-09-05,18:00:00,0,3,,,,,,12.4,L
86,RI_BHOI,BYRNIHAT,2018-09-05,19:00:00,0,3,,,,,,12.4,L
87,RI_BHOI,BYRNIHAT,2018-09-05,20:00:00,0,3,,,,,,12.4,L
88,RI_BHOI,BYRNIHAT,2018-09-05,21:00:00,0,3,,,,,,12.4,L
89,RI_BHOI,BYRNIHAT,2018-09-05,22:00:00,0,3,,,,,,12.3,L
90,WEST_KHASI_HILLS,MAIRANG,2018-08-30,00:00:00,0,0,,,,,,12.1,L
91,WEST_KHASI_HILLS,MAIRANG,2018-08-30,01:00:00,0,0,,,,,,12.2,L
92,WEST_KHASI_HILLS,MAIRANG,2018-08-30,02:00:00,0,0,,,,,,12.3,L
93,WEST_KHASI_HILLS,MAIRANG,2018-08-30,03:00:00,0,0,,,,,,12.7,L
94,WEST_KHASI_HILLS,MAIRANG,2018-08-30,04:00:00,0,0,,,,,,12.6,L
95,WEST_KHASI_HILLS,MAIRANG,2018-08-30,05:00:00,0,0,,,,,,12.6,L
96,WEST_KHASI_HILLS,MAIRANG,2018-08-30,08:00:00,1,1,,,,,,13.3,L
97,WEST_KHASI_HILLS,MAIRANG,2018-08-30,15:00:00,0,1,,,,,,12.2,L
98,WEST_KHASI_HILLS,MAIRANG,2018-08-31,03:00:00,0,3,,,,,,12.5,L
99,WEST_KHASI_HILLS,MAIRANG,2018-08-31,04:00:00,0,0,,,,,,12.4,L
100,WEST_KHASI_HILLS,MAIRANG,2018-09-01,03:00:00,0,1,,,,,,12.4,L
101,WEST_KHASI_HILLS,MAIRANG,2018-09-01,04:00:00,0,0,,,,,,12.7,L
102,WEST_KHASI_HILLS,MAIRANG,2018-09-01,05:00:00,0,0,,,,,,12.7,L
103,WEST_KHASI_HILLS,MAIRANG,2018-09-01,06:00:00,0,0,,,,,,12.6,L
104,WEST_KHASI_HILLS,MAIRANG,2018-09-01,08:00:00,0,0,,,,,,12.4,L
105,WEST_KHASI_HILLS,MAIRANG,2018-09-01,09:00:00,0,0,,,,,,12.4,L
106,WEST_KHASI_HILLS,MAIRANG,2018-09-01,10:00:00,0,1,,,,,,12.3,L
107,WEST_KHASI_HILLS,MAIRANG,2018-09-01,11:00:00,0,1,,,,,,12.2,L
108,WEST_KHASI_HILLS,MAIRANG,2018-09-01,12:00:00,0,1,,,,,,12.2,L
109,WEST_KHASI_HILLS,MAIRANG,2018-09-01,13:00:00,0,1,,,,,,12.2,L
110,WEST_KHASI_HILLS,MAIRANG,2018-09-01,14:00:00,0,1,,,,,,12.2,L
111,WEST_KHASI_HILLS,MAIRANG,2018-09-01,15:00:00,0,1,,,,,,12.2,L
112,WEST_KHASI_HILLS,MAIRANG,2018-09-01,16:00:00,0,1,,,,,,12.2,L
113,WEST_KHASI_HILLS,MAIRANG,2018-09-01,17:00:00,0,1,,,,,,12.2,L
114,WEST_KHASI_HILLS,MAIRANG,2018-09-01,18:00:00,0,1,,,,,,12.2,L
115,WEST_KHASI_HILLS,MAIRANG,2018-09-01,19:00:00,2,3,,,,,,12.2,L
116,WEST_KHASI_HILLS,MAIRANG,2018-09-01,20:00:00,11,15,,,,,,12.2,L
117,WEST_KHASI_HILLS,MAIRANG,2018-09-01,21:00:00,5,20,,,,,,12.1,L
118,WEST_KHASI_HILLS,MAIRANG,2018-09-01,22:00:00,2,22,,,,,,12.1,L
119,WEST_KHASI_HILLS,MAIRANG,2018-09-01,23:00:00,0,22,,,,,,12.1,L
120,WEST_KHASI_HILLS,MAIRANG,2018-09-02,00:00:00,0,22,,,,,,12.1,L
121,WEST_KHASI_HILLS,MAIRANG,2018-09-02,01:00:00,0,22,,,,,,12.2,L
122,WEST_KHASI_HILLS,MAIRANG,2018-09-02,02:00:00,0,22,,,,,,12.2,L
123,WEST_KHASI_HILLS,MAIRANG,2018-09-02,03:00:00,0,22,,,,,,12.2,L
124,WEST_KHASI_HILLS,MAIRANG,2018-09-02,04:00:00,0,0,,,,,,12.5,L
125,WEST_KHASI_HILLS,MAIRANG,2018-09-02,05:00:00,0,0,,,,,,12.4,L
126,WEST_KHASI_HILLS,MAIRANG,2018-09-02,06:00:00,1,1,,,,,,12.4,L
127,WEST_KHASI_HILLS,MAIRANG,2018-09-02,07:00:00,0,1,,,,,,12.5,L
128,WEST_KHASI_HILLS,MAIRANG,2018-09-02,08:00:00,0,1,,,,,,12.4,L
129,WEST_KHASI_HILLS,MAIRANG,2018-09-02,09:00:00,0,1,,,,,,12.6,L
130,WEST_KHASI_HILLS,MAIRANG,2018-09-02,10:00:00,0,1,,,,,,13.9,L
131,WEST_KHASI_HILLS,MAIRANG,2018-09-02,11:00:00,0,1,,,,,,12.3,L
132,WEST_KHASI_HILLS,MAIRANG,2018-09-02,12:00:00,0,1,,,,,,12.2,L
133,WEST_KHASI_HILLS,MAIRANG,2018-09-02,13:00:00,0,1,,,,,,12.2,L
134,WEST_KHASI_HILLS,MAIRANG,2018-09-02,14:00:00,0,1,,,,,,12.2,L
135,WEST_KHASI_HILLS,MAIRANG,2018-09-02,15:00:00,0,1,,,,,,12.2,L
136,WEST_KHASI_HILLS,MAIRANG,2018-09-02,16:00:00,0,1,,,,,,12.2,L
137,WEST_KHASI_HILLS,MAIRANG,2018-09-02,17:00:00,0,1,,,,,,12.2,L
138,WEST_KHASI_HILLS,MAIRANG,2018-09-02,18:00:00,2,3,,,,,,12.2,L
139,WEST_KHASI_HILLS,MAIRANG,2018-09-02,19:00:00,15,18,,,,,,12.2,L
140,WEST_KHASI_HILLS,MAIRANG,2018-09-02,20:00:00,13,31,,,,,,12.2,L
141,WEST_KHASI_HILLS,MAIRANG,2018-09-02,21:00:00,8,39,,,,,,12.2,L
142,WEST_KHASI_HILLS,MAIRANG,2018-09-02,22:00:00,5,45,,,,,,12.1,L
143,WEST_KHASI_HILLS,MAIRANG,2018-09-02,23:00:00,3,48,,,,,,12.1,L
144,WEST_KHASI_HILLS,MAIRANG,2018-09-03,00:00:00,0,49,,,,,,12.1,L
145,WEST_KHASI_HILLS,MAIRANG,2018-09-03,01:00:00,2,51,,,,,,12.1,L
146,WEST_KHASI_HILLS,MAIRANG,2018-09-03,02:00:00,2,53,,,,,,12.3,L
147,WEST_KHASI_HILLS,MAIRANG,2018-09-03,03:00:00,0,53,,,,,,12.6,L
148,WEST_KHASI_HILLS,MAIRANG,2018-09-03,04:00:00,0,0,,,,,,12.6,L
149,WEST_KHASI_HILLS,MAIRANG,2018-09-03,05:00:00,0,0,,,,,,12.4,L
150,WEST_KHASI_HILLS,MAIRANG,2018-09-03,08:00:00,0,0,,,,,,12.3,L
151,WEST_KHASI_HILLS,MAIRANG,2018-09-03,09:00:00,6,6,,,,,,12.3,L
152,WEST_KHASI_HILLS,MAIRANG,2018-09-03,12:00:00,0,7,,,,,,12.2,L
153,WEST_KHASI_HILLS,MAIRANG,2018-09-03,13:00:00,0,8,,,,,,12.2,L
154,WEST_KHASI_HILLS,MAIRANG,2018-09-03,14:00:00,0,8,,,,,,12.2,L
155,WEST_KHASI_HILLS,MAIRANG,2018-09-03,16:00:00,0,8,,,,,,12.2,L
156,WEST_KHASI_HILLS,MAIRANG,2018-09-03,17:00:00,0,8,,,,,,12.2,L
157,WEST_KHASI_HILLS,MAIRANG,2018-09-03,18:00:00,0,8,,,,,,12.2,L
158,WEST_KHASI_HILLS,MAIRANG,2018-09-03,20:00:00,0,8,,,,,,12.1,L
159,WEST_KHASI_HILLS,MAIRANG,2018-09-03,21:00:00,0,8,,,,,,12.1,L
160,WEST_KHASI_HILLS,MAIRANG,2018-09-03,22:00:00,0,16,,,,,,12.1,L
161,WEST_KHASI_HILLS,MAIRANG,2018-09-04,00:00:00,0,8,,,,,,12.1,L
162,WEST_KHASI_HILLS,MAIRANG,2018-09-04,02:00:00,0,8,,,,,,12.2,L
163,WEST_KHASI_HILLS,MAIRANG,2018-09-04,03:00:00,0,8,,,,,,12.6,L
164,WEST_KHASI_HILLS,MAIRANG,2018-09-04,04:00:00,0,0,,,,,,12.7,L
165,WEST_KHASI_HILLS,MAIRANG,2018-09-04,05:00:00,0,0,,,,,,13.4,L
166,WEST_KHASI_HILLS,MAIRANG,2018-09-04,06:00:00,0,0,,,,,,14.0,L
167,WEST_KHASI_HILLS,MAIRANG,2018-09-04,07:00:00,0,0,,,,,,13.3,L
168,WEST_KHASI_HILLS,MAIRANG,2018-09-04,08:00:00,0,0,,,,,,13.3,L
169,WEST_KHASI_HILLS,MAIRANG,2018-09-04,09:00:00,0,0,,,,,,13.1,L
170,WEST_KHASI_HILLS,MAIRANG,2018-09-04,10:00:00,0,0,,,,,,13.1,L
171,WEST_KHASI_HILLS,MAIRANG,2018-09-04,11:00:00,0,0,,,,,,12.3,L
172,WEST_KHASI_HILLS,MAIRANG,2018-09-04,12:00:00,0,0,,,,,,12.2,L
173,WEST_KHASI_HILLS,MAIRANG,2018-09-04,13:00:00,0,0,,,,,,12.2,L
174,WEST_KHASI_HILLS,MAIRANG,2018-09-04,14:00:00,0,0,,,,,,12.2,L
175,WEST_KHASI_HILLS,MAIRANG,2018-09-04,15:00:00,0,0,,,,,,12.2,L
176,WEST_KHASI_HILLS,MAIRANG,2018-09-04,16:00:00,0,0,,,,,,12.2,L
177,WEST_KHASI_HILLS,MAIRANG,2018-09-04,17:00:00,0,0,,,,,,12.2,L
178,WEST_KHASI_HILLS,MAIRANG,2018-09-04,18:00:00,0,0,,,,,,12.2,L
179,WEST_KHASI_HILLS,MAIRANG,2018-09-04,19:00:00,0,0,,,,,,12.2,L
180,WEST_KHASI_HILLS,MAIRANG,2018-09-04,20:00:00,5,5,,,,,,12.2,L
181,WEST_KHASI_HILLS,MAIRANG,2018-09-04,22:00:00,11,54,,,,,,12.2,L
182,WEST_KHASI_HILLS,MAIRANG,2018-09-05,00:00:00,0,55,,,,,,12.1,L
183,WEST_KHASI_HILLS,MAIRANG,2018-09-05,01:00:00,0,55,,,,,,12.1,L
184,WEST_KHASI_HILLS,MAIRANG,2018-09-05,02:00:00,0,55,,,,,,12.3,L
185,WEST_KHASI_HILLS,MAIRANG,2018-09-05,03:00:00,0,55,,,,,,12.6,L
186,WEST_KHASI_HILLS,MAIRANG,2018-09-05,04:00:00,0,0,,,,,,12.7,L
187,WEST_KHASI_HILLS,MAIRANG,2018-09-05,05:00:00,0,0,,,,,,12.5,L
188,WEST_KHASI_HILLS,MAIRANG,2018-09-05,06:00:00,0,0,,,,,,14.1,L
189,WEST_KHASI_HILLS,MAIRANG,2018-09-05,07:00:00,0,0,,,,,,14.1,L
190,WEST_KHASI_HILLS,MAIRANG,2018-09-05,08:00:00,0,0,,,,,,13.0,L
191,WEST_KHASI_HILLS,MAIRANG,2018-09-05,09:00:00,0,0,,,,,,13.2,L
192,WEST_KHASI_HILLS,MAIRANG,2018-09-05,10:00:00,0,0,,,,,,13.1,L
193,WEST_KHASI_HILLS,MAIRANG,2018-09-05,11:00:00,0,0,,,,,,12.2,L
194,WEST_KHASI_HILLS,MAIRANG,2018-09-05,12:00:00,0,0,,,,,,12.2,L
195,WEST_KHASI_HILLS,MAIRANG,2018-09-05,13:00:00,0,0,,,,,,12.2,L
196,WEST_KHASI_HILLS,MAIRANG,2018-09-05,14:00:00,0,0,,,,,,12.2,L
197,WEST_KHASI_HILLS,MAIRANG,2018-09-05,15:00:00,0,0,,,,,,12.2,L
198,WEST_KHASI_HILLS,MAIRANG,2018-09-05,16:00:00,0,0,,,,,,12.2,L
199,WEST_KHASI_HILLS,MAIRANG,2018-09-05,17:00:00,0,0,,,,,,12.2,L
200,WEST_KHASI_HILLS,MAIRANG,2018-09-05,18:00:00,0,0,,,,,,12.2,L
201,WEST_KHASI_HILLS,MAIRANG,2018-09-05,19:00:00,0,0,,,,,,12.2,L
202,WEST_KHASI_HILLS,MAIRANG,2018-09-05,20:00:00,0,0,,,,,,12.2,L
203,WEST_KHASI_HILLS,MAIRANG,2018-09-05,21:00:00,0,0,,,,,,12.2,L
204,WEST_KHASI_HILLS,MAIRANG,2018-09-05,22:00:00,0,0,,,,,,12.1,L
205,WEST_KHASI_HILLS,MAIRANG,2018-09-05,23:00:00,1,1,,,,,,12.1,L
206,WEST_KHASI_HILLS,MAWKYRWAT,2018-09-01,09:00:00,0,1,,,,,,13.0,L
