S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),BATTERY (Volts),GPS
1,DIMAPUR,CHUMUKEDIMA,2018-08-30,00:00:00,0,0,,,,,,12.8,L
2,DIMAPUR,CHUMUKEDIMA,2018-08-30,01:00:00,0,0,,,,,,12.8,L
3,DIMAPUR,CHUMUKEDIMA,2018-08-30,02:00:00,0,0,,,,,,12.9,L
4,DIMAPUR,CHUMUKEDIMA,2018-08-30,06:00:00,0,0,,,,,,13.8,L
5,DIMAPUR,CHUMUKEDIMA,2018-08-30,07:00:00,0,0,,,,,,13.2,L
6,DIMAPUR,CHUMUKEDIMA,2018-08-30,08:00:00,0,0,,,,,,13.1,L
7,DIMAPUR,CHUMUKEDIMA,2018-08-30,09:00:00,0,0,,,,,,12.9,L
8,DIMAPUR,CHUMUKEDIMA,2018-08-30,10:00:00,0,0,,,,,,13.1,L
9,DIMAPUR,CHUMUKEDIMA,2018-08-30,11:00:00,0,0,,,,,,13.1,L
10,DIMAPUR,CHUMUKEDIMA,2018-08-30,12:00:00,0,0,,,,,,12.9,L
11,DIMAPUR,CHUMUKEDIMA,2018-08-30,13:00:00,0,0,,,,,,12.9,L
12,DIMAPUR,CHUMUKEDIMA,2018-08-30,14:00:00,0,0,,,,,,12.9,L
13,DIMAPUR,CHUMUKEDIMA,2018-08-30,15:00:00,0,0,,,,,,12.8,L
14,DIMAPUR,CHUMUKEDIMA,2018-08-30,16:00:00,0,0,,,,,,12.8,L
15,DIMAPUR,CHUMUKEDIMA,2018-08-30,17:00:00,0,0,,,,,,12.8,L
16,DIMAPUR,CHUMUKEDIMA,2018-08-30,18:00:00,0,0,,,,,,12.8,L
17,DIMAPUR,CHUMUKEDIMA,2018-08-30,19:00:00,0,0,,,,,,12.8,L
18,DIMAPUR,CHUMUKEDIMA,2018-08-30,20:00:00,0,0,,,,,,12.8,L
19,DIMAPUR,CHUMUKEDIMA,2018-08-30,21:00:00,0,0,,,,,,12.8,L
20,DIMAPUR,CHUMUKEDIMA,2018-08-30,22:00:00,0,0,,,,,,12.8,L
21,DIMAPUR,CHUMUKEDIMA,2018-08-30,23:00:00,0,0,,,,,,12.8,L
22,DIMAPUR,CHUMUKEDIMA,2018-08-31,00:00:00,0,0,,,,,,12.8,L
23,DIMAPUR,CHUMUKEDIMA,2018-08-31,01:00:00,0,0,,,,,,12.8,L
24,DIMAPUR,CHUMUKEDIMA,2018-08-31,02:00:00,0,0,,,,,,13.4,L
25,DIMAPUR,CHUMUKEDIMA,2018-08-31,04:00:00,0,0,,,,,,13.6,L
26,DIMAPUR,CHUMUKEDIMA,2018-08-31,05:00:00,0,0,,,,,,13.7,L
27,DIMAPUR,CHUMUKEDIMA,2018-08-31,06:00:00,0,0,,,,,,13.2,L
28,DIMAPUR,CHUMUKEDIMA,2018-08-31,07:00:00,0,0,,,,,,13.2,L
29,DIMAPUR,CHUMUKEDIMA,2018-08-31,08:00:00,0,0,,,,,,13.1,L
30,DIMAPUR,CHUMUKEDIMA,2018-08-31,09:00:00,0,0,,,,,,13.2,L
31,DIMAPUR,CHUMUKEDIMA,2018-08-31,10:00:00,0,0,,,,,,13.2,L
32,DIMAPUR,CHUMUKEDIMA,2018-08-31,11:00:00,0,0,,,,,,13.1,L
33,DIMAPUR,CHUMUKEDIMA,2018-08-31,12:00:00,0,0,,,,,,12.9,L
34,DIMAPUR,CHUMUKEDIMA,2018-08-31,13:00:00,0,0,,,,,,12.9,L
35,DIMAPUR,CHUMUKEDIMA,2018-08-31,14:00:00,0,0,,,,,,12.9,L
36,DIMAPUR,CHUMUKEDIMA,2018-08-31,15:00:00,0,0,,,,,,12.8,L
37,DIMAPUR,CHUMUKEDIMA,2018-08-31,16:00:00,0,0,,,,,,12.8,L
38,DIMAPUR,CHUMUKEDIMA,2018-08-31,17:00:00,0,0,,,,,,12.8,L
39,DIMAPUR,CHUMUKEDIMA,2018-08-31,18:00:00,0,0,,,,,,12.8,L
40,DIMAPUR,CHUMUKEDIMA,2018-08-31,19:00:00,0,0,,,,,,12.8,L
41,DIMAPUR,CHUMUKEDIMA,2018-08-31,20:00:00,0,0,,,,,,12.8,L
42,DIMAPUR,CHUMUKEDIMA,2018-08-31,21:00:00,0,0,,,,,,12.8,L
43,DIMAPUR,CHUMUKEDIMA,2018-08-31,22:00:00,0,0,,,,,,12.8,L
44,DIMAPUR,CHUMUKEDIMA,2018-08-31,23:00:00,0,0,,,,,,12.8,L
45,DIMAPUR,CHUMUKEDIMA,2018-09-01,00:00:00,0,0,,,,,,12.8,L
