S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),BATTERY (Volts),GPS
1,BALANGIR,AGALPUR,2018-08-30,05:00:00,0.0,0,,,,,,14.7,L
2,BALANGIR,AGALPUR,2018-08-30,06:00:00,0.0,0,,,,,,14.2,L
3,BALANGIR,AGALPUR,2018-08-30,07:00:00,0.0,0,,,,,,14.1,L
4,BALANGIR,AGALPUR,2018-08-30,08:00:00,0.0,0,,,,,,14.1,L
5,BALANGIR,AGALPUR,2018-08-30,09:00:00,0.0,0,,,,,,12.8,L
6,BALANGIR,AGALPUR,2018-08-30,10:00:00,0.0,0,,,,,,12.1,L
7,BALANGIR,AGALPUR,2018-09-03,04:00:00,0.0,0,,,,,,14.4,L
8,BALANGIR,AGALPUR,2018-09-03,05:00:00,0.0,0,,,,,,14.1,L
9,BALANGIR,AGALPUR,2018-09-03,06:00:00,0.0,0,,,,,,14.1,L
10,BALANGIR,AGALPUR,2018-09-03,07:00:00,0.0,0,,,,,,14.0,L
11,BALANGIR,AGALPUR,2018-09-03,08:00:00,0.0,0,,,,,,12.8,L
12,BALANGIR,TUREIKELA,2018-08-30,00:00:00,0.0,0,,,,,,11.8,L
13,BALANGIR,TUREIKELA,2018-08-30,01:00:00,0.0,0,,,,,,11.8,L
14,BALANGIR,TUREIKELA,2018-08-30,02:00:00,0.0,0,,,,,,11.8,L
15,BALANGIR,TUREIKELA,2018-08-30,03:00:00,0.0,0,,,,,,11.9,L
16,BALANGIR,TUREIKELA,2018-08-30,04:00:00,0.0,0,,,,,,11.8,L
17,BALANGIR,TUREIKELA,2018-08-30,05:00:00,0.0,0,,,,,,11.8,L
18,BALANGIR,TUREIKELA,2018-08-30,06:00:00,0.0,0,,,,,,11.9,L
19,BALANGIR,TUREIKELA,2018-08-30,07:00:00,0.0,0,,,,,,12.1,L
20,BALANGIR,TUREIKELA,2018-08-30,08:00:00,0.0,0,,,,,,12.1,L
21,BALANGIR,TUREIKELA,2018-08-30,09:00:00,0.0,0,,,,,,12.1,L
22,BALANGIR,TUREIKELA,2018-08-30,10:00:00,0.0,0,,,,,,12.1,L
23,BALANGIR,TUREIKELA,2018-08-30,11:00:00,0.0,0,,,,,,12.0,L
24,BALANGIR,TUREIKELA,2018-08-30,12:00:00,0.0,0,,,,,,11.9,L
25,BALANGIR,TUREIKELA,2018-08-30,13:00:00,0.0,0,,,,,,11.9,L
26,BALANGIR,TUREIKELA,2018-08-30,14:00:00,0.0,0,,,,,,11.8,L
27,BALANGIR,TUREIKELA,2018-08-30,15:00:00,0.0,0,,,,,,11.8,L
28,BALANGIR,TUREIKELA,2018-08-30,16:00:00,0.0,0,,,,,,11.8,L
29,BALANGIR,TUREIKELA,2018-08-30,17:00:00,0.0,0,,,,,,11.8,L
30,BALANGIR,TUREIKELA,2018-08-30,18:00:00,0.0,0,,,,,,11.8,L
31,BALANGIR,TUREIKELA,2018-08-30,19:00:00,0.0,0,,,,,,11.8,L
32,BALANGIR,TUREIKELA,2018-08-30,20:00:00,0.0,0,,,,,,11.8,L
33,BALANGIR,TUREIKELA,2018-08-30,21:00:00,0.0,0,,,,,,11.8,L
34,BALANGIR,TUREIKELA,2018-08-30,22:00:00,0.0,0,,,,,,11.8,L
35,BALANGIR,TUREIKELA,2018-08-30,23:00:00,0.0,0,,,,,,11.8,L
36,BALANGIR,TUREIKELA,2018-08-31,00:00:00,0.0,0,,,,,,11.8,L
37,BALANGIR,TUREIKELA,2018-08-31,01:00:00,0.0,0,,,,,,11.8,L
38,BALANGIR,TUREIKELA,2018-08-31,02:00:00,0.0,0,,,,,,11.8,L
39,BALANGIR,TUREIKELA,2018-08-31,03:00:00,0.0,0,,,,,,11.8,L
40,BALANGIR,TUREIKELA,2018-08-31,04:00:00,0.0,0,,,,,,11.8,L
41,BALANGIR,TUREIKELA,2018-08-31,05:00:00,0.0,0,,,,,,11.8,L
42,BALANGIR,TUREIKELA,2018-08-31,06:00:00,0.0,0,,,,,,11.8,L
43,BALANGIR,TUREIKELA,2018-08-31,07:00:00,0.0,0,,,,,,11.8,L
44,BALANGIR,TUREIKELA,2018-08-31,08:00:00,0.0,0,,,,,,11.9,L
45,BALANGIR,TUREIKELA,2018-08-31,09:00:00,0.0,0,,,,,,11.9,L
46,BALANGIR,TUREIKELA,2018-08-31,10:00:00,0.0,0,,,,,,11.8,L
47,BALANGIR,TUREIKELA,2018-08-31,11:00:00,0.0,0,,,,,,11.8,L
48,BALANGIR,TUREIKELA,2018-08-31,12:00:00,0.0,0,,,,,,11.8,L
49,BALANGIR,TUREIKELA,2018-08-31,13:00:00,0.0,0,,,,,,11.8,L
50,BALANGIR,TUREIKELA,2018-08-31,14:00:00,0.0,0,,,,,,11.8,L
51,BALANGIR,TUREIKELA,2018-08-31,15:00:00,0.0,0,,,,,,11.8,L
52,BALANGIR,TUREIKELA,2018-08-31,16:00:00,0.0,0,,,,,,11.8,L
53,BALANGIR,TUREIKELA,2018-08-31,17:00:00,0.0,0,,,,,,11.8,L
