S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),BATTERY (Volts),GPS
1,PUDUCHERRY,PERIYA_KALAPET,2018-08-30,00:00:00,0,0,26.1,25.9,26.2,,87,12.3,L
2,PUDUCHERRY,PERIYA_KALAPET,2018-08-30,01:00:00,0,0,26.1,26.0,26.2,,87,12.3,L
3,PUDUCHERRY,PERIYA_KALAPET,2018-08-30,02:00:00,0,0,27.6,26.1,27.7,,85,12.5,L
4,PUDUCHERRY,PERIYA_KALAPET,2018-08-30,03:00:00,0,0,29.3,27.6,29.3,25.2,79,12.8,L
5,PUDUCHERRY,PERIYA_KALAPET,2018-08-30,04:00:00,0,0,32.3,29.3,32.3,,68,13.3,L
6,PUDUCHERRY,PERIYA_KALAPET,2018-08-30,05:00:00,0,0,33.7,33.6,33.7,,59,12.8,L
7,PUDUCHERRY,PERIYA_KALAPET,2018-08-30,06:00:00,0,0,35.2,33.6,35.3,,52,12.8,L
8,PUDUCHERRY,PERIYA_KALAPET,2018-08-30,07:00:00,0,0,36.2,35.0,36.3,,45,12.8,L
9,PUDUCHERRY,PERIYA_KALAPET,2018-08-30,08:00:00,0,0,33.0,32.9,36.5,,59,12.8,L
10,PUDUCHERRY,PERIYA_KALAPET,2018-08-30,09:00:00,0,0,31.5,31.5,33.3,,65,12.8,L
11,PUDUCHERRY,PERIYA_KALAPET,2018-08-30,10:00:00,0,0,31.2,31.1,32.4,,67,12.8,L
12,PUDUCHERRY,PERIYA_KALAPET,2018-08-30,11:00:00,0,0,30.8,30.8,31.8,,70,12.8,L
13,PUDUCHERRY,PERIYA_KALAPET,2018-08-30,12:00:00,0,0,29.5,29.5,30.9,36.5,71,12.8,L
14,PUDUCHERRY,PERIYA_KALAPET,2018-08-30,13:00:00,0,0,29.3,29.0,29.5,,72,12.4,L
15,PUDUCHERRY,PERIYA_KALAPET,2018-08-30,14:00:00,0,0,26.0,26.0,29.5,,82,12.4,L
16,PUDUCHERRY,PERIYA_KALAPET,2018-08-30,15:00:00,0,0,26.2,25.2,26.2,,86,12.3,L
17,PUDUCHERRY,PERIYA_KALAPET,2018-08-30,16:00:00,0,0,25.0,24.8,26.4,,88,12.3,L
18,PUDUCHERRY,PERIYA_KALAPET,2018-08-30,17:00:00,0,0,24.3,24.2,25.0,,91,12.3,L
19,PUDUCHERRY,PERIYA_KALAPET,2018-08-30,18:00:00,0,0,24.4,24.2,24.6,,92,12.3,L
20,PUDUCHERRY,PERIYA_KALAPET,2018-08-30,19:00:00,0,0,24.7,24.2,24.7,,94,12.3,L
21,PUDUCHERRY,PERIYA_KALAPET,2018-08-30,20:00:00,0,0,24.4,24.4,24.8,,95,12.3,L
22,PUDUCHERRY,PERIYA_KALAPET,2018-08-30,21:00:00,0,0,24.3,24.2,24.6,,96,12.3,L
23,PUDUCHERRY,PERIYA_KALAPET,2018-08-30,22:00:00,0,0,23.9,23.6,24.2,,97,12.3,L
24,PUDUCHERRY,PERIYA_KALAPET,2018-08-30,23:00:00,0,0,24.4,23.8,24.4,,98,12.3,L
25,PUDUCHERRY,PERIYA_KALAPET,2018-08-31,00:00:00,0,0,24.4,24.3,24.6,,99,12.3,L
26,PUDUCHERRY,PERIYA_KALAPET,2018-08-31,01:00:00,0,0,24.5,24.3,24.6,,99,12.3,L
27,PUDUCHERRY,PERIYA_KALAPET,2018-08-31,02:00:00,0,0,24.8,24.5,24.9,,99,12.3,L
28,PUDUCHERRY,PERIYA_KALAPET,2018-08-31,03:00:00,0,0,25.4,24.8,25.4,23.6,99,12.6,L
29,PUDUCHERRY,PERIYA_KALAPET,2018-08-31,04:00:00,0,0,25.8,25.4,25.8,,99,12.8,L
30,PUDUCHERRY,PERIYA_KALAPET,2018-08-31,05:00:00,0,0,26.9,26.9,27.0,,97,13.1,L
31,PUDUCHERRY,PERIYA_KALAPET,2018-08-31,06:00:00,0,0,28.2,26.8,28.3,,93,13.0,L
32,PUDUCHERRY,PERIYA_KALAPET,2018-08-31,07:00:00,0,0,29.6,28.1,29.7,,87,12.9,L
33,PUDUCHERRY,PERIYA_KALAPET,2018-08-31,08:00:00,0,0,31.1,29.6,31.2,,80,12.9,L
34,PUDUCHERRY,PERIYA_KALAPET,2018-08-31,09:00:00,0,0,31.6,31.0,32.0,,76,12.9,L
35,PUDUCHERRY,PERIYA_KALAPET,2018-08-31,10:00:00,0,0,31.0,30.9,31.7,,75,13.6,L
36,PUDUCHERRY,PERIYA_KALAPET,2018-08-31,11:00:00,0,0,30.1,30.0,31.3,,78,13.5,L
37,PUDUCHERRY,PERIYA_KALAPET,2018-08-31,12:00:00,0,0,29.5,29.4,30.5,32.0,80,12.8,L
38,PUDUCHERRY,PERIYA_KALAPET,2018-08-31,13:00:00,0,0,28.3,28.2,29.6,,83,12.4,L
39,PUDUCHERRY,PERIYA_KALAPET,2018-08-31,14:00:00,0,0,28.2,27.6,28.3,,84,12.4,L
40,PUDUCHERRY,PERIYA_KALAPET,2018-08-31,15:00:00,0,0,28.4,28.1,28.5,,86,12.4,L
41,PUDUCHERRY,PERIYA_KALAPET,2018-08-31,16:00:00,0,0,27.1,27.1,28.5,,89,12.3,L
42,PUDUCHERRY,PERIYA_KALAPET,2018-08-31,17:00:00,0,0,26.2,25.9,27.1,,92,12.3,L
43,PUDUCHERRY,PERIYA_KALAPET,2018-08-31,18:00:00,0,0,26.1,26.1,26.7,,94,12.3,L
44,PUDUCHERRY,PERIYA_KALAPET,2018-08-31,19:00:00,0,0,23.3,23.2,25.9,,94,12.3,L
45,PUDUCHERRY,PERIYA_KALAPET,2018-08-31,20:00:00,0,0,23.3,22.9,23.5,,96,12.3,L
46,PUDUCHERRY,PERIYA_KALAPET,2018-08-31,21:00:00,0,0,23.5,22.9,23.7,,97,12.3,L
47,PUDUCHERRY,PERIYA_KALAPET,2018-08-31,22:00:00,0,0,23.6,23.5,23.7,,98,12.3,L
48,PUDUCHERRY,PERIYA_KALAPET,2018-08-31,23:00:00,0,0,23.5,23.3,23.7,,99,12.3,L
49,PUDUCHERRY,PERIYA_KALAPET,2018-09-01,00:00:00,0,0,23.4,23.2,23.5,,99,12.3,L
50,PUDUCHERRY,PERIYA_KALAPET,2018-09-01,01:00:00,0,0,23.6,23.4,23.6,,99,12.3,L
51,PUDUCHERRY,PERIYA_KALAPET,2018-09-01,02:00:00,0,0,24.3,23.6,24.3,,99,12.4,L
52,PUDUCHERRY,PERIYA_KALAPET,2018-09-01,03:00:00,0,0,25.3,24.3,25.3,23.2,99,12.9,L
53,PUDUCHERRY,PERIYA_KALAPET,2018-09-01,04:00:00,0,0,26.8,25.2,27.2,,96,13.8,L
54,PUDUCHERRY,PERIYA_KALAPET,2018-09-01,05:00:00,0,0,28.1,28.1,28.2,,91,13.0,L
55,PUDUCHERRY,PERIYA_KALAPET,2018-09-01,06:00:00,0,0,28.9,28.1,29.1,,87,13.0,L
56,PUDUCHERRY,PERIYA_KALAPET,2018-09-01,07:00:00,0,0,29.5,28.8,29.7,,83,13.0,L
57,PUDUCHERRY,PERIYA_KALAPET,2018-09-01,08:00:00,0,0,30.1,29.4,30.2,,80,12.9,L
58,PUDUCHERRY,PERIYA_KALAPET,2018-09-01,09:00:00,0,0,30.7,29.9,30.7,,77,12.9,L
59,PUDUCHERRY,PERIYA_KALAPET,2018-09-01,10:00:00,0,0,30.1,30.1,30.9,,78,13.0,L
