S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),BATTERY (Volts),GPS
1,FATEHGARH_SAHIB,ADAMPUR_FGH,2018-08-30,01:00:00,0,0,,,,,,12.3,L
2,FATEHGARH_SAHIB,ADAMPUR_FGH,2018-08-30,08:00:00,0,0,,,,,,12.8,L
3,FATEHGARH_SAHIB,ADAMPUR_FGH,2018-08-30,09:00:00,0,0,,,,,,12.8,L
4,FATEHGARH_SAHIB,ADAMPUR_FGH,2018-08-30,10:00:00,0,0,,,,,,12.8,L
5,FATEHGARH_SAHIB,ADAMPUR_FGH,2018-08-30,12:00:00,0,0,,,,,,12.6,L
6,FATEHGARH_SAHIB,ADAMPUR_FGH,2018-08-30,13:00:00,0,0,,,,,,12.4,L
7,FATEHGARH_SAHIB,ADAMPUR_FGH,2018-08-30,14:00:00,0,0,,,,,,12.4,L
8,FATEHGARH_SAHIB,ADAMPUR_FGH,2018-08-30,15:00:00,0,0,,,,,,12.4,L
9,FATEHGARH_SAHIB,ADAMPUR_FGH,2018-08-30,16:00:00,0,0,,,,,,12.4,L
10,FATEHGARH_SAHIB,ADAMPUR_FGH,2018-08-30,17:00:00,0,0,,,,,,12.3,L
11,FATEHGARH_SAHIB,ADAMPUR_FGH,2018-08-30,18:00:00,0,0,,,,,,12.3,L
12,FATEHGARH_SAHIB,ADAMPUR_FGH,2018-08-30,19:00:00,0,0,,,,,,12.3,L
13,FATEHGARH_SAHIB,ADAMPUR_FGH,2018-08-30,20:00:00,0,0,,,,,,12.3,L
14,FATEHGARH_SAHIB,ADAMPUR_FGH,2018-08-30,21:00:00,0,0,,,,,,12.3,L
15,FATEHGARH_SAHIB,ADAMPUR_FGH,2018-08-30,22:00:00,0,0,,,,,,12.3,L
16,FATEHGARH_SAHIB,ADAMPUR_FGH,2018-08-30,23:00:00,0,0,,,,,,12.3,L
17,FATEHGARH_SAHIB,ADAMPUR_FGH,2018-08-31,00:00:00,0,0,,,,,,12.3,L
18,FATEHGARH_SAHIB,ADAMPUR_FGH,2018-08-31,01:00:00,0,0,,,,,,12.3,L
19,FATEHGARH_SAHIB,ADAMPUR_FGH,2018-08-31,02:00:00,0,0,,,,,,12.3,L
20,FATEHGARH_SAHIB,ADAMPUR_FGH,2018-08-31,03:00:00,0,0,,,,,,12.6,L
21,FATEHGARH_SAHIB,ADAMPUR_FGH,2018-08-31,04:00:00,0,0,,,,,,12.8,L
22,FATEHGARH_SAHIB,ADAMPUR_FGH,2018-08-31,05:00:00,0,0,,,,,,12.9,L
23,FATEHGARH_SAHIB,ADAMPUR_FGH,2018-08-31,06:00:00,0,0,,,,,,13.2,L
24,FATEHGARH_SAHIB,ADAMPUR_FGH,2018-08-31,07:00:00,0,0,,,,,,12.8,L
25,FATEHGARH_SAHIB,ADAMPUR_FGH,2018-08-31,08:00:00,0,0,,,,,,12.8,L
26,FATEHGARH_SAHIB,ADAMPUR_FGH,2018-08-31,09:00:00,0,0,,,,,,12.8,L
27,FATEHGARH_SAHIB,ADAMPUR_FGH,2018-08-31,10:00:00,0,0,,,,,,12.8,L
28,FATEHGARH_SAHIB,ADAMPUR_FGH,2018-08-31,11:00:00,0,0,,,,,,12.8,L
29,FATEHGARH_SAHIB,ADAMPUR_FGH,2018-08-31,12:00:00,0,0,,,,,,12.5,L
30,FATEHGARH_SAHIB,ADAMPUR_FGH,2018-08-31,13:00:00,0,0,,,,,,12.4,L
31,FATEHGARH_SAHIB,ADAMPUR_FGH,2018-08-31,14:00:00,0,0,,,,,,12.4,L
32,FATEHGARH_SAHIB,ADAMPUR_FGH,2018-08-31,15:00:00,0,0,,,,,,12.4,L
