S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),BATTERY (Volts),GPS
1,AJMER,BHINAY,2018-08-30,00:00:00,0,8,,,,,,12.7,L
2,AJMER,BHINAY,2018-08-30,01:00:00,0,0,,,,,,12.7,L
3,AJMER,BHINAY,2018-08-30,02:00:00,0,0,,,,,,12.8,L
4,AJMER,BHINAY,2018-08-30,03:00:00,0,0,,,,,,13.2,L
5,AJMER,BHINAY,2018-08-30,04:00:00,0,0,,,,,,13.4,L
6,AJMER,BHINAY,2018-08-30,05:00:00,0,0,,,,,,14.0,L
7,AJMER,BHINAY,2018-08-30,06:00:00,0,0,,,,,,13.3,L
8,AJMER,BHINAY,2018-08-30,07:00:00,0,0,,,,,,13.2,L
9,AJMER,BHINAY,2018-08-30,08:00:00,0,0,,,,,,13.2,L
10,AJMER,BHINAY,2018-08-30,09:00:00,0,0,,,,,,13.2,L
11,AJMER,BHINAY,2018-08-30,10:00:00,0,0,,,,,,13.2,L
12,AJMER,BHINAY,2018-08-30,11:00:00,0,0,,,,,,13.3,L
13,AJMER,BHINAY,2018-08-30,12:00:00,0,0,,,,,,13.3,L
14,AJMER,BHINAY,2018-08-30,13:00:00,0,0,,,,,,12.9,L
15,AJMER,BHINAY,2018-08-30,14:00:00,0,0,,,,,,12.8,L
16,AJMER,BHINAY,2018-08-30,15:00:00,0,0,,,,,,12.8,L
17,AJMER,BHINAY,2018-08-30,16:00:00,0,0,,,,,,12.8,L
18,AJMER,BHINAY,2018-08-30,17:00:00,0,0,,,,,,12.8,L
19,AJMER,BHINAY,2018-08-30,18:00:00,0,0,,,,,,12.8,L
20,AJMER,BHINAY,2018-08-30,19:00:00,0,0,,,,,,12.8,L
21,AJMER,BHINAY,2018-08-30,20:00:00,0,0,,,,,,12.8,L
22,AJMER,BHINAY,2018-08-30,22:00:00,0,0,,,,,,12.8,L
23,AJMER,BHINAY,2018-08-30,23:00:00,0,0,,,,,,12.7,L
24,AJMER,BHINAY,2018-08-31,00:00:00,0,0,,,,,,12.7,L
25,AJMER,BHINAY,2018-08-31,01:00:00,0,0,,,,,,12.7,L
26,AJMER,BHINAY,2018-08-31,02:00:00,0,0,,,,,,12.8,L
27,AJMER,BHINAY,2018-08-31,03:00:00,0,0,,,,,,13.3,L
28,AJMER,BHINAY,2018-08-31,04:00:00,0,0,,,,,,13.4,L
29,AJMER,BHINAY,2018-08-31,05:00:00,0,0,,,,,,13.3,L
