S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),BATTERY (Volts),GPS
1,ARIYALUR,JAYAMKONDAM,2018-08-30,03:00:00,0,0,,,,,,13.9,L
2,ARIYALUR,JAYAMKONDAM,2018-08-30,04:00:00,0,0,,,,,,13.8,L
3,ARIYALUR,JAYAMKONDAM,2018-08-30,05:00:00,0,0,,,,,,13.7,L
4,ARIYALUR,JAYAMKONDAM,2018-08-30,06:00:00,0,0,,,,,,13.6,L
5,ARIYALUR,JAYAMKONDAM,2018-08-30,07:00:00,0,0,,,,,,13.7,L
6,ARIYALUR,JAYAMKONDAM,2018-08-30,08:00:00,0,0,,,,,,13.6,L
7,ARIYALUR,JAYAMKONDAM,2018-08-30,09:00:00,0,0,,,,,,13.3,L
8,ARIYALUR,JAYAMKONDAM,2018-08-30,10:00:00,0,0,,,,,,13.1,L
9,ARIYALUR,JAYAMKONDAM,2018-08-30,11:00:00,0,0,,,,,,11.6,L
10,ARIYALUR,JAYAMKONDAM,2018-08-30,12:00:00,0,0,,,,,,11.4,L
11,ARIYALUR,JAYAMKONDAM,2018-09-01,03:00:00,0,0,,,,,,12.8,L
12,ARIYALUR,JAYAMKONDAM,2018-09-01,04:00:00,0,0,,,,,,14.0,L
13,ARIYALUR,JAYAMKONDAM,2018-09-01,05:00:00,0,0,,,,,,13.8,L
14,ARIYALUR,JAYAMKONDAM,2018-09-01,06:00:00,0,0,,,,,,13.8,L
15,ARIYALUR,JAYAMKONDAM,2018-09-01,07:00:00,0,0,,,,,,13.7,L
16,ARIYALUR,JAYAMKONDAM,2018-09-01,08:00:00,0,0,,,,,,13.7,L
17,ARIYALUR,JAYAMKONDAM,2018-09-01,09:00:00,0,0,,,,,,13.7,L
18,ARIYALUR,JAYAMKONDAM,2018-09-01,10:00:00,0,0,,,,,,13.6,L
19,ARIYALUR,JAYAMKONDAM,2018-09-01,11:00:00,0,0,,,,,,12.9,L
20,ARIYALUR,JAYAMKONDAM,2018-09-01,12:00:00,0,0,,,,,,11.7,L
21,ARIYALUR,JAYAMKONDAM,2018-09-01,13:00:00,0,0,,,,,,11.3,L
22,ARIYALUR,JAYAMKONDAM,2018-09-02,03:00:00,0,0,,,,,,13.3,L
23,ARIYALUR,JAYAMKONDAM,2018-09-02,04:00:00,0,0,,,,,,13.8,L
24,ARIYALUR,JAYAMKONDAM,2018-09-02,05:00:00,0,0,,,,,,13.8,L
25,ARIYALUR,JAYAMKONDAM,2018-09-02,06:00:00,0,0,,,,,,13.7,L
26,ARIYALUR,JAYAMKONDAM,2018-09-02,07:00:00,0,0,,,,,,13.7,L
27,ARIYALUR,JAYAMKONDAM,2018-09-02,08:00:00,0,0,,,,,,13.7,L
28,ARIYALUR,JAYAMKONDAM,2018-09-02,09:00:00,0,0,,,,,,13.7,L
29,ARIYALUR,JAYAMKONDAM,2018-09-02,10:00:00,0,0,,,,,,13.6,L
30,ARIYALUR,JAYAMKONDAM,2018-09-02,11:00:00,0,0,,,,,,12.8,L
31,ARIYALUR,JAYAMKONDAM,2018-09-02,12:00:00,0,0,,,,,,11.8,L
32,ARIYALUR,JAYAMKONDAM,2018-09-02,13:00:00,0,0,,,,,,11.4,L
33,ARIYALUR,JAYAMKONDAM,2018-09-03,03:00:00,0,0,,,,,,13.9,L
34,ARIYALUR,JAYAMKONDAM,2018-09-03,04:00:00,0,0,,,,,,13.8,L
35,ARIYALUR,JAYAMKONDAM,2018-09-03,05:00:00,0,0,,,,,,13.7,L
36,ARIYALUR,JAYAMKONDAM,2018-09-03,06:00:00,0,0,,,,,,13.6,L
37,ARIYALUR,JAYAMKONDAM,2018-09-03,07:00:00,0,0,,,,,,13.7,L
38,ARIYALUR,JAYAMKONDAM,2018-09-03,08:00:00,0,0,,,,,,13.7,L
39,ARIYALUR,JAYAMKONDAM,2018-09-03,09:00:00,0,0,,,,,,13.6,L
40,ARIYALUR,JAYAMKONDAM,2018-09-03,10:00:00,0,0,,,,,,13.7,L
41,ARIYALUR,JAYAMKONDAM,2018-09-03,11:00:00,0,0,,,,,,12.8,L
42,ARIYALUR,JAYAMKONDAM,2018-09-03,12:00:00,0,0,,,,,,11.7,L
43,ARIYALUR,JAYAMKONDAM,2018-09-03,13:00:00,0,0,,,,,,11.3,L
