S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),BATTERY (Volts),GPS
1,ADILABAD,BIJUUR_ARG,2018-08-30,00:00:00,0,21,,,,,,12.7,L
2,ADILABAD,BIJUUR_ARG,2018-08-30,01:00:00,0,21,,,,,,12.7,L
3,ADILABAD,BIJUUR_ARG,2018-08-30,02:00:00,0,21,,,,,,13.7,L
4,ADILABAD,BIJUUR_ARG,2018-08-30,03:00:00,0,21,,,,,,14.0,L
5,ADILABAD,BIJUUR_ARG,2018-08-30,04:00:00,0,0,,,,,,13.8,L
6,ADILABAD,BIJUUR_ARG,2018-08-30,05:00:00,0,0,,,,,,13.8,L
7,ADILABAD,BIJUUR_ARG,2018-08-30,06:00:00,0,0,,,,,,13.2,L
8,ADILABAD,BIJUUR_ARG,2018-08-30,07:00:00,0,0,,,,,,13.3,L
9,ADILABAD,BIJUUR_ARG,2018-08-30,08:00:00,0,0,,,,,,13.2,L
10,ADILABAD,BIJUUR_ARG,2018-08-30,09:00:00,0,0,,,,,,13.3,L
11,ADILABAD,BIJUUR_ARG,2018-08-30,10:00:00,0,0,,,,,,13.3,L
12,ADILABAD,BIJUUR_ARG,2018-08-30,11:00:00,0,0,,,,,,13.3,L
13,ADILABAD,BIJUUR_ARG,2018-08-30,12:00:00,0,0,,,,,,13.3,L
14,ADILABAD,BIJUUR_ARG,2018-08-30,13:00:00,0,0,,,,,,13.1,L
15,ADILABAD,BIJUUR_ARG,2018-08-30,14:00:00,0,0,,,,,,12.8,L
16,ADILABAD,BIJUUR_ARG,2018-08-30,15:00:00,0,0,,,,,,12.8,L
17,ADILABAD,BIJUUR_ARG,2018-08-30,16:00:00,0,0,,,,,,12.7,L
18,ADILABAD,BIJUUR_ARG,2018-08-30,17:00:00,0,0,,,,,,12.7,L
19,ADILABAD,BIJUUR_ARG,2018-08-30,18:00:00,0,0,,,,,,12.7,L
20,ADILABAD,BIJUUR_ARG,2018-08-30,19:00:00,0,0,,,,,,12.7,L
21,ADILABAD,BIJUUR_ARG,2018-08-30,20:00:00,0,0,,,,,,12.7,L
22,ADILABAD,BIJUUR_ARG,2018-08-30,21:00:00,0,0,,,,,,12.7,L
23,ADILABAD,BIJUUR_ARG,2018-08-30,22:00:00,0,0,,,,,,12.7,L
24,ADILABAD,BIJUUR_ARG,2018-08-30,23:00:00,0,0,,,,,,12.7,L
25,ADILABAD,BIJUUR_ARG,2018-08-31,00:00:00,0,0,,,,,,12.7,L
26,ADILABAD,BIJUUR_ARG,2018-08-31,01:00:00,0,0,,,,,,12.7,L
27,ADILABAD,BIJUUR_ARG,2018-08-31,02:00:00,0,0,,,,,,12.8,L
28,ADILABAD,BIJUUR_ARG,2018-08-31,03:00:00,0,0,,,,,,13.2,L
29,ADILABAD,BIJUUR_ARG,2018-08-31,04:00:00,0,0,,,,,,14.0,L
30,ADILABAD,BIJUUR_ARG,2018-08-31,05:00:00,0,0,,,,,,14.0,L
31,ADILABAD,BIJUUR_ARG,2018-08-31,06:00:00,0,0,,,,,,13.4,L
32,ADILABAD,BIJUUR_ARG,2018-08-31,07:00:00,0,0,,,,,,13.4,L
33,ADILABAD,BIJUUR_ARG,2018-08-31,08:00:00,0,0,,,,,,13.4,L
34,ADILABAD,BIJUUR_ARG,2018-08-31,09:00:00,0,0,,,,,,13.4,L
35,ADILABAD,BIJUUR_ARG,2018-08-31,10:00:00,0,0,,,,,,13.4,L
36,ADILABAD,BIJUUR_ARG,2018-08-31,11:00:00,0,0,,,,,,13.5,L
37,ADILABAD,BIJUUR_ARG,2018-08-31,12:00:00,0,0,,,,,,13.4,L
38,ADILABAD,BIJUUR_ARG,2018-08-31,13:00:00,0,0,,,,,,13.1,L
39,ADILABAD,BIJUUR_ARG,2018-08-31,14:00:00,0,0,,,,,,12.8,L
40,ADILABAD,BIJUUR_ARG,2018-08-31,15:00:00,0,0,,,,,,12.8,L
41,ADILABAD,BIJUUR_ARG,2018-08-31,16:00:00,0,0,,,,,,12.7,L
42,ADILABAD,BIJUUR_ARG,2018-08-31,17:00:00,0,0,,,,,,12.7,L
43,ADILABAD,BIJUUR_ARG,2018-08-31,18:00:00,0,0,,,,,,12.7,L
44,ADILABAD,BIJUUR_ARG,2018-08-31,19:00:00,0,1,,,,,,12.7,L
45,ADILABAD,BIJUUR_ARG,2018-08-31,20:00:00,3,4,,,,,,12.7,L
46,ADILABAD,BIJUUR_ARG,2018-08-31,21:00:00,1,5,,,,,,12.7,L
47,ADILABAD,BIJUUR_ARG,2018-08-31,22:00:00,0,6,,,,,,12.7,L
48,ADILABAD,BIJUUR_ARG,2018-08-31,23:00:00,0,6,,,,,,12.7,L
49,ADILABAD,BIJUUR_ARG,2018-09-01,00:00:00,0,6,,,,,,12.7,L
50,ADILABAD,BIJUUR_ARG,2018-09-01,01:00:00,0,6,,,,,,12.7,L
51,ADILABAD,BIJUUR_ARG,2018-09-01,02:00:00,0,6,,,,,,12.8,L
52,ADILABAD,BIJUUR_ARG,2018-09-01,03:00:00,0,6,,,,,,12.8,L
53,ADILABAD,BIJUUR_ARG,2018-09-01,04:00:00,0,0,,,,,,14.1,L
54,ADILABAD,BIJUUR_ARG,2018-09-01,05:00:00,0,0,,,,,,13.9,L
55,ADILABAD,BIJUUR_ARG,2018-09-01,06:00:00,0,0,,,,,,13.9,L
56,ADILABAD,BIJUUR_ARG,2018-09-01,07:00:00,0,0,,,,,,13.3,L
57,ADILABAD,BIJUUR_ARG,2018-09-01,08:00:00,0,0,,,,,,13.3,L
58,ADILABAD,BIJUUR_ARG,2018-09-01,09:00:00,0,0,,,,,,13.3,L
59,ADILABAD,BIJUUR_ARG,2018-09-01,10:00:00,0,0,,,,,,13.4,L
60,ADILABAD,BIJUUR_ARG,2018-09-01,11:00:00,0,0,,,,,,13.3,L
61,ADILABAD,BIJUUR_ARG,2018-09-01,12:00:00,0,0,,,,,,13.3,L
