S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),BATTERY (Volts),GPS
1,GOMATI,AMARPUR,2018-08-30,01:00:00,0,0,,,,,,12.3,L
2,GOMATI,AMARPUR,2018-08-30,02:00:00,0,0,,,,,,12.4,L
3,GOMATI,AMARPUR,2018-08-30,03:00:00,0,0,,,,,,12.8,L
4,GOMATI,AMARPUR,2018-08-30,04:00:00,0,0,,,,,,12.8,L
5,GOMATI,AMARPUR,2018-08-30,05:00:00,0,0,,,,,,12.9,L
6,GOMATI,AMARPUR,2018-08-30,06:00:00,0,0,,,,,,12.8,L
7,GOMATI,AMARPUR,2018-08-30,07:00:00,0,0,,,,,,12.9,L
8,GOMATI,AMARPUR,2018-08-30,08:00:00,0,0,,,,,,12.9,L
9,GOMATI,AMARPUR,2018-08-30,09:00:00,0,0,,,,,,13.2,L
10,GOMATI,AMARPUR,2018-08-30,10:00:00,0,0,,,,,,12.8,L
11,GOMATI,AMARPUR,2018-08-30,11:00:00,0,0,,,,,,12.6,L
12,GOMATI,AMARPUR,2018-08-30,12:00:00,0,0,,,,,,12.5,L
13,GOMATI,AMARPUR,2018-08-30,13:00:00,0,0,,,,,,12.4,L
14,GOMATI,AMARPUR,2018-08-30,14:00:00,0,0,,,,,,12.4,L
15,GOMATI,AMARPUR,2018-08-30,15:00:00,0,0,,,,,,12.4,L
16,GOMATI,AMARPUR,2018-08-30,16:00:00,0,0,,,,,,12.4,L
17,GOMATI,AMARPUR,2018-08-30,17:00:00,0,0,,,,,,12.4,L
18,GOMATI,AMARPUR,2018-08-30,18:00:00,0,0,,,,,,12.4,L
19,GOMATI,AMARPUR,2018-08-30,19:00:00,0,0,,,,,,12.4,L
20,GOMATI,AMARPUR,2018-08-30,20:00:00,0,0,,,,,,12.4,L
21,GOMATI,AMARPUR,2018-08-30,21:00:00,0,0,,,,,,12.4,L
22,GOMATI,AMARPUR,2018-08-30,22:00:00,0,0,,,,,,12.3,L
23,GOMATI,AMARPUR,2018-08-30,23:00:00,0,0,,,,,,12.3,L
24,GOMATI,AMARPUR,2018-08-31,00:00:00,0,0,,,,,,12.3,L
25,GOMATI,AMARPUR,2018-08-31,01:00:00,0,0,,,,,,12.6,L
26,GOMATI,AMARPUR,2018-08-31,02:00:00,0,0,,,,,,12.9,L
27,GOMATI,AMARPUR,2018-08-31,03:00:00,0,0,,,,,,13.2,L
28,GOMATI,AMARPUR,2018-08-31,04:00:00,0,0,,,,,,13.0,L
29,GOMATI,AMARPUR,2018-08-31,05:00:00,0,0,,,,,,12.9,L
30,GOMATI,AMARPUR,2018-08-31,06:00:00,0,0,,,,,,13.0,L
31,GOMATI,AMARPUR,2018-08-31,07:00:00,0,0,,,,,,12.9,L
32,GOMATI,AMARPUR,2018-08-31,08:00:00,0,0,,,,,,12.8,L
33,GOMATI,AMARPUR,2018-08-31,09:00:00,0,0,,,,,,12.9,L
34,GOMATI,AMARPUR,2018-08-31,10:00:00,0,0,,,,,,12.9,L
35,GOMATI,AMARPUR,2018-08-31,11:00:00,0,0,,,,,,12.7,L
36,GOMATI,AMARPUR,2018-08-31,12:00:00,0,0,,,,,,12.5,L
37,GOMATI,AMARPUR,2018-08-31,13:00:00,0,0,,,,,,12.4,L
38,GOMATI,AMARPUR,2018-08-31,14:00:00,0,0,,,,,,12.4,L
39,GOMATI,AMARPUR,2018-08-31,15:00:00,0,0,,,,,,12.4,L
40,GOMATI,AMARPUR,2018-08-31,16:00:00,0,0,,,,,,12.4,L
41,GOMATI,AMARPUR,2018-08-31,17:00:00,0,0,,,,,,12.4,L
42,GOMATI,AMARPUR,2018-08-31,18:00:00,0,0,,,,,,12.4,L
43,GOMATI,AMARPUR,2018-08-31,19:00:00,0,0,,,,,,12.4,L
44,GOMATI,AMARPUR,2018-08-31,20:00:00,0,0,,,,,,12.4,L
45,GOMATI,AMARPUR,2018-08-31,21:00:00,0,0,,,,,,12.3,L
46,GOMATI,AMARPUR,2018-08-31,22:00:00,0,0,,,,,,12.3,L
47,GOMATI,AMARPUR,2018-08-31,23:00:00,0,0,,,,,,12.3,L
48,GOMATI,AMARPUR,2018-09-01,00:00:00,0,0,,,,,,12.3,L
49,GOMATI,AMARPUR,2018-09-01,01:00:00,0,0,,,,,,12.4,L
50,GOMATI,AMARPUR,2018-09-01,02:00:00,0,0,,,,,,12.8,L
51,GOMATI,AMARPUR,2018-09-01,03:00:00,0,0,,,,,,13.0,L
52,GOMATI,AMARPUR,2018-09-01,04:00:00,0,0,,,,,,12.9,L
53,GOMATI,AMARPUR,2018-09-01,05:00:00,0,0,,,,,,13.0,L
54,GOMATI,AMARPUR,2018-09-01,06:00:00,0,0,,,,,,13.0,L
55,GOMATI,AMARPUR,2018-09-01,07:00:00,0,0,,,,,,12.9,L
56,GOMATI,AMARPUR,2018-09-01,08:00:00,0,0,,,,,,12.8,L
57,GOMATI,AMARPUR,2018-09-01,09:00:00,0,0,,,,,,13.9,L
58,GOMATI,AMARPUR,2018-09-01,10:00:00,0,0,,,,,,12.8,L
59,GOMATI,AMARPUR,2018-09-01,11:00:00,0,0,,,,,,12.5,L
60,GOMATI,AMARPUR,2018-09-01,12:00:00,0,0,,,,,,12.4,L
61,GOMATI,AMARPUR,2018-09-01,13:00:00,0,0,,,,,,12.4,L
62,GOMATI,AMARPUR,2018-09-01,14:00:00,0,0,,,,,,12.4,L
63,GOMATI,AMARPUR,2018-09-01,15:00:00,0,0,,,,,,12.4,L
64,GOMATI,AMARPUR,2018-09-01,16:00:00,0,0,,,,,,12.4,L
65,GOMATI,AMARPUR,2018-09-01,17:00:00,0,0,,,,,,12.4,L
66,GOMATI,AMARPUR,2018-09-01,18:00:00,0,0,,,,,,12.4,L
67,GOMATI,AMARPUR,2018-09-01,19:00:00,0,0,,,,,,12.4,L
68,GOMATI,AMARPUR,2018-09-01,20:00:00,0,0,,,,,,12.4,L
69,GOMATI,AMARPUR,2018-09-01,21:00:00,0,0,,,,,,12.3,L
70,GOMATI,AMARPUR,2018-09-01,22:00:00,0,0,,,,,,12.3,L
71,GOMATI,AMARPUR,2018-09-01,23:00:00,0,0,,,,,,12.3,L
72,GOMATI,AMARPUR,2018-09-02,00:00:00,0,0,,,,,,12.3,L
73,GOMATI,AMARPUR,2018-09-02,01:00:00,0,0,,,,,,12.4,L
74,GOMATI,AMARPUR,2018-09-02,02:00:00,0,0,,,,,,12.6,L
75,GOMATI,AMARPUR,2018-09-02,03:00:00,0,0,,,,,,12.8,L
76,GOMATI,AMARPUR,2018-09-02,04:00:00,0,0,,,,,,12.8,L
77,GOMATI,AMARPUR,2018-09-02,05:00:00,0,0,,,,,,12.8,L
78,GOMATI,AMARPUR,2018-09-02,06:00:00,0,0,,,,,,12.9,L
79,GOMATI,AMARPUR,2018-09-02,07:00:00,0,0,,,,,,12.9,L
