S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),BATTERY (Volts),GPS
1,ALMORA,RANIKHET,2018-08-30,00:00:00,0,0,,,,,,12.2,L
2,ALMORA,RANIKHET,2018-08-30,01:00:00,0,0,,,,,,12.2,L
3,ALMORA,RANIKHET,2018-08-30,02:00:00,0,0,,,,,,12.5,L
4,ALMORA,RANIKHET,2018-08-30,03:00:00,0,0,,,,,,12.9,L
5,ALMORA,RANIKHET,2018-08-30,05:00:00,0,0,,,,,,13.3,L
6,ALMORA,RANIKHET,2018-08-30,06:00:00,0,0,,,,,,13.3,L
7,ALMORA,RANIKHET,2018-08-30,07:00:00,0,0,,,,,,13.5,L
8,ALMORA,RANIKHET,2018-08-30,08:00:00,0,0,,,,,,13.6,L
9,ALMORA,RANIKHET,2018-08-30,10:00:00,0,0,,,,,,13.2,L
10,ALMORA,RANIKHET,2018-08-30,11:00:00,0,0,,,,,,12.9,L
11,ALMORA,RANIKHET,2018-08-30,13:00:00,0,0,,,,,,12.6,L
12,ALMORA,RANIKHET,2018-08-30,14:00:00,0,0,,,,,,12.3,L
13,ALMORA,RANIKHET,2018-08-30,16:00:00,0,0,,,,,,12.3,L
14,ALMORA,RANIKHET,2018-08-30,17:00:00,0,0,,,,,,12.3,L
15,ALMORA,RANIKHET,2018-08-30,18:00:00,0,0,,,,,,12.2,L
16,ALMORA,RANIKHET,2018-08-30,19:00:00,0,0,,,,,,12.2,L
17,ALMORA,RANIKHET,2018-08-30,20:00:00,0,0,,,,,,12.2,L
18,ALMORA,RANIKHET,2018-08-30,21:00:00,0,0,,,,,,12.2,L
19,ALMORA,RANIKHET,2018-08-30,22:00:00,0,0,,,,,,12.2,L
20,ALMORA,RANIKHET,2018-08-30,23:00:00,0,0,,,,,,12.2,L
21,ALMORA,RANIKHET,2018-08-31,00:00:00,0,0,0.0,0.0,0.0,,,0.0,L
22,ALMORA,RANIKHET,2018-08-31,01:00:00,0,0,,,,,,12.2,L
23,ALMORA,RANIKHET,2018-08-31,02:00:00,0,0,,,,,,12.5,L
