S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),BATTERY (Volts),GPS
1,AZAMGARH,LALGANJ,2018-08-30,00:00:00,0,0,0.0,0.0,0.0,,1.0,12.6,L
2,AZAMGARH,LALGANJ,2018-08-30,01:00:00,0,0,0.0,,0.0,,1.0,12.6,L
3,AZAMGARH,LALGANJ,2018-08-30,02:00:00,0,0,0.0,,0.0,,1.0,12.8,L
4,AZAMGARH,LALGANJ,2018-08-30,03:00:00,0,0,0.0,,0.0,,,13.3,L
5,AZAMGARH,LALGANJ,2018-08-30,04:00:00,0,0,0.0,,0.0,,1.0,13.7,L
6,AZAMGARH,LALGANJ,2018-08-30,05:00:00,0,0,0.0,,0.0,,1.0,13.2,L
7,AZAMGARH,LALGANJ,2018-08-30,06:00:00,0,0,0.0,,0.0,,,13.1,L
8,AZAMGARH,LALGANJ,2018-08-30,07:00:00,0,0,0.0,,0.0,,1.0,13.1,L
9,AZAMGARH,LALGANJ,2018-08-30,08:00:00,0,0,0.0,,0.0,,,13.1,L
10,AZAMGARH,LALGANJ,2018-08-30,09:00:00,0,0,0.0,,0.0,,1.0,13.1,L
11,AZAMGARH,LALGANJ,2018-08-30,10:00:00,0,0,0.0,,0.0,,1.0,12.8,L
12,AZAMGARH,LALGANJ,2018-08-30,11:00:00,0,0,0.0,,0.0,,1.0,12.8,L
13,AZAMGARH,LALGANJ,2018-08-30,12:00:00,0,0,0.0,,0.0,0.0,,12.8,L
14,AZAMGARH,LALGANJ,2018-08-30,13:00:00,0,0,0.0,,0.0,,,12.7,L
15,AZAMGARH,LALGANJ,2018-08-30,14:00:00,0,0,0.0,,0.0,,,12.7,L
16,AZAMGARH,LALGANJ,2018-08-30,15:00:00,0,0,0.0,0.0,0.0,,,12.7,L
17,AZAMGARH,LALGANJ,2018-08-30,16:00:00,0,0,0.0,,0.0,,1.0,12.7,L
18,AZAMGARH,LALGANJ,2018-08-30,17:00:00,0,0,0.0,,0.0,,1.0,12.7,L
19,AZAMGARH,LALGANJ,2018-08-30,18:00:00,0,0,0.0,,0.0,,,12.6,L
20,AZAMGARH,LALGANJ,2018-08-30,19:00:00,0,0,0.0,,0.0,,,12.6,L
21,AZAMGARH,LALGANJ,2018-08-30,20:00:00,0,0,0.0,,0.0,,1.0,12.6,L
22,AZAMGARH,LALGANJ,2018-08-30,21:00:00,0,0,0.0,,0.0,,,12.6,L
