S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),BATTERY (Volts),GPS
1,BANKURA,KADAMDEULI,2018-08-30,00:00:00,0,0,,,,,,12.4,L
2,BANKURA,KADAMDEULI,2018-08-30,01:00:00,0,0,,,,,,12.4,L
3,BANKURA,KADAMDEULI,2018-08-30,02:00:00,0,0,,,,,,12.5,L
4,BANKURA,KADAMDEULI,2018-08-30,03:00:00,0,0,,,,,,12.8,L
5,BANKURA,KADAMDEULI,2018-08-30,04:00:00,0,0,,,,,,12.8,L
6,BANKURA,KADAMDEULI,2018-08-30,05:00:00,0,0,,,,,,12.8,L
7,BANKURA,KADAMDEULI,2018-08-30,06:00:00,0,0,,,,,,12.6,L
8,BANKURA,KADAMDEULI,2018-08-30,07:00:00,0,0,,,,,,12.6,L
9,BANKURA,KADAMDEULI,2018-08-30,08:00:00,0,0,,,,,,12.6,L
10,BANKURA,KADAMDEULI,2018-08-30,09:00:00,0,0,,,,,,12.6,L
11,BANKURA,KADAMDEULI,2018-08-30,10:00:00,0,0,,,,,,12.6,L
12,BANKURA,KADAMDEULI,2018-08-30,11:00:00,0,0,,,,,,12.7,L
13,BANKURA,KADAMDEULI,2018-08-30,12:00:00,0,0,,,,,,12.5,L
14,BANKURA,KADAMDEULI,2018-08-30,13:00:00,0,0,,,,,,12.5,L
15,BANKURA,KADAMDEULI,2018-08-30,14:00:00,0,0,,,,,,12.5,L
16,BANKURA,KADAMDEULI,2018-08-30,15:00:00,0,0,,,,,,12.4,L
17,BANKURA,KADAMDEULI,2018-08-30,16:00:00,0,0,,,,,,12.4,L
18,BANKURA,KADAMDEULI,2018-08-30,17:00:00,0,0,,,,,,12.4,L
19,BANKURA,KADAMDEULI,2018-08-30,18:00:00,0,0,,,,,,12.4,L
20,BANKURA,KADAMDEULI,2018-08-30,19:00:00,0,0,,,,,,12.4,L
21,BANKURA,KADAMDEULI,2018-08-30,20:00:00,0,0,,,,,,12.4,L
22,BANKURA,KADAMDEULI,2018-08-30,21:00:00,0,0,,,,,,12.4,L
23,BANKURA,KADAMDEULI,2018-08-30,22:00:00,0,0,,,,,,12.4,L
24,BANKURA,KADAMDEULI,2018-08-30,23:00:00,0,0,,,,,,12.4,L
25,BANKURA,KADAMDEULI,2018-08-31,00:00:00,0,0,,,,,,12.4,L
26,BANKURA,KADAMDEULI,2018-08-31,01:00:00,0,0,,,,,,12.4,L
27,BANKURA,KADAMDEULI,2018-08-31,02:00:00,0,0,,,,,,12.6,L
28,BANKURA,KADAMDEULI,2018-08-31,03:00:00,0,0,,,,,,12.8,L
29,BANKURA,KADAMDEULI,2018-08-31,04:00:00,0,0,,,,,,12.9,L
30,BANKURA,KADAMDEULI,2018-08-31,05:00:00,0,0,,,,,,13.3,L
31,BANKURA,KADAMDEULI,2018-08-31,06:00:00,0,0,,,,,,12.6,L
32,BANKURA,KADAMDEULI,2018-08-31,07:00:00,0,0,,,,,,12.8,L
33,BANKURA,KADAMDEULI,2018-08-31,08:00:00,0,0,,,,,,12.9,L
34,BANKURA,KADAMDEULI,2018-08-31,09:00:00,0,0,,,,,,13.0,L
35,BANKURA,KADAMDEULI,2018-08-31,10:00:00,0,0,,,,,,12.8,L
36,BANKURA,KADAMDEULI,2018-08-31,11:00:00,0,0,,,,,,12.7,L
37,BANKURA,KADAMDEULI,2018-08-31,12:00:00,0,0,,,,,,12.6,L
38,BANKURA,KADAMDEULI,2018-08-31,13:00:00,0,0,,,,,,12.5,L
39,BANKURA,KADAMDEULI,2018-08-31,14:00:00,0,0,,,,,,12.5,L
40,BANKURA,KADAMDEULI,2018-08-31,15:00:00,0,0,,,,,,12.5,L
41,BANKURA,KADAMDEULI,2018-08-31,16:00:00,0,0,,,,,,12.5,L
42,BANKURA,KADAMDEULI,2018-08-31,17:00:00,0,0,,,,,,12.4,L
43,BANKURA,KADAMDEULI,2018-08-31,18:00:00,0,0,,,,,,12.4,L
44,BANKURA,KADAMDEULI,2018-08-31,19:00:00,0,0,,,,,,12.4,L
45,BANKURA,KADAMDEULI,2018-08-31,20:00:00,0,0,,,,,,12.4,L
46,BANKURA,KADAMDEULI,2018-08-31,21:00:00,0,0,,,,,,12.4,L
47,BANKURA,KADAMDEULI,2018-08-31,22:00:00,0,0,,,,,,12.4,L
48,BANKURA,KADAMDEULI,2018-08-31,23:00:00,0,0,,,,,,12.4,L
49,BANKURA,KADAMDEULI,2018-09-01,00:00:00,0,0,,,,,,12.4,L
50,BANKURA,KADAMDEULI,2018-09-01,01:00:00,0,0,,,,,,12.4,L
51,BANKURA,KADAMDEULI,2018-09-01,02:00:00,0,0,,,,,,12.6,L
52,BANKURA,KADAMDEULI,2018-09-01,03:00:00,0,0,,,,,,12.7,L
53,BANKURA,KADAMDEULI,2018-09-01,04:00:00,0,0,,,,,,13.1,L
