S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),WIND DIR (Deg),WIND SPEED (Kt),SLP (hPa),MSLP (hPa/gpm),SUNSHINE (HH.MM),BATTERY (Volts),GPS
1,ANANTAPUR,KADIRI,2018-09-03,08:00:00,0,0,31.1,29.8,31.3,,43.0,276,8,950.7,1007.3,0.53,14.3,L
2,CHITTOOR,TIRUMALA,2018-08-30,08:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
3,CHITTOOR,TIRUMALA,2018-08-30,09:00:00,0,0,0.0,,,,,16,1,853.2,838.9,0.0,0.0,L
4,CHITTOOR,TIRUMALA,2018-08-30,10:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
5,CHITTOOR,TIRUMALA,2018-08-31,08:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
6,CHITTOOR,TIRUMALA,2018-08-31,09:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
7,CHITTOOR,TIRUMALA,2018-08-31,10:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
8,CHITTOOR,TIRUMALA,2018-08-31,11:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
9,CHITTOOR,TIRUMALA,2018-08-31,12:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
10,CHITTOOR,TIRUMALA,2018-08-31,13:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
11,CHITTOOR,TIRUMALA,2018-08-31,14:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
12,CHITTOOR,TIRUMALA,2018-09-01,05:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
13,CHITTOOR,TIRUMALA,2018-09-01,06:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
14,CHITTOOR,TIRUMALA,2018-09-01,07:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
15,CHITTOOR,TIRUMALA,2018-09-01,08:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
16,CHITTOOR,TIRUMALA,2018-09-01,09:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
