S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),WIND DIR (Deg),WIND SPEED (Kt),SLP (hPa),MSLP (hPa/gpm),SUNSHINE (HH.MM),BATTERY (Volts),GPS
1,DIBANG_VALLEY,ANINI,2018-08-30,00:00:00,0,1,18.6,18.4,18.6,,,301,1,831.8,1392.6,0.0,12.6,L
2,DIBANG_VALLEY,ANINI,2018-08-30,01:00:00,0,1,19.0,18.5,19.3,,,270,1,832.2,1388.0,0.0,13.4,L
3,DIBANG_VALLEY,ANINI,2018-08-30,02:00:00,0,1,19.8,19.0,20.0,,,276,2,832.5,1378.2,0.18,14.3,L
4,DIBANG_VALLEY,ANINI,2018-08-30,03:00:00,0,1,21.3,19.8,21.3,18.4,,277,3,832.6,1358.9,1.15,14.3,L
5,DIBANG_VALLEY,ANINI,2018-08-30,04:00:00,0,0,22.7,20.8,22.8,,95.0,282,4,832.3,1340.2,2.15,14.3,L
6,DIBANG_VALLEY,ANINI,2018-08-30,05:00:00,0,0,25.0,22.7,26.1,,78.0,262,2,831.4,1308.3,3.15,14.3,L
7,DIBANG_VALLEY,ANINI,2018-08-30,06:00:00,0,0,28.7,25.3,28.8,,60.0,210,4,830.6,1258.0,4.15,14.4,L
8,DIBANG_VALLEY,ANINI,2018-08-30,07:00:00,0,0,28.7,28.2,29.6,,56.0,214,5,829.8,1255.9,5.15,14.4,L
9,DIBANG_VALLEY,ANINI,2018-08-30,08:00:00,0,0,26.7,26.5,29.4,,60.0,223,7,828.9,1280.2,6.15,14.4,L
10,DIBANG_VALLEY,ANINI,2018-08-30,09:00:00,0,0,25.7,25.5,26.8,,65.0,208,6,828.5,1292.5,7.15,14.4,L
11,DIBANG_VALLEY,ANINI,2018-08-30,10:00:00,0,0,26.1,25.6,26.9,,64.0,215,5,828.5,1287.2,8.15,14.3,L
12,DIBANG_VALLEY,ANINI,2018-08-30,11:00:00,0,0,23.8,23.7,26.2,,79.0,237,2,828.8,1318.5,8.21,14.3,L
13,DIBANG_VALLEY,ANINI,2018-08-30,12:00:00,0,0,21.2,21.1,23.8,29.6,91.0,258,2,829.3,1354.0,8.21,13.2,L
14,DIBANG_VALLEY,ANINI,2018-08-30,13:00:00,0,0,20.1,20.1,21.2,,99.0,272,3,830.4,1370.5,8.05,12.9,L
15,DIBANG_VALLEY,ANINI,2018-08-30,14:00:00,0,0,19.7,19.6,20.2,,,302,1,831.3,1377.4,8.21,12.7,L
16,DIBANG_VALLEY,ANINI,2018-08-30,15:00:00,0,0,19.6,19.4,19.8,,,270,2,832.2,1380.3,8.21,12.7,L
17,DIBANG_VALLEY,ANINI,2018-08-30,16:00:00,0,0,19.4,19.3,19.6,,,329,1,832.5,1383.4,8.21,12.7,L
18,DIBANG_VALLEY,ANINI,2018-08-30,17:00:00,0,0,19.3,19.2,19.5,,,6,1,832.8,1385.2,8.21,12.7,L
19,DIBANG_VALLEY,ANINI,2018-08-30,18:00:00,0,0,19.1,19.0,19.4,,,60,1,832.7,1387.6,8.21,12.7,L
20,DIBANG_VALLEY,ANINI,2018-08-30,19:00:00,0,0,19.1,19.1,19.3,,,276,1,832.4,1387.1,8.21,12.7,L
21,DIBANG_VALLEY,ANINI,2018-08-30,20:00:00,0,0,19.1,18.7,19.2,,,69,0,832.2,1386.7,8.21,12.6,L
22,DIBANG_VALLEY,ANINI,2018-08-30,21:00:00,0,0,19.0,18.8,19.2,,,347,0,832.3,1388.2,0.0,12.6,L
23,DIBANG_VALLEY,ANINI,2018-08-30,22:00:00,0,0,18.6,18.5,19.0,,,86,0,832.2,1393.2,0.0,12.6,L
24,DIBANG_VALLEY,ANINI,2018-08-30,23:00:00,0,0,18.6,18.5,18.8,,,304,1,832.5,1393.7,0.0,12.6,L
25,DIBANG_VALLEY,ANINI,2018-08-31,00:00:00,0,0,18.9,18.4,18.9,,,118,1,833.3,1391.2,0.0,12.7,L
26,DIBANG_VALLEY,ANINI,2018-08-31,01:00:00,0,0,19.8,18.9,19.9,,,87,1,833.4,1379.8,0.0,13.4,L
27,DIBANG_VALLEY,ANINI,2018-08-31,02:00:00,0,0,20.8,19.9,21.4,,,302,1,833.4,1366.9,0.35,14.3,L
28,DIBANG_VALLEY,ANINI,2018-08-31,03:00:00,0,0,25.9,21.0,26.1,18.4,72.0,181,1,833.0,1300.2,1.35,14.3,L
29,DIBANG_VALLEY,ANINI,2018-08-31,04:00:00,0,0,27.2,25.6,28.2,,65.0,173,1,832.2,1281.5,2.35,14.4,L
30,DIBANG_VALLEY,ANINI,2018-08-31,05:00:00,0,0,28.7,27.5,28.9,,57.0,240,2,831.2,1259.5,3.35,14.4,L
31,DIBANG_VALLEY,ANINI,2018-08-31,07:00:00,0,0,31.3,29.8,31.3,,43.0,219,5,829.1,1219.6,5.35,14.5,L
32,DIBANG_VALLEY,ANINI,2018-08-31,08:00:00,0,0,30.0,29.9,31.4,,47.0,222,7,828.4,1235.0,6.35,14.4,L
33,DIBANG_VALLEY,ANINI,2018-08-31,09:00:00,0,0,26.9,26.7,30.5,,56.0,217,5,828.2,1275.8,7.35,14.4,L
34,DIBANG_VALLEY,ANINI,2018-08-31,10:00:00,0,0,26.3,26.3,28.8,,52.0,217,7,828.5,1284.6,8.17,14.4,L
