S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),WIND DIR (Deg),WIND SPEED (Kt),SLP (hPa),MSLP (hPa/gpm),SUNSHINE (HH.MM),BATTERY (Volts),GPS
1,BAKSA,MUSHALPUR,2018-08-30,21:00:00,0,0,26.8,26.7,27.0,,99.0,359,0,994.4,1003.4,0.0,12.6,L
2,BAKSA,MUSHALPUR,2018-08-30,23:00:00,0,0,26.1,26.1,26.6,,99.0,359,0,994.1,1003.2,0.0,12.6,L
3,BAKSA,MUSHALPUR,2018-08-31,20:00:00,320,0,27.2,27.1,27.2,,99.0,359,0,951.0,959.6,0.0,12.6,L
4,BAKSA,MUSHALPUR,2018-08-31,22:00:00,0,0,26.8,26.8,27.1,,99.0,240,1,993.7,1002.7,0.0,12.6,L
5,BAKSA,MUSHALPUR,2018-09-01,00:00:00,0,0,26.4,26.2,26.5,,99.0,195,1,994.0,1003.0,0.0,12.6,L
6,BAKSA,MUSHALPUR,2018-09-02,17:00:00,0,0,,26.8,27.1,,99.0,284,1,996.6,1004.9,0.0,12.6,L
7,BAKSA,MUSHALPUR,2018-09-04,06:00:00,0,0,32.1,31.6,32.5,,73.0,183,1,976.3,985.0,0.0,15.2,L
8,BONGAIGAON,BONGAIGAON,2018-08-30,00:00:00,0,0,25.9,25.8,26.0,,,323,1,996.4,1003.8,0.0,12.4,L
9,BONGAIGAON,BONGAIGAON,2018-08-30,01:00:00,0,0,26.5,25.9,26.5,,,326,1,996.5,1003.9,0.0,12.9,L
10,BONGAIGAON,BONGAIGAON,2018-08-30,02:00:00,0,0,28.7,26.6,28.7,,99.0,204,1,997.1,1004.4,0.0,13.4,L
11,BONGAIGAON,BONGAIGAON,2018-08-30,03:00:00,0,0,30.4,28.8,30.4,25.8,97.0,285,1,997.9,1005.2,0.0,14.7,L
12,BONGAIGAON,BONGAIGAON,2018-08-30,04:00:00,0,0,31.7,30.2,31.9,,90.0,168,2,997.9,1005.1,0.0,14.8,L
13,BONGAIGAON,BONGAIGAON,2018-08-30,05:00:00,0,0,30.5,30.5,31.9,,97.0,156,2,997.6,1004.9,0.0,14.9,L
14,BONGAIGAON,BONGAIGAON,2018-08-30,06:00:00,0,0,31.7,30.2,31.7,,98.0,167,2,996.7,1003.9,0.0,15.1,L
15,BONGAIGAON,BONGAIGAON,2018-08-30,07:00:00,0,0,33.8,31.8,33.8,,92.0,267,2,995.6,1002.8,0.0,15.2,L
16,BONGAIGAON,BONGAIGAON,2018-08-30,08:00:00,0,0,32.7,32.7,35.2,,91.0,91,1,994.7,1001.9,0.0,15.2,L
17,BONGAIGAON,BONGAIGAON,2018-08-30,09:00:00,0,0,33.8,32.6,34.3,,89.0,271,2,993.6,1000.8,0.0,15.2,L
18,BONGAIGAON,BONGAIGAON,2018-08-30,10:00:00,0,0,33.6,32.7,34.1,,95.0,150,1,993.0,1000.2,0.0,15.2,L
19,BONGAIGAON,BONGAIGAON,2018-08-30,11:00:00,0,0,33.0,33.0,34.3,,91.0,319,1,992.8,1000.0,0.0,15.2,L
20,BONGAIGAON,BONGAIGAON,2018-08-30,12:00:00,0,0,30.0,30.0,32.9,35.2,99.0,156,1,993.2,1000.4,0.0,13.3,L
21,BONGAIGAON,BONGAIGAON,2018-08-30,14:00:00,0,0,28.5,28.5,28.8,,99.0,92,1,995.3,1002.6,0.0,12.7,L
