S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),WIND DIR (Deg),WIND SPEED (Kt),SLP (hPa),MSLP (hPa/gpm),SUNSHINE (HH.MM),BATTERY (Volts),GPS
1,PATNA,PATNA,2018-08-30,00:00:00,0,0.0,28.5,28.4,28.5,,99.0,99,3,997.3,1003.6,0.0,12.7,L
2,PATNA,PATNA,2018-08-30,01:00:00,0,0.0,28.8,28.4,28.8,,99.0,100,1,997.8,1004.1,0.0,12.8,L
3,PATNA,PATNA,2018-08-30,02:00:00,0,0.0,29.7,29.5,29.7,,99.0,102,2,998.8,1005.1,0.02,12.9,L
4,PATNA,PATNA,2018-08-30,06:00:00,0,1.0,31.1,29.9,31.1,,99.0,238,1,998.6,1004.8,2.28,13.5,L
5,PATNA,PATNA,2018-08-30,08:00:00,0,1.0,33.1,33.1,34.5,,83.0,131,1,998.2,1004.4,4.28,14.6,L
6,PATNA,PATNA,2018-08-30,09:00:00,0,1.0,32.1,31.8,34.2,,95.0,163,1,997.0,1003.2,5.28,14.5,L
7,PATNA,PATNA,2018-08-30,10:00:00,2,3.0,27.2,27.2,30.8,,99.0,226,1,997.2,1003.5,6.2,14.2,L
8,PATNA,PATNA,2018-08-30,11:00:00,10,11.0,25.8,25.8,30.8,,99.0,109,2,996.7,1003.0,6.2,13.0,L
9,PATNA,PATNA,2018-08-30,12:00:00,1,12.0,26.6,25.8,26.6,,99.0,99,2,996.1,1002.4,6.2,12.9,L
10,PATNA,PATNA,2018-08-30,13:00:00,1,13.0,26.7,26.5,26.7,,99.0,89,1,996.9,1003.2,6.2,12.8,U
11,PATNA,PATNA,2018-08-30,14:00:00,0,13.0,26.5,26.4,26.8,,99.0,29,2,997.0,1003.3,6.2,12.8,L
12,PATNA,PATNA,2018-08-30,15:00:00,0,13.0,26.6,26.4,26.6,,99.0,243,1,997.9,1004.2,6.2,12.7,L
13,PATNA,PATNA,2018-08-30,16:00:00,0,13.0,26.7,26.5,26.7,,99.0,359,0,998.5,1004.8,6.2,12.7,L
14,PATNA,PATNA,2018-08-30,17:00:00,0,13.0,26.7,26.7,26.8,,99.0,359,0,998.5,1004.8,6.2,12.7,L
15,PATNA,PATNA,2018-08-30,18:00:00,0,13.0,26.7,26.6,26.8,,99.0,359,0,998.2,1004.5,6.2,12.6,L
16,PATNA,PATNA,2018-08-30,19:00:00,0,13.0,26.9,26.7,26.9,,99.0,95,1,998.3,1004.6,6.2,12.6,L
17,PATNA,PATNA,2018-08-30,20:00:00,0,13.0,27.0,26.9,27.0,,99.0,359,0,997.8,1004.1,6.2,12.6,L
18,PATNA,PATNA,2018-08-30,21:00:00,0,13.0,27.0,27.0,27.1,,99.0,97,2,998.2,1004.5,0.0,12.6,L
