S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),WIND DIR (Deg),WIND SPEED (Kt),SLP (hPa),MSLP (hPa/gpm),SUNSHINE (HH.MM),BATTERY (Volts),GPS
1,BELGAUM,KANABARGI,2018-08-30,00:00:00,0,4,20.5,20.2,20.5,,,260,4,925.1,1009.8,0.0,12.0,L
2,BELGAUM,KANABARGI,2018-08-30,01:00:00,0,4,20.4,20.2,20.5,,99.0,264,2,925.5,1010.3,0.0,12.0,L
3,BELGAUM,KANABARGI,2018-08-30,02:00:00,0,4,20.5,20.3,20.6,,99.0,269,3,925.7,1010.5,0.0,11.9,L
4,BELGAUM,KANABARGI,2018-08-30,03:00:00,0,4,21.0,20.5,21.0,20.2,96.0,264,3,926.1,1010.8,0.01,11.9,L
5,BELGAUM,KANABARGI,2018-08-30,04:00:00,0,0,21.8,20.9,21.9,,94.0,259,4,926.3,1010.8,0.32,12.0,L
6,BELGAUM,KANABARGI,2018-08-30,05:00:00,0,0,22.9,21.7,23.3,,85.0,265,9,926.3,1010.4,1.3,12.0,L
7,BELGAUM,KANABARGI,2018-08-30,06:00:00,0,0,24.2,23.0,24.5,,79.0,262,7,925.9,1009.6,2.3,12.0,U
8,BELGAUM,KANABARGI,2018-08-30,07:00:00,0,0,25.2,24.2,25.5,,73.0,270,8,925.2,1008.6,3.3,12.0,L
9,BELGAUM,KANABARGI,2018-08-30,08:00:00,0,0,23.6,23.5,25.2,,85.0,260,5,924.7,1008.5,4.29,12.0,L
10,BELGAUM,KANABARGI,2018-08-30,09:00:00,0,0,23.9,23.1,24.9,,79.0,258,7,924.0,1007.6,5.26,12.0,L
11,BELGAUM,KANABARGI,2018-08-30,10:00:00,0,0,23.9,23.6,25.4,,82.0,292,7,923.5,1007.1,6.2,12.0,L
12,BELGAUM,KANABARGI,2018-08-30,11:00:00,1,1,21.9,21.8,23.5,,92.0,264,7,923.5,1007.7,7.05,12.0,L
13,BELGAUM,KANABARGI,2018-08-30,12:00:00,0,1,21.9,21.8,22.8,25.5,92.0,256,6,923.6,1007.8,7.26,12.0,U
14,BELGAUM,KANABARGI,2018-08-30,13:00:00,0,1,21.8,21.6,21.9,,91.0,275,6,924.1,1008.4,7.27,12.0,U
15,BELGAUM,KANABARGI,2018-08-30,14:00:00,1,1,20.8,20.7,21.8,,96.0,286,7,924.8,1009.4,7.27,12.0,U
16,BELGAUM,KANABARGI,2018-08-30,15:00:00,0,1,20.8,20.5,20.9,,96.0,282,5,925.1,1009.8,7.27,11.9,L
