S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),WIND DIR (Deg),WIND SPEED (Kt),SLP (hPa),MSLP (hPa/gpm),SUNSHINE (HH.MM),BATTERY (Volts),GPS
1,IDUKKI,MUNNAR,2018-08-30,00:00:00,0,0,16.2,16.0,16.8,,14.0,359,0,850.4,1313.6,0.0,11.2,L
2,IDUKKI,MUNNAR,2018-08-30,00:30:00,0,0,15.8,15.7,16.2,,14.0,359,0,850.3,1318.0,0.0,11.2,L
3,IDUKKI,MUNNAR,2018-08-30,01:00:00,0,0,15.7,15.4,16.2,,15.0,359,0,850.6,1319.6,0.0,11.2,L
4,IDUKKI,MUNNAR,2018-08-30,01:30:00,0,0,15.5,15.4,15.8,,16.0,359,0,850.8,1322.1,0.0,11.2,L
5,IDUKKI,MUNNAR,2018-08-30,02:00:00,0,0,17.4,15.4,17.4,,15.0,359,0,851.0,1300.8,0.0,12.0,L
6,IDUKKI,MUNNAR,2018-08-30,02:30:00,0,0,18.4,17.2,18.4,,13.0,359,0,851.4,1290.1,0.0,12.0,L
7,IDUKKI,MUNNAR,2018-08-30,03:00:00,0,0,19.2,17.2,19.2,15.4,12.0,359,0,851.8,1281.7,0.0,12.9,L
8,IDUKKI,MUNNAR,2018-08-30,03:30:00,0,0,18.9,18.6,19.3,,8.0,359,0,851.9,1285.2,0.0,12.9,L
9,IDUKKI,MUNNAR,2018-08-30,04:00:00,0,0,20.7,18.6,20.7,,4.0,359,0,852.1,1265.3,0.0,13.3,L
10,IDUKKI,MUNNAR,2018-08-30,04:30:00,0,0,20.6,19.4,20.7,,2.0,359,0,851.9,1266.0,0.0,13.3,L
11,IDUKKI,MUNNAR,2018-08-30,05:00:00,0,0,20.5,19.4,21.0,,2.0,359,0,851.9,1267.2,0.0,13.5,L
12,IDUKKI,MUNNAR,2018-08-30,05:30:00,0,0,20.3,20.2,21.5,,2.0,359,0,851.8,1269.3,0.0,13.5,L
13,IDUKKI,MUNNAR,2018-08-30,06:00:00,0,0,21.0,20.2,21.5,,2.0,359,0,851.6,1261.0,0.0,13.5,L
