S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),WIND DIR (Deg),WIND SPEED (Kt),SLP (hPa),MSLP (hPa/gpm),SUNSHINE (HH.MM),BATTERY (Volts),GPS
1,BETUL,BETUL,2018-09-04,17:00:00,0,0.0,21.1,21.0,21.5,,99.0,211,1,934.7,1008.5,6.53,12.1,L
2,BETUL,BETUL,2018-09-04,18:00:00,0,0.0,21.1,20.6,21.3,,99.0,295,1,934.4,1008.2,6.53,12.1,L
3,DATIA,DATIA,2018-08-30,05:00:00,0,0.0,,,,,,359,0,977.3,1028.2,2.03,13.0,L
4,DATIA,DATIA,2018-08-30,06:00:00,0,0.0,,,,,,359,0,977.0,1027.9,3.03,13.7,L
5,DATIA,DATIA,2018-08-30,07:00:00,0,0.0,,,,,,359,0,976.3,1027.1,4.03,13.7,L
6,DATIA,DATIA,2018-08-30,08:00:00,0,0.0,,,,,,359,0,975.7,1026.5,5.03,13.3,L
7,DATIA,DATIA,2018-08-30,09:00:00,0,0.0,,,,,,359,0,974.4,1025.1,6.03,13.4,L
8,DATIA,DATIA,2018-08-30,10:00:00,0,0.0,,,,,,359,0,973.7,1024.4,7.03,13.4,L
9,DATIA,DATIA,2018-08-30,11:00:00,0,0.0,,,,,,359,0,973.7,1024.4,7.47,12.8,L
10,DATIA,DATIA,2018-08-30,12:00:00,0,0.0,,,,,,359,0,974.1,1024.8,7.47,12.6,U
11,DATIA,DATIA,2018-08-30,13:00:00,0,0.0,,,,,,359,0,974.9,1025.7,7.47,12.5,U
12,DATIA,DATIA,2018-08-30,15:00:00,0,0.0,,,,,,359,0,976.4,1027.3,7.47,12.5,U
13,DATIA,DATIA,2018-08-30,16:00:00,0,0.0,,,,,,359,0,976.6,1027.5,7.47,12.5,U
14,DATIA,DATIA,2018-08-30,17:00:00,0,0.0,,,,,,359,0,976.7,1027.6,7.47,12.4,U
15,DATIA,DATIA,2018-08-30,18:00:00,1,1.0,,,,,,359,0,976.5,1027.4,7.47,12.4,U
16,DATIA,DATIA,2018-08-30,19:00:00,0,1.0,,,,,,359,0,976.3,1027.1,7.47,12.4,U
17,DATIA,DATIA,2018-08-30,20:00:00,0,1.0,,,,,,359,0,976.1,1026.9,7.47,12.3,U
18,DATIA,DATIA,2018-08-30,21:00:00,0,1.0,,,,,,359,0,975.9,1026.7,0.0,12.3,U
19,DATIA,DATIA,2018-08-30,22:00:00,0,1.0,,,,,,359,0,975.7,1026.5,0.0,12.3,U
20,DATIA,DATIA,2018-08-30,23:00:00,0,1.0,,,,,,359,0,975.3,1026.1,0.0,12.2,U
21,DATIA,DATIA,2018-08-31,00:00:00,0,1.0,,,,,,359,0,975.4,1026.2,0.0,12.1,U
22,DATIA,DATIA,2018-08-31,01:00:00,0,1.0,,,,,,359,0,976.0,1026.8,0.0,12.1,U
23,DATIA,DATIA,2018-08-31,02:00:00,0,1.0,,,,,,359,0,977.0,1027.9,0.0,12.0,U
24,DATIA,DATIA,2018-08-31,03:00:00,0,1.0,,,,,,359,0,977.3,1028.2,0.0,11.9,U
25,DATIA,DATIA,2018-08-31,04:00:00,0,0.0,,,,,,359,0,978.5,1029.5,0.0,11.9,U
26,DATIA,DATIA,2018-08-31,05:00:00,0,0.0,,,,,,359,0,978.8,1029.8,0.0,11.9,U
27,DATIA,DATIA,2018-08-31,06:00:00,0,0.0,,,,,,359,0,978.6,1029.6,0.0,11.9,U
28,DATIA,DATIA,2018-08-31,07:00:00,0,0.0,,,,,,359,0,978.9,1029.9,0.3,12.4,U
29,DATIA,DATIA,2018-08-31,08:00:00,0,0.0,,,,,,359,0,977.8,1028.7,0.36,12.5,U
30,DATIA,DATIA,2018-08-31,09:00:00,0,0.0,,,,,,359,0,976.6,1027.5,1.35,12.9,U
31,DATIA,DATIA,2018-08-31,10:00:00,0,0.0,,,,,,359,0,976.6,1027.5,2.35,13.0,U
32,DATIA,DATIA,2018-08-31,11:00:00,0,0.0,,,,,,359,0,976.0,1026.8,2.51,12.6,U
33,DATIA,DATIA,2018-09-03,08:00:00,0,0.0,,,,,,359,0,977.7,1028.6,4.48,12.7,L
34,DATIA,DATIA,2018-09-03,09:00:00,0,0.0,,,,,,359,0,976.9,1027.8,5.36,13.0,L
35,DATIA,DATIA,2018-09-03,10:00:00,0,0.0,,,,,,359,0,976.2,1027.0,6.36,13.2,L
36,DATIA,DATIA,2018-09-03,12:00:00,0,0.0,,,,,,359,0,976.6,1027.5,7.31,12.5,U
37,DATIA,DATIA,2018-09-03,13:00:00,1,1.0,,,,,,359,0,976.8,1027.7,7.31,12.4,U
38,DATIA,DATIA,2018-09-03,15:00:00,0,1.0,,,,,,359,0,978.6,1029.6,7.31,12.3,U
39,DATIA,DATIA,2018-09-03,16:00:00,0,1.0,,,,,,359,0,979.0,1030.0,7.31,12.1,U
40,DATIA,DATIA,2018-09-03,17:00:00,0,1.0,,,,,,359,0,979.3,1030.3,7.31,12.0,U
41,DATIA,DATIA,2018-09-03,18:00:00,0,1.0,,,,,,359,0,979.0,1030.0,7.31,11.9,U
42,DATIA,DATIA,2018-09-03,19:00:00,0,1.0,,,,,,359,0,978.8,1029.8,7.31,11.8,U
43,DATIA,DATIA,2018-09-03,20:00:00,0,1.0,,,,,,359,0,978.5,1029.5,7.31,11.8,U
44,DATIA,DATIA,2018-09-03,21:00:00,0,1.0,,,,,,359,0,978.0,1028.9,0.0,11.7,U
45,DATIA,DATIA,2018-09-03,22:00:00,0,1.0,,,,,,359,0,977.9,1028.8,0.0,11.7,U
46,DATIA,DATIA,2018-09-03,23:00:00,0,1.0,,,,,,359,0,978.0,1028.9,0.0,11.6,U
47,DATIA,DATIA,2018-09-04,00:00:00,0,1.0,,,,,,359,0,978.0,1028.9,0.0,11.6,U
48,DATIA,DATIA,2018-09-04,01:00:00,0,1.0,,,,,,359,0,978.8,1029.8,0.0,11.6,U
49,DATIA,DATIA,2018-09-04,02:00:00,0,1.0,,,,,,359,0,979.5,1030.5,0.0,11.7,U
50,DATIA,DATIA,2018-09-04,03:00:00,0,1.0,,,,,,359,0,980.1,1031.1,0.15,12.1,U
51,DATIA,DATIA,2018-09-04,04:00:00,0,0.0,,,,,,359,0,980.5,1031.6,0.48,12.4,U
52,DATIA,DATIA,2018-09-04,05:00:00,0,0.0,,,,,,359,0,980.6,1031.7,1.03,12.3,U
53,DATIA,DATIA,2018-09-04,06:00:00,0,0.0,,,,,,359,0,980.0,1031.0,1.4,12.7,U
54,DATIA,DATIA,2018-09-04,07:00:00,0,0.0,,,,,,359,0,979.1,1030.1,2.38,12.7,U
55,DATIA,DATIA,2018-09-04,08:00:00,0,0.0,,,,,,359,0,978.1,1029.0,3.2,12.8,U
56,DATIA,DATIA,2018-09-04,09:00:00,0,0.0,,,,,,359,0,977.0,1027.9,4.2,13.0,U
57,DATIA,DATIA,2018-09-04,10:00:00,0,0.0,,,,,,359,0,976.6,1027.5,4.44,12.6,L
58,DATIA,DATIA,2018-09-04,11:00:00,0,0.0,,,,,,359,0,976.5,1027.4,5.14,12.6,L
59,DATIA,DATIA,2018-09-04,12:00:00,0,0.0,,,,,,359,0,976.7,1027.6,5.14,12.3,U
60,DATIA,DATIA,2018-09-04,13:00:00,0,0.0,,,,,,359,0,977.7,1028.6,5.14,12.1,U
61,DATIA,DATIA,2018-09-04,14:00:00,0,0.0,,,,,,359,0,977.9,1028.8,5.14,11.9,U
62,DATIA,DATIA,2018-09-04,15:00:00,0,0.0,,,,,,359,0,978.7,1029.7,5.14,11.8,U
63,DATIA,DATIA,2018-09-04,16:00:00,0,0.0,,,,,,359,0,979.2,1030.2,5.14,11.8,U
64,DATIA,DATIA,2018-09-04,17:00:00,0,0.0,,,,,,359,0,979.3,1030.3,5.14,11.7,U
65,DATIA,DATIA,2018-09-04,18:00:00,0,0.0,,,,,,359,0,978.8,1029.8,5.14,11.7,U
66,DATIA,DATIA,2018-09-04,19:00:00,0,0.0,,,,,,359,0,978.2,1029.1,5.14,11.7,U
67,DATIA,DATIA,2018-09-04,20:00:00,0,0.0,,,,,,359,0,977.6,1028.5,5.14,11.7,U
68,DATIA,DATIA,2018-09-04,21:00:00,0,0.0,,,,,,359,0,977.0,1027.9,0.0,11.7,U
69,DATIA,DATIA,2018-09-04,22:00:00,0,0.0,,,,,,359,0,977.2,1028.1,0.0,11.6,U
70,DATIA,DATIA,2018-09-04,23:00:00,0,0.0,,,,,,359,0,977.0,1027.9,0.0,11.6,U
71,DATIA,DATIA,2018-09-05,00:00:00,0,0.0,,,,,,359,0,977.3,1028.2,0.0,11.5,U
72,DATIA,DATIA,2018-09-05,01:00:00,0,0.0,,,,,,359,0,977.7,1028.6,0.0,11.5,U
73,DATIA,DATIA,2018-09-05,02:00:00,0,0.0,,,,,,359,0,978.3,1029.3,0.0,11.7,U
74,DATIA,DATIA,2018-09-05,03:00:00,0,0.0,,,,,,359,0,979.0,1030.0,0.48,12.2,U
75,DATIA,DATIA,2018-09-05,04:00:00,0,0.0,,,,,,359,0,979.4,1030.4,1.42,12.4,U
76,DATIA,DATIA,2018-09-05,05:00:00,0,0.0,,,,,,359,0,979.5,1030.5,2.42,13.0,U
77,DATIA,DATIA,2018-09-05,06:00:00,0,0.0,,,,,,359,0,979.2,1030.2,3.42,12.9,U
78,DATIA,DATIA,2018-09-05,07:00:00,0,0.0,,,,,,359,0,978.5,1029.5,4.42,12.8,L
79,DATIA,DATIA,2018-09-05,08:00:00,0,0.0,,,,,,359,0,977.7,1028.6,5.42,12.8,L
80,DATIA,DATIA,2018-09-05,09:00:00,1,1.0,,,,,,359,0,977.1,1028.0,6.18,12.5,L
81,DATIA,DATIA,2018-09-05,10:00:00,0,1.0,,,,,,359,0,976.7,1027.6,6.31,12.3,L
82,DATIA,DATIA,2018-09-05,11:00:00,0,1.0,,,,,,359,0,976.2,1027.0,6.31,12.3,L
83,DATIA,DATIA,2018-09-05,12:00:00,0,1.0,,,,,,359,0,976.9,1027.8,6.31,12.0,U
84,DATIA,DATIA,2018-09-05,13:00:00,0,1.0,,,,,,359,0,977.3,1028.2,6.31,11.9,U
85,DATIA,DATIA,2018-09-05,14:00:00,0,1.0,,,,,,359,0,977.7,1028.6,6.31,11.8,U
86,DATIA,DATIA,2018-09-05,15:00:00,0,1.0,,,,,,359,0,978.3,1029.3,6.31,11.8,U
87,DATIA,DATIA,2018-09-05,17:00:00,0,1.0,,,,,,359,0,978.5,1029.5,6.31,11.7,U
88,DATIA,DATIA,2018-09-05,18:00:00,0,1.0,,,,,,359,0,978.0,1028.9,6.31,11.7,U
89,DATIA,DATIA,2018-09-05,19:00:00,0,1.0,,,,,,359,0,977.0,1027.9,6.31,11.7,U
90,DATIA,DATIA,2018-09-05,20:00:00,0,1.0,,,,,,359,0,976.5,1027.4,6.31,11.6,U
91,DATIA,DATIA,2018-09-05,21:00:00,0,1.0,,,,,,359,0,975.2,1026.0,0.0,11.6,U
92,DATIA,DATIA,2018-09-05,22:00:00,0,1.0,,,,,,359,0,975.9,1026.7,0.0,11.5,U
93,DATIA,DATIA,2018-09-05,23:00:00,0,1.0,,,,,,359,0,975.5,1026.3,0.0,11.5,U
94,DHAR,DHAR,2018-09-03,05:00:00,0,0.0,,,,,8.0,359,0,943.4,1060.6,2.0,14.6,L
95,DHAR,DHAR,2018-09-03,06:00:00,0,0.0,,,,,8.0,359,0,943.3,1060.7,2.56,14.5,L
96,DHAR,DHAR,2018-09-05,04:00:00,0,0.0,,,,,8.0,359,0,944.1,1061.0,0.37,14.5,L
97,DINDORI,DINDORI,2018-08-30,04:00:00,0,,2.0,1.9,21.6,,35.0,295,3,930.6,1009.8,0.12,12.5,L
98,DINDORI,DINDORI,2018-08-30,05:00:00,0,,4.7,2.3,22.3,,37.0,302,3,930.6,1009.0,1.09,14.3,L
99,DINDORI,DINDORI,2018-08-30,06:00:00,0,,5.6,4.7,24.7,,37.0,264,3,930.2,1008.3,2.09,14.4,L
100,DINDORI,DINDORI,2018-08-30,07:00:00,0,,5.9,5.6,25.4,,37.0,252,5,929.7,1007.7,3.09,14.5,L
101,DINDORI,DINDORI,2018-08-30,08:00:00,0,,5.0,4.7,24.3,,35.0,260,4,928.9,1007.1,4.09,14.4,L
102,DINDORI,DINDORI,2018-08-30,09:00:00,0,,2.3,1.0,24.7,,34.0,223,5,928.2,1007.1,4.57,13.0,L
103,DINDORI,DINDORI,2018-08-30,11:00:00,0,,0.4,-0.2,19.1,,34.0,251,6,927.3,1006.7,5.38,14.0,L
104,DINDORI,DINDORI,2018-08-31,04:00:00,0,,,-1.1,19.5,,34.0,258,5,930.5,1045.8,0.43,14.4,L
105,DINDORI,DINDORI,2018-08-31,05:00:00,0,,0.2,-1.3,20.3,,34.0,258,5,930.5,1010.2,1.39,14.4,L
106,DINDORI,DINDORI,2018-08-31,06:00:00,0,,,-1.2,43.1,,34.0,251,4,930.3,1045.6,2.37,13.7,L
107,DINDORI,DINDORI,2018-08-31,07:00:00,0,,,-1.0,19.7,,34.0,282,4,929.8,1044.8,3.34,14.4,L
108,DINDORI,DINDORI,2018-08-31,08:00:00,0,,,-0.7,21.8,,34.0,276,4,929.0,1043.8,4.31,14.4,L
109,DINDORI,DINDORI,2018-08-31,09:00:00,0,,0.0,-1.0,19.8,,34.0,298,4,928.7,1008.3,5.21,13.7,L
110,DINDORI,DINDORI,2018-08-31,10:00:00,0,,0.7,-1.1,20.6,,34.0,282,4,928.5,1007.9,6.03,13.1,L
111,DINDORI,DINDORI,2018-09-01,08:00:00,0,,,-2.7,15.5,,30.0,256,5,930.9,1047.3,0.21,12.3,L
112,DINDORI,DINDORI,2018-09-01,09:00:00,0,,,-2.5,17.5,,31.0,272,4,930.3,1046.5,0.21,12.5,L
113,DINDORI,DINDORI,2018-09-02,03:00:00,0,,,-3.2,17.1,,30.0,268,5,931.8,1048.9,0.01,11.6,L
114,DINDORI,DINDORI,2018-09-02,04:00:00,0,,,-3.2,15.5,,30.0,276,5,932.2,1049.1,0.07,13.1,L
115,DINDORI,DINDORI,2018-09-02,05:00:00,0,,,-3.2,15.6,,30.0,261,6,932.3,1049.3,1.01,13.1,L
116,DINDORI,DINDORI,2018-09-02,06:00:00,0,,,-3.1,17.5,,31.0,276,7,932.0,1048.8,1.56,13.8,L
117,DINDORI,DINDORI,2018-09-02,07:00:00,0,,,-3.1,15.1,,30.0,295,7,931.3,1048.2,2.15,13.2,L
118,DINDORI,DINDORI,2018-09-02,08:00:00,0,,,-3.8,15.6,,30.0,279,5,930.7,1047.3,2.39,12.8,L
119,DINDORI,DINDORI,2018-09-02,09:00:00,0,,,-3.4,15.4,,30.0,331,3,930.1,1046.8,2.39,12.2,L
120,DINDORI,DINDORI,2018-09-03,03:00:00,0,,,-4.5,18.6,,30.0,260,3,932.2,1050.2,0.0,11.8,L
121,DINDORI,DINDORI,2018-09-03,05:00:00,0,,,-6.3,17.5,,30.0,282,6,932.6,1050.6,0.48,12.2,L
