S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),WIND DIR (Deg),WIND SPEED (Kt),SLP (hPa),MSLP (hPa/gpm),SUNSHINE (HH.MM),BATTERY (Volts),GPS
1,AHMEDNAGAR,AHMEDNAGAR,2018-08-30,00:00:00,0,0.0,19.1,19.1,19.4,,,359,0,934.6,1007.6,0.0,12.2,L
2,AHMEDNAGAR,AHMEDNAGAR,2018-08-30,01:00:00,0,0.0,19.1,18.9,19.4,,,359,0,934.6,1007.6,0.0,12.2,L
3,AHMEDNAGAR,AHMEDNAGAR,2018-08-30,02:00:00,0,0.0,20.7,19.1,20.7,,,151,1,935.2,1007.8,0.28,12.6,L
4,AHMEDNAGAR,AHMEDNAGAR,2018-08-30,03:00:00,0,0.0,24.1,20.7,24.1,18.9,83.0,245,2,935.4,1007.2,1.28,13.1,L
5,AHMEDNAGAR,AHMEDNAGAR,2018-08-30,04:00:00,0,0.0,26.4,24.1,26.5,,99.0,288,4,935.7,1006.9,2.28,13.5,L
6,AHMEDNAGAR,AHMEDNAGAR,2018-08-30,05:00:00,0,0.0,27.5,26.2,27.6,,99.0,0,1,935.6,1006.5,3.28,13.8,L
7,AHMEDNAGAR,AHMEDNAGAR,2018-08-30,06:00:00,0,0.0,28.4,27.3,29.3,,99.0,284,5,935.6,1006.3,4.28,13.9,L
8,AHMEDNAGAR,AHMEDNAGAR,2018-08-30,07:00:00,0,0.0,28.2,27.8,28.4,,99.0,248,3,935.2,1005.9,5.28,13.9,L
9,AHMEDNAGAR,AHMEDNAGAR,2018-08-30,08:00:00,0,0.0,30.5,27.8,30.8,,99.0,288,4,934.3,1004.4,6.28,13.9,L
10,AHMEDNAGAR,AHMEDNAGAR,2018-08-30,09:00:00,0,0.0,30.1,29.6,30.5,,99.0,275,4,933.5,1003.6,7.28,14.1,L
11,AHMEDNAGAR,AHMEDNAGAR,2018-08-30,12:00:00,0,0.0,28.5,28.4,30.0,,99.0,241,4,932.7,1003.2,10.01,13.6,L
12,AHMEDNAGAR,AHMEDNAGAR,2018-08-30,14:00:00,0,0.0,25.6,25.6,26.5,,99.0,311,3,933.7,1005.0,10.01,12.6,L
13,AHMEDNAGAR,AHMEDNAGAR,2018-08-30,15:00:00,0,0.0,24.1,24.1,25.6,,99.0,285,2,934.6,1006.3,10.01,12.6,L
14,AHMEDNAGAR,AHMEDNAGAR,2018-08-30,16:00:00,0,0.0,22.5,22.5,23.1,,,312,1,936.0,1008.2,10.01,12.5,L
15,AHMEDNAGAR,AHMEDNAGAR,2018-08-30,17:00:00,0,0.0,22.2,22.1,22.4,,,258,2,936.1,1008.4,10.01,12.5,L
16,AHMEDNAGAR,AHMEDNAGAR,2018-08-30,18:00:00,0,0.0,21.9,21.9,22.4,,,265,1,936.2,1008.6,10.01,12.4,L
17,AHMEDNAGAR,AHMEDNAGAR,2018-08-30,19:00:00,0,0.0,21.3,21.3,22.0,,,223,1,935.7,1008.2,10.01,12.4,L
18,AHMEDNAGAR,AHMEDNAGAR,2018-08-30,20:00:00,0,0.0,21.3,21.1,21.4,,,237,2,935.3,1007.8,10.01,12.4,L
19,AHMEDNAGAR,AHMEDNAGAR,2018-08-30,21:00:00,0,0.0,21.8,21.4,21.9,,,262,1,934.6,1006.9,0.0,12.4,L
20,AHMEDNAGAR,AHMEDNAGAR,2018-08-30,22:00:00,0,0.0,21.5,21.3,21.9,,,259,2,934.4,1006.7,0.0,12.3,L
21,AHMEDNAGAR,AHMEDNAGAR,2018-08-30,23:00:00,0,0.0,21.1,21.0,21.6,,,272,1,934.5,1007.0,0.0,12.3,L
22,AHMEDNAGAR,AHMEDNAGAR,2018-08-31,00:00:00,0,0.0,19.9,19.9,21.1,,,105,1,934.5,1007.3,0.0,12.2,L
23,AHMEDNAGAR,AHMEDNAGAR,2018-08-31,01:00:00,0,0.0,19.4,19.4,19.9,,,224,1,934.9,1007.8,0.0,12.2,L
24,AHMEDNAGAR,AHMEDNAGAR,2018-08-31,02:00:00,0,0.0,21.0,19.4,21.0,,,213,1,935.2,1007.7,0.31,12.7,L
25,AHMEDNAGAR,AHMEDNAGAR,2018-08-31,03:00:00,0,0.0,25.4,24.5,25.4,19.4,99.0,264,4,936.4,1007.9,2.01,13.1,L
26,AHMEDNAGAR,AHMEDNAGAR,2018-08-31,04:00:00,0,0.0,26.3,24.5,26.3,,99.0,285,4,936.4,1007.7,2.31,13.4,L
27,AHMEDNAGAR,AHMEDNAGAR,2018-08-31,05:00:00,0,0.0,26.6,26.2,27.0,,99.0,260,5,936.4,1007.6,3.31,13.6,L
28,AHMEDNAGAR,AHMEDNAGAR,2018-08-31,06:00:00,0,0.0,27.4,26.7,27.9,,99.0,251,4,936.2,1007.2,4.31,13.7,L
29,AHMEDNAGAR,AHMEDNAGAR,2018-08-31,07:00:00,0,0.0,29.1,27.2,29.1,,99.0,288,3,935.6,1006.1,5.31,13.8,L
30,AHMEDNAGAR,AHMEDNAGAR,2018-08-31,08:00:00,0,0.0,28.9,28.5,29.5,,99.0,219,4,934.9,1005.4,6.31,13.9,L
31,AHMEDNAGAR,AHMEDNAGAR,2018-08-31,09:00:00,0,0.0,28.7,28.3,29.4,,99.0,233,6,934.6,1005.2,7.31,13.9,L
32,AHMEDNAGAR,AHMEDNAGAR,2018-08-31,10:00:00,0,0.0,27.5,27.5,28.6,,99.0,246,3,934.0,1004.8,9.01,13.9,L
33,AHMEDNAGAR,AHMEDNAGAR,2018-08-31,11:00:00,0,0.0,27.6,27.5,28.6,,99.0,275,4,933.6,1004.4,9.31,13.7,L
34,AHMEDNAGAR,AHMEDNAGAR,2018-08-31,12:00:00,0,0.0,27.4,27.3,27.6,29.5,99.0,304,3,933.7,1004.5,10.31,13.5,L
35,AHMEDNAGAR,AHMEDNAGAR,2018-08-31,13:00:00,0,0.0,26.5,26.4,27.4,,99.0,248,2,934.4,1005.5,10.41,12.9,L
36,AHMEDNAGAR,AHMEDNAGAR,2018-08-31,14:00:00,0,0.0,25.4,25.3,26.5,,99.0,298,4,935.1,1006.5,10.41,12.6,L
37,AHMEDNAGAR,AHMEDNAGAR,2018-08-31,15:00:00,0,0.0,24.0,24.0,24.3,,99.0,242,1,936.7,1008.6,10.41,12.5,L
38,AHMEDNAGAR,AHMEDNAGAR,2018-08-31,16:00:00,0,0.0,23.6,23.5,24.3,,,274,2,936.9,1008.9,10.41,12.5,L
39,AHMEDNAGAR,AHMEDNAGAR,2018-08-31,17:00:00,0,0.0,22.6,22.6,23.3,,,255,2,936.8,1009.0,10.41,12.5,L
40,AHMEDNAGAR,AHMEDNAGAR,2018-08-31,18:00:00,0,0.0,22.4,22.3,23.3,,,216,1,936.8,1009.1,10.41,12.4,L
41,AHMEDNAGAR,AHMEDNAGAR,2018-08-31,19:00:00,0,0.0,21.7,21.7,22.5,,,359,0,936.4,1008.8,10.41,12.4,L
42,AHMEDNAGAR,AHMEDNAGAR,2018-08-31,20:00:00,0,0.0,21.1,21.1,21.8,,,274,1,936.0,1008.6,10.41,12.4,L
43,AHMEDNAGAR,AHMEDNAGAR,2018-08-31,21:00:00,0,0.0,20.6,20.5,21.2,,,281,1,935.8,1008.5,0.0,12.3,L
44,AHMEDNAGAR,AHMEDNAGAR,2018-08-31,22:00:00,0,0.0,20.1,20.1,20.6,,,263,1,935.3,1008.1,0.0,12.3,L
45,AHMEDNAGAR,AHMEDNAGAR,2018-08-31,23:00:00,0,0.0,19.6,19.6,20.2,,,49,1,935.2,1008.1,0.0,12.2,L
46,AHMEDNAGAR,AHMEDNAGAR,2018-09-01,00:00:00,0,0.0,19.7,19.3,19.7,,,359,0,935.4,1008.3,0.0,12.2,L
47,AHMEDNAGAR,AHMEDNAGAR,2018-09-01,01:00:00,0,0.0,19.6,19.5,19.8,,,359,0,935.9,1008.8,0.0,12.2,L
48,AHMEDNAGAR,AHMEDNAGAR,2018-09-01,02:00:00,0,0.0,23.1,21.0,23.1,,,156,1,936.7,1008.8,1.04,12.7,L
49,AHMEDNAGAR,AHMEDNAGAR,2018-09-01,03:00:00,0,0.0,24.7,21.0,24.7,19.3,99.0,273,3,936.9,1008.6,1.34,13.1,L
50,AHMEDNAGAR,AHMEDNAGAR,2018-09-01,04:00:00,0,0.0,26.3,24.8,26.3,,99.0,280,4,937.2,1008.6,2.34,13.5,L
51,AHMEDNAGAR,AHMEDNAGAR,2018-09-01,05:00:00,0,0.0,26.8,25.6,26.9,,99.0,228,3,937.2,1008.4,3.34,13.6,L
52,AHMEDNAGAR,AHMEDNAGAR,2018-09-01,06:00:00,0,0.0,27.2,25.9,27.5,,99.0,273,5,937.1,1008.2,4.34,13.6,L
53,AHMEDNAGAR,AHMEDNAGAR,2018-09-01,07:00:00,0,0.0,29.3,27.3,29.4,,99.0,280,4,936.3,1006.8,5.34,13.7,L
54,AHMEDNAGAR,AHMEDNAGAR,2018-09-01,08:00:00,0,0.0,29.4,28.7,30.4,,99.0,259,3,935.5,1006.0,6.34,13.9,L
55,AHMEDNAGAR,AHMEDNAGAR,2018-09-01,09:00:00,0,0.0,28.4,28.4,29.6,,99.0,290,2,935.1,1005.8,7.34,13.9,L
56,AHMEDNAGAR,AHMEDNAGAR,2018-09-01,10:00:00,0,0.0,27.0,26.8,29.6,,99.0,289,4,935.1,1006.1,8.31,13.8,L
57,AHMEDNAGAR,AHMEDNAGAR,2018-09-01,11:00:00,0,0.0,25.8,25.3,25.9,,99.0,228,2,934.9,1006.2,9.3,13.5,L
58,AHMEDNAGAR,AHMEDNAGAR,2018-09-01,12:00:00,0,0.0,26.3,25.3,26.3,30.4,99.0,194,1,935.0,1006.2,9.35,13.1,L
59,AHMEDNAGAR,AHMEDNAGAR,2018-09-01,13:00:00,0,0.0,24.4,24.3,26.3,,99.0,253,3,935.6,1007.3,9.35,12.6,L
60,AHMEDNAGAR,AHMEDNAGAR,2018-09-01,14:00:00,0,0.0,24.3,24.1,24.4,,99.0,286,2,936.3,1008.1,9.35,12.6,L
61,AHMEDNAGAR,AHMEDNAGAR,2018-09-01,15:00:00,0,0.0,23.0,23.0,23.6,,,276,3,937.0,1009.2,9.35,12.5,L
