S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),WIND DIR (Deg),WIND SPEED (Kt),SLP (hPa),MSLP (hPa/gpm),SUNSHINE (HH.MM),BATTERY (Volts),GPS
1,CHURACHANDPUR,CHURACHANDPUR,2018-08-30,02:00:00,0,0,25.4,,25.5,,79.0,143,2,914.6,672.6,1.02,10.7,L
2,CHURACHANDPUR,CHURACHANDPUR,2018-08-30,03:00:00,0,0,27.5,25.7,27.8,,68.0,188,4,914.6,659.6,2.02,11.6,L
3,CHURACHANDPUR,CHURACHANDPUR,2018-08-30,04:00:00,0,0,26.4,26.1,28.6,,72.0,22,1,850.0,527.5,3.02,11.2,L
4,CHURACHANDPUR,CHURACHANDPUR,2018-08-30,05:00:00,0,0,27.5,26.4,27.8,,69.0,342,3,850.0,514.9,4.02,11.3,L
5,CHURACHANDPUR,CHURACHANDPUR,2018-08-30,06:00:00,0,0,28.8,27.4,28.8,,64.0,34,3,913.3,648.7,5.02,11.5,L
6,CHURACHANDPUR,CHURACHANDPUR,2018-08-30,07:00:00,0,0,28.3,28.2,30.0,,69.0,3,2,912.3,649.6,6.02,11.3,L
7,CHURACHANDPUR,CHURACHANDPUR,2018-08-30,08:00:00,0,0,29.0,27.7,30.0,,68.0,56,2,911.4,643.2,7.02,11.4,L
8,CHURACHANDPUR,CHURACHANDPUR,2018-08-30,09:00:00,0,0,28.8,28.3,29.1,,68.0,12,1,910.4,642.2,8.02,11.5,L
9,CHURACHANDPUR,CHURACHANDPUR,2018-08-30,10:00:00,0,0,27.4,27.4,29.2,,73.0,359,1,910.3,651.1,8.22,11.3,L
10,CHURACHANDPUR,CHURACHANDPUR,2018-08-30,11:00:00,0,0,27.4,27.2,28.4,,73.0,1,2,910.4,651.3,8.32,11.2,L
11,CHURACHANDPUR,CHURACHANDPUR,2018-08-30,12:00:00,0,0,26.8,26.8,28.1,30.0,77.0,303,1,910.7,655.9,8.43,11.2,L
12,CHURACHANDPUR,CHURACHANDPUR,2018-08-30,13:00:00,0,0,25.3,25.2,26.9,,83.0,359,0,911.6,667.4,8.43,11.2,L
13,CHURACHANDPUR,CHURACHANDPUR,2018-08-30,14:00:00,0,0,24.7,24.6,25.4,,86.0,143,1,912.5,672.9,8.43,11.1,L
14,CHURACHANDPUR,CHURACHANDPUR,2018-08-30,15:00:00,0,0,23.7,23.7,24.7,,90.0,181,1,913.3,680.7,8.43,11.1,L
15,CHURACHANDPUR,CHURACHANDPUR,2018-08-30,16:00:00,0,0,23.4,23.3,23.7,,91.0,221,0,913.6,683.2,8.43,11.1,L
16,CHURACHANDPUR,CHURACHANDPUR,2018-08-30,17:00:00,0,0,23.3,23.2,23.5,,94.0,322,1,913.7,684.0,8.43,11.1,L
17,CHURACHANDPUR,CHURACHANDPUR,2018-08-30,18:00:00,0,0,22.9,22.8,23.3,,95.0,326,1,913.7,686.5,8.43,11.0,U
18,CHURACHANDPUR,CHURACHANDPUR,2018-08-30,19:00:00,0,0,22.8,22.7,22.9,,95.0,222,1,913.6,686.9,8.43,11.0,L
19,CHURACHANDPUR,CHURACHANDPUR,2018-08-30,20:00:00,0,0,22.6,22.6,22.9,,95.0,334,2,913.1,687.3,8.43,10.8,L
20,CHURACHANDPUR,CHURACHANDPUR,2018-08-30,21:00:00,0,0,22.6,22.3,22.7,,98.0,227,1,913.0,687.1,0.0,10.8,L
21,CHURACHANDPUR,CHURACHANDPUR,2018-08-30,22:00:00,0,0,22.4,22.3,22.6,,98.0,144,0,912.9,688.2,0.0,10.7,L
22,CHURACHANDPUR,CHURACHANDPUR,2018-08-30,23:00:00,0,0,22.5,22.3,22.6,,99.0,182,1,913.4,688.5,0.0,10.4,L
23,CHURACHANDPUR,CHURACHANDPUR,2018-08-31,02:00:00,0,0,22.6,,22.8,,94.0,176,2,914.9,690.5,0.26,10.1,L
24,CHURACHANDPUR,CHURACHANDPUR,2018-08-31,03:00:00,0,0,26.0,22.7,26.2,,78.0,117,2,914.8,669.3,1.26,11.4,L
25,CHURACHANDPUR,CHURACHANDPUR,2018-08-31,04:00:00,0,0,28.0,26.2,28.2,,66.0,156,2,914.6,656.5,2.26,11.7,L
26,CHURACHANDPUR,CHURACHANDPUR,2018-08-31,05:00:00,0,0,30.1,27.7,30.3,,61.0,59,2,913.7,641.5,3.26,11.8,L
27,CHURACHANDPUR,CHURACHANDPUR,2018-08-31,06:00:00,0,0,29.9,29.0,30.5,,60.0,267,2,912.9,640.9,4.26,11.4,L
28,CHURACHANDPUR,CHURACHANDPUR,2018-08-31,07:00:00,0,0,30.4,29.0,30.5,,60.0,56,2,912.2,636.0,5.26,11.5,L
29,CHURACHANDPUR,CHURACHANDPUR,2018-08-31,08:00:00,0,0,30.2,29.8,32.0,,59.0,80,2,911.4,635.4,6.26,11.5,L
30,CHURACHANDPUR,CHURACHANDPUR,2018-08-31,09:00:00,0,0,30.4,29.2,31.5,,62.0,7,2,910.9,633.0,7.11,11.6,L
31,CHURACHANDPUR,CHURACHANDPUR,2018-08-31,10:00:00,0,0,29.9,29.3,31.3,,60.0,25,2,910.2,634.6,7.58,11.4,L
32,CHURACHANDPUR,CHURACHANDPUR,2018-08-31,11:00:00,0,0,30.0,29.8,30.5,,60.0,348,2,910.0,633.5,8.39,11.3,L
33,CHURACHANDPUR,CHURACHANDPUR,2018-08-31,12:00:00,0,0,27.3,27.2,30.5,32.0,78.0,140,2,911.0,653.2,8.41,11.3,L
34,CHURACHANDPUR,CHURACHANDPUR,2018-08-31,13:00:00,0,0,25.4,25.3,27.2,,87.0,7,0,911.7,666.9,8.41,11.3,L
35,CHURACHANDPUR,CHURACHANDPUR,2018-08-31,14:00:00,0,0,24.6,24.5,25.4,,91.0,118,1,912.7,673.9,8.41,11.3,L
36,CHURACHANDPUR,CHURACHANDPUR,2018-08-31,15:00:00,0,0,24.3,24.2,24.8,,90.0,298,1,913.5,677.4,8.41,11.2,L
37,CHURACHANDPUR,CHURACHANDPUR,2018-08-31,16:00:00,0,0,24.4,24.2,24.5,,90.0,202,2,914.0,677.7,8.41,11.2,L
38,CHURACHANDPUR,CHURACHANDPUR,2018-08-31,17:00:00,0,0,24.2,24.1,24.5,,91.0,326,1,914.0,678.9,8.41,11.1,L
39,CHURACHANDPUR,CHURACHANDPUR,2018-08-31,18:00:00,0,0,23.9,23.7,24.2,,94.0,3,0,913.7,680.2,8.41,11.2,L
40,CHURACHANDPUR,CHURACHANDPUR,2018-08-31,19:00:00,0,0,23.5,23.5,23.9,,95.0,122,1,913.4,682.2,8.41,11.1,L
41,CHURACHANDPUR,CHURACHANDPUR,2018-08-31,20:00:00,0,0,23.3,23.2,23.6,,96.0,173,2,913.3,683.3,8.41,11.1,L
42,CHURACHANDPUR,CHURACHANDPUR,2018-08-31,21:00:00,0,0,23.3,23.2,23.4,,98.0,152,2,913.3,683.3,0.0,11.1,L
43,CHURACHANDPUR,CHURACHANDPUR,2018-08-31,22:00:00,0,0,21.8,21.6,23.3,,92.0,195,1,913.2,692.5,0.0,11.0,L
44,CHURACHANDPUR,CHURACHANDPUR,2018-08-31,23:00:00,0,0,21.8,21.8,22.0,,95.0,99,0,913.5,693.0,0.0,11.0,L
45,CHURACHANDPUR,CHURACHANDPUR,2018-09-01,00:00:00,0,0,21.8,21.7,21.9,,95.0,142,1,913.9,693.7,0.0,10.9,L
46,CHURACHANDPUR,CHURACHANDPUR,2018-09-01,01:00:00,0,0,22.5,21.8,22.6,,94.0,149,1,914.6,690.6,0.0,10.9,L
47,CHURACHANDPUR,CHURACHANDPUR,2018-09-01,02:00:00,0,0,25.7,22.6,25.8,,78.0,6,1,915.3,672.2,0.37,11.3,L
