S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),WIND DIR (Deg),WIND SPEED (Kt),SLP (hPa),MSLP (hPa/gpm),SUNSHINE (HH.MM),BATTERY (Volts),GPS
1,EAST_KHASI_HILLS,SHILLONG,2018-08-30,00:00:00,0,0,18.5,18.0,18.6,,99,262,0,834.9,1329.3,0.0,12.4,L
2,EAST_KHASI_HILLS,SHILLONG,2018-08-30,01:00:00,0,0,19.4,18.5,19.5,,99,233,1,835.4,1318.7,0.07,13.0,L
3,EAST_KHASI_HILLS,SHILLONG,2018-08-30,02:00:00,0,0,20.5,19.3,20.8,,99,150,5,835.5,1304.9,0.51,13.3,L
4,EAST_KHASI_HILLS,SHILLONG,2018-08-30,03:00:00,0,0,21.8,20.7,22.1,18.0,99,251,1,836.1,1289.5,1.51,14.2,L
5,EAST_KHASI_HILLS,SHILLONG,2018-08-30,04:00:00,0,0,22.8,22.0,22.9,,99,225,1,836.2,1277.0,2.51,14.1,L
6,EAST_KHASI_HILLS,SHILLONG,2018-08-30,05:00:00,0,0,22.7,22.5,23.1,,99,296,4,836.0,1277.9,3.51,13.8,L
7,EAST_KHASI_HILLS,SHILLONG,2018-08-30,06:00:00,0,0,24.2,22.2,24.3,,99,28,2,835.7,1258.3,4.46,14.2,L
8,EAST_KHASI_HILLS,SHILLONG,2018-08-30,07:00:00,0,0,22.5,22.0,24.5,,99,331,3,835.0,1278.5,5.44,13.7,L
9,EAST_KHASI_HILLS,SHILLONG,2018-08-30,08:00:00,0,0,21.1,20.5,22.4,,99,277,1,834.3,1295.0,6.3,14.2,L
10,EAST_KHASI_HILLS,SHILLONG,2018-08-30,09:00:00,0,0,20.9,20.9,22.1,,99,3,2,833.8,1296.7,7.04,13.5,L
11,EAST_KHASI_HILLS,SHILLONG,2018-08-30,10:00:00,0,0,22.3,20.9,23.4,,99,359,1,833.1,1277.3,7.47,13.6,L
12,EAST_KHASI_HILLS,SHILLONG,2018-08-30,11:00:00,0,0,20.9,20.6,22.2,,99,164,1,833.2,1295.5,7.57,13.8,L
13,EAST_KHASI_HILLS,SHILLONG,2018-08-30,12:00:00,0,0,19.2,19.1,21.3,24.5,99,157,3,833.3,1317.7,7.58,13.0,L
14,EAST_KHASI_HILLS,SHILLONG,2018-08-30,13:00:00,0,0,19.2,19.0,19.4,,99,144,3,833.8,1318.5,7.58,12.6,L
15,EAST_KHASI_HILLS,SHILLONG,2018-08-30,14:00:00,0,0,19.0,18.9,19.2,,99,173,4,834.6,1322.4,7.58,12.5,L
16,EAST_KHASI_HILLS,SHILLONG,2018-08-30,15:00:00,0,0,18.5,18.4,19.1,,99,173,1,835.9,1331.0,7.58,12.5,L
17,EAST_KHASI_HILLS,SHILLONG,2018-08-30,16:00:00,0,0,18.6,18.0,18.6,,99,174,3,836.3,1330.3,7.58,12.4,L
18,EAST_KHASI_HILLS,SHILLONG,2018-08-30,17:00:00,0,0,18.8,18.5,18.8,,99,151,3,836.1,1327.5,7.58,12.5,L
19,EAST_KHASI_HILLS,SHILLONG,2018-08-30,18:00:00,0,0,18.5,18.4,19.1,,99,291,2,836.1,1331.3,7.58,12.5,L
20,EAST_KHASI_HILLS,SHILLONG,2018-08-30,19:00:00,0,0,18.4,18.3,18.6,,99,273,3,835.7,1331.9,7.58,12.4,L
21,EAST_KHASI_HILLS,SHILLONG,2018-08-30,20:00:00,0,0,19.2,18.5,19.3,,99,283,2,835.8,1321.9,7.58,12.4,L
22,EAST_KHASI_HILLS,SHILLONG,2018-08-30,21:00:00,0,0,18.6,18.6,19.4,,99,197,1,835.4,1328.9,0.0,12.4,L
23,EAST_KHASI_HILLS,SHILLONG,2018-08-30,22:00:00,0,0,18.6,18.5,18.7,,99,104,2,835.1,1328.4,0.0,12.4,L
24,EAST_KHASI_HILLS,SHILLONG,2018-08-30,23:00:00,0,0,18.5,18.3,18.6,,99,290,2,835.3,1330.0,0.0,12.4,L
25,EAST_KHASI_HILLS,SHILLONG,2018-08-31,00:00:00,0,0,18.4,18.2,18.5,,99,33,1,835.6,1331.7,0.0,12.4,L
26,EAST_KHASI_HILLS,SHILLONG,2018-08-31,01:00:00,0,0,18.9,18.3,18.9,,99,260,1,836.3,1326.5,0.0,12.5,L
27,EAST_KHASI_HILLS,SHILLONG,2018-08-31,02:00:00,0,0,20.1,18.7,20.3,,99,22,1,836.5,1311.7,0.25,13.3,L
28,EAST_KHASI_HILLS,SHILLONG,2018-08-31,03:00:00,0,0,20.3,20.1,21.2,18.2,99,337,3,836.8,1309.7,1.24,14.0,L
29,EAST_KHASI_HILLS,SHILLONG,2018-08-31,04:00:00,0,0,20.6,20.2,20.6,,99,325,2,836.7,1305.8,1.59,13.7,L
