S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),WIND DIR (Deg),WIND SPEED (Kt),SLP (hPa),MSLP (hPa/gpm),SUNSHINE (HH.MM),BATTERY (Volts),GPS
1,LUNGLEI,LUNGLEI,2018-08-30,00:00:00,0,0,21.1,20.8,21.1,,,199,1,906.2,728.2,0.0,12.7,L
2,LUNGLEI,LUNGLEI,2018-08-30,01:00:00,0,0,21.4,21.0,21.5,,,180,1,907.3,728.0,0.0,13.0,L
3,LUNGLEI,LUNGLEI,2018-08-30,02:00:00,0,0,21.6,21.3,21.7,,,130,1,907.8,727.5,0.0,13.4,L
4,LUNGLEI,LUNGLEI,2018-08-30,03:00:00,0,0,22.6,21.5,22.7,20.8,,218,1,908.3,721.7,0.11,13.8,L
5,LUNGLEI,LUNGLEI,2018-08-30,04:00:00,1,1,23.2,22.3,23.6,,,219,0,908.2,717.5,1.0,14.3,L
6,LUNGLEI,LUNGLEI,2018-08-30,05:00:00,0,1,25.4,23.3,25.6,,90.0,240,1,907.8,702.0,2.0,14.3,L
7,LUNGLEI,LUNGLEI,2018-08-30,06:00:00,0,1,25.6,24.7,25.8,,88.0,234,3,906.4,697.9,3.0,14.5,U
8,LUNGLEI,LUNGLEI,2018-08-30,07:00:00,0,1,28.1,25.8,28.4,,78.0,196,1,905.6,679.0,4.0,14.3,U
9,LUNGLEI,LUNGLEI,2018-08-30,08:00:00,0,1,27.5,26.9,28.3,,77.0,229,1,905.4,682.7,5.0,14.2,U
10,LUNGLEI,LUNGLEI,2018-08-30,09:00:00,0,1,27.1,26.9,29.0,,82.0,213,1,904.2,683.0,5.53,13.8,U
11,LUNGLEI,LUNGLEI,2018-08-30,10:00:00,0,1,26.6,25.7,27.1,,86.0,237,1,903.9,685.8,6.21,13.9,U
12,LUNGLEI,LUNGLEI,2018-08-30,11:00:00,0,1,24.7,24.6,26.6,,92.0,234,3,904.0,699.4,6.32,13.7,U
13,LUNGLEI,LUNGLEI,2018-08-30,12:00:00,0,1,23.6,23.5,24.8,29.0,98.0,225,2,904.7,708.4,6.32,13.3,L
14,LUNGLEI,LUNGLEI,2018-08-30,13:00:00,0,1,23.0,23.0,23.7,,,245,3,905.8,714.5,6.32,13.0,L
15,LUNGLEI,LUNGLEI,2018-08-30,14:00:00,0,1,22.5,22.5,23.1,,,237,1,906.3,718.8,6.32,12.9,L
16,LUNGLEI,LUNGLEI,2018-08-30,15:00:00,0,1,22.1,22.1,22.6,,,218,1,907.4,723.5,6.32,13.0,L
17,LUNGLEI,LUNGLEI,2018-08-30,16:00:00,0,1,22.0,22.0,22.3,,,238,2,906.5,722.6,6.32,12.9,L
18,LUNGLEI,LUNGLEI,2018-08-30,17:00:00,0,1,21.9,21.8,22.1,,,233,2,907.2,724.5,6.32,12.9,L
19,LUNGLEI,LUNGLEI,2018-08-30,19:00:00,0,1,21.6,21.5,21.7,,,193,0,907.2,726.5,6.32,12.9,L
20,LUNGLEI,LUNGLEI,2018-08-30,20:00:00,0,1,21.6,21.4,21.6,,,77,0,906.9,726.0,6.32,12.8,L
21,LUNGLEI,LUNGLEI,2018-08-30,21:00:00,0,1,21.4,21.3,21.6,,,200,0,905.6,725.2,0.0,12.8,L
22,LUNGLEI,LUNGLEI,2018-08-30,22:00:00,0,1,21.2,21.1,21.4,,,186,0,905.9,727.1,0.0,12.8,L
23,LUNGLEI,LUNGLEI,2018-08-30,23:00:00,0,1,21.2,20.9,21.4,,,90,1,906.3,727.7,0.0,12.8,L
24,LUNGLEI,LUNGLEI,2018-08-31,00:00:00,0,1,21.4,21.2,21.4,,,112,1,906.9,727.4,0.0,12.8,L
25,LUNGLEI,LUNGLEI,2018-08-31,01:00:00,0,1,21.5,21.3,21.7,,,101,2,906.3,725.7,0.0,13.3,L
26,LUNGLEI,LUNGLEI,2018-08-31,02:00:00,0,1,22.9,21.6,22.9,,,104,1,907.7,718.6,0.23,14.5,L
27,LUNGLEI,LUNGLEI,2018-08-31,03:00:00,0,1,24.4,22.5,24.6,20.9,98.0,113,1,907.1,707.4,1.23,14.4,L
28,LUNGLEI,LUNGLEI,2018-08-31,04:00:00,0,0,25.4,24.2,26.6,,88.0,114,2,907.0,700.4,2.23,14.3,L
29,LUNGLEI,LUNGLEI,2018-08-31,05:00:00,0,0,26.5,24.8,26.5,,86.0,57,1,906.9,692.8,3.23,14.4,L
30,LUNGLEI,LUNGLEI,2018-08-31,06:00:00,0,0,27.9,26.1,28.3,,82.0,260,1,906.1,681.5,4.23,14.4,U
31,LUNGLEI,LUNGLEI,2018-08-31,07:00:00,0,0,29.1,28.1,29.7,,77.0,222,1,905.0,670.8,5.23,14.0,U
32,LUNGLEI,LUNGLEI,2018-08-31,08:00:00,1,1,28.0,27.8,30.0,,86.0,144,1,904.0,676.2,6.23,13.9,U
33,LUNGLEI,LUNGLEI,2018-08-31,09:00:00,0,1,24.5,24.5,27.8,,,227,2,904.5,701.7,6.45,13.7,U
34,LUNGLEI,LUNGLEI,2018-08-31,10:00:00,0,1,26.4,24.0,26.5,,98.0,243,1,903.6,686.6,7.23,13.9,L
35,LUNGLEI,LUNGLEI,2018-08-31,11:00:00,0,1,25.0,24.9,26.6,,,248,1,903.8,696.9,7.52,13.8,L
36,LUNGLEI,LUNGLEI,2018-08-31,12:00:00,0,1,23.9,23.7,25.0,30.0,,239,2,904.3,705.5,7.52,13.4,L
37,LUNGLEI,LUNGLEI,2018-08-31,13:00:00,0,1,23.2,23.1,23.8,,,124,0,905.6,712.8,7.52,13.0,L
38,LUNGLEI,LUNGLEI,2018-08-31,14:00:00,0,1,22.8,22.7,23.2,,,239,3,907.1,718.2,7.52,12.8,L
39,LUNGLEI,LUNGLEI,2018-08-31,15:00:00,0,1,22.8,22.7,23.0,,,239,1,907.1,718.2,7.52,12.9,L
40,LUNGLEI,LUNGLEI,2018-08-31,16:00:00,0,1,22.3,22.3,22.8,,,240,1,907.6,722.5,7.52,12.9,L
41,LUNGLEI,LUNGLEI,2018-08-31,17:00:00,0,1,21.8,21.5,22.3,,,222,2,907.3,725.3,7.52,12.9,L
42,LUNGLEI,LUNGLEI,2018-08-31,19:00:00,0,1,21.9,21.7,21.9,,,359,0,906.7,723.6,7.52,12.9,L
43,LUNGLEI,LUNGLEI,2018-08-31,20:00:00,0,1,21.7,21.6,21.8,,,242,1,906.4,724.5,7.52,12.8,L
44,LUNGLEI,LUNGLEI,2018-08-31,21:00:00,0,1,21.6,21.5,21.8,,,238,2,906.8,725.8,0.0,12.8,L
45,LUNGLEI,LUNGLEI,2018-08-31,22:00:00,0,1,21.5,21.4,21.6,,,227,1,906.6,726.2,0.0,12.8,L
46,LUNGLEI,LUNGLEI,2018-08-31,23:00:00,0,1,21.5,21.5,21.7,,,172,1,907.2,727.2,0.0,12.8,L
47,LUNGLEI,LUNGLEI,2018-09-01,00:00:00,0,1,21.6,21.4,21.6,,,171,0,907.5,727.0,0.0,12.9,L
48,LUNGLEI,LUNGLEI,2018-09-01,01:00:00,0,1,21.8,21.5,21.8,,,242,1,907.9,726.3,0.0,12.9,L
49,LUNGLEI,LUNGLEI,2018-09-01,02:00:00,0,1,22.1,21.6,22.3,,,235,0,908.6,725.5,0.0,13.3,L
50,LUNGLEI,LUNGLEI,2018-09-01,03:00:00,0,1,22.9,22.0,23.0,21.4,,246,1,908.4,719.9,0.35,14.1,L
51,LUNGLEI,LUNGLEI,2018-09-01,04:00:00,0,0,23.9,22.9,24.1,,,239,2,909.2,714.7,1.27,14.3,L
52,LUNGLEI,LUNGLEI,2018-09-01,05:00:00,0,0,24.8,23.7,24.9,,98.0,225,1,909.4,709.1,2.27,14.2,L
53,LUNGLEI,LUNGLEI,2018-09-01,06:00:00,0,0,22.6,22.3,24.9,,,124,1,909.4,723.6,2.39,14.0,L
54,LUNGLEI,LUNGLEI,2018-09-01,07:00:00,0,0,24.4,22.1,24.7,,,222,2,908.6,710.2,3.28,14.4,L
55,LUNGLEI,LUNGLEI,2018-09-01,08:00:00,0,0,22.6,22.3,25.2,,,220,2,907.9,721.0,4.11,14.0,L
56,LUNGLEI,LUNGLEI,2018-09-01,09:00:00,0,0,22.8,22.1,22.8,,,217,2,907.3,718.6,4.35,14.1,L
57,LUNGLEI,LUNGLEI,2018-09-01,10:00:00,1,1,22.2,21.9,23.2,,,214,1,907.5,723.0,4.42,13.9,L
58,LUNGLEI,LUNGLEI,2018-09-01,11:00:00,0,1,21.5,21.5,22.2,,,216,2,907.6,727.9,4.42,13.8,L
59,LUNGLEI,LUNGLEI,2018-09-01,12:00:00,0,1,21.1,21.0,21.7,25.2,,209,1,908.3,731.7,4.42,13.4,L
60,LUNGLEI,LUNGLEI,2018-09-01,14:00:00,0,1,20.7,20.6,20.8,,,260,1,908.9,735.3,4.42,13.0,L
61,LUNGLEI,LUNGLEI,2018-09-01,15:00:00,0,1,20.8,20.7,20.9,,,306,0,909.3,735.3,4.42,12.8,L
62,LUNGLEI,LUNGLEI,2018-09-01,16:00:00,0,1,21.0,20.7,21.2,,98.0,149,2,909.5,734.3,4.42,12.9,L
63,LUNGLEI,LUNGLEI,2018-09-01,17:00:00,0,1,20.8,20.8,21.2,,,111,4,909.9,736.3,4.42,12.9,L
64,LUNGLEI,LUNGLEI,2018-09-01,18:00:00,0,1,20.5,20.4,20.9,,,127,3,909.2,737.1,4.42,12.8,L
65,LUNGLEI,LUNGLEI,2018-09-01,19:00:00,0,1,20.4,20.3,20.7,,,109,7,908.8,737.2,4.42,12.8,L
66,LUNGLEI,LUNGLEI,2018-09-01,20:00:00,0,1,20.3,20.3,20.5,,,107,4,908.4,737.2,4.42,12.9,L
67,LUNGLEI,LUNGLEI,2018-09-01,21:00:00,0,1,20.3,20.0,20.4,,,109,4,907.5,735.8,0.0,12.8,L
68,LUNGLEI,LUNGLEI,2018-09-01,22:00:00,0,1,20.0,20.0,20.2,,,107,6,907.4,737.6,0.0,12.8,L
69,LUNGLEI,LUNGLEI,2018-09-01,23:00:00,0,1,20.0,19.9,20.1,,,110,4,908.2,738.9,0.0,12.8,L
70,LUNGLEI,LUNGLEI,2018-09-02,00:00:00,0,1,20.1,19.9,20.2,,,99,4,908.8,739.2,0.0,12.8,L
71,LUNGLEI,LUNGLEI,2018-09-02,01:00:00,0,1,20.1,19.9,20.2,,,105,5,908.8,739.2,0.0,13.0,L
72,LUNGLEI,LUNGLEI,2018-09-02,02:00:00,0,1,20.4,20.0,20.4,,,101,6,909.5,738.3,0.0,13.6,L
73,LUNGLEI,LUNGLEI,2018-09-02,03:00:00,0,1,20.9,20.4,21.0,19.9,,108,6,910.4,736.5,0.24,14.1,L
74,LUNGLEI,LUNGLEI,2018-09-02,04:00:00,0,0,22.8,20.7,22.9,,,106,1,910.5,724.3,1.07,14.5,L
75,LUNGLEI,LUNGLEI,2018-09-02,05:00:00,0,0,24.0,22.7,24.2,,91.0,133,2,910.1,715.7,2.07,14.5,L
76,LUNGLEI,LUNGLEI,2018-09-02,06:00:00,0,0,26.1,24.1,26.6,,85.0,159,1,909.2,700.2,3.07,14.3,L
77,LUNGLEI,LUNGLEI,2018-09-02,07:00:00,0,0,26.4,25.0,27.2,,85.0,200,0,908.1,695.9,4.07,14.3,L
78,LUNGLEI,LUNGLEI,2018-09-02,08:00:00,0,0,25.9,24.4,26.5,,87.0,276,0,907.1,697.2,4.44,14.2,L
79,LUNGLEI,LUNGLEI,2018-09-02,09:00:00,0,0,25.5,25.2,25.9,,90.0,224,1,906.6,698.9,5.44,14.0,L
80,LUNGLEI,LUNGLEI,2018-09-02,10:00:00,0,0,24.5,24.2,25.5,,94.0,234,1,906.4,705.4,6.14,13.9,L
81,LUNGLEI,LUNGLEI,2018-09-02,11:00:00,0,0,23.4,23.2,24.5,,,296,0,906.1,712.3,6.14,13.6,L
82,LUNGLEI,LUNGLEI,2018-09-02,12:00:00,0,0,22.5,22.4,23.3,27.2,,272,1,906.5,719.2,6.14,13.2,L
83,LUNGLEI,LUNGLEI,2018-09-02,13:00:00,0,0,22.0,21.9,22.5,,,243,2,907.3,724.0,6.14,13.0,L
84,LUNGLEI,LUNGLEI,2018-09-02,14:00:00,0,0,21.6,21.5,22.1,,,215,1,907.9,727.7,6.14,12.8,L
85,LUNGLEI,LUNGLEI,2018-09-02,15:00:00,0,0,21.9,21.5,22.1,,,214,0,908.5,726.7,6.14,12.9,L
86,LUNGLEI,LUNGLEI,2018-09-02,16:00:00,0,0,21.9,21.8,22.1,,,209,0,909.0,727.6,6.14,12.8,L
87,LUNGLEI,LUNGLEI,2018-09-02,17:00:00,1,1,21.5,21.5,22.0,,,210,1,909.6,731.2,6.14,12.9,L
88,LUNGLEI,LUNGLEI,2018-09-02,18:00:00,0,1,21.5,21.4,21.7,,,124,0,908.2,728.9,6.14,12.9,L
89,LUNGLEI,LUNGLEI,2018-09-02,19:00:00,0,1,21.6,21.3,21.7,,,108,3,907.7,727.3,6.14,12.9,L
90,LUNGLEI,LUNGLEI,2018-09-02,20:00:00,0,1,21.1,21.1,21.7,,,98,3,907.4,730.2,6.14,12.8,L
91,LUNGLEI,LUNGLEI,2018-09-02,21:00:00,0,1,21.0,20.9,21.2,,,106,3,906.8,729.9,0.0,12.8,L
92,LUNGLEI,LUNGLEI,2018-09-02,22:00:00,0,1,20.7,20.6,21.0,,,113,6,906.7,731.8,0.0,12.8,L
93,LUNGLEI,LUNGLEI,2018-09-02,23:00:00,0,1,20.5,20.4,20.8,,,101,3,906.8,733.3,0.0,12.8,L
94,LUNGLEI,LUNGLEI,2018-09-03,00:00:00,0,1,20.6,20.4,20.6,,,92,3,907.7,734.1,0.0,12.8,L
95,LUNGLEI,LUNGLEI,2018-09-03,01:00:00,0,1,20.6,20.5,20.6,,,83,3,908.4,735.2,0.0,13.1,L
96,LUNGLEI,LUNGLEI,2018-09-03,02:00:00,0,1,20.8,20.5,20.8,,,86,3,908.7,734.3,0.02,13.7,L
