S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),WIND DIR (Deg),WIND SPEED (Kt),SLP (hPa),MSLP (hPa/gpm),SUNSHINE (HH.MM),BATTERY (Volts),GPS
1,KIPHIRE,KIPHIRE,2018-08-30,00:00:00,1,5,21.2,21.0,21.3,,,51,1,881.0,957.8,0.0,12.4,L
2,KIPHIRE,KIPHIRE,2018-08-30,01:00:00,1,5,21.2,21.0,21.4,,,311,1,881.8,959.2,0.0,12.4,L
3,KIPHIRE,KIPHIRE,2018-08-30,02:00:00,0,5,21.5,21.2,21.7,,,300,0,882.3,957.4,0.0,12.7,L
4,KIPHIRE,KIPHIRE,2018-08-30,03:00:00,0,5,21.9,21.5,22.0,21.0,,281,1,882.7,954.7,0.17,13.2,L
5,KIPHIRE,KIPHIRE,2018-08-30,04:00:00,1,1,23.3,21.8,23.3,,,152,1,882.3,941.7,1.12,14.0,L
6,KIPHIRE,KIPHIRE,2018-08-30,05:00:00,0,1,25.8,23.0,26.0,,85.0,208,1,881.6,918.4,2.12,14.1,L
7,KIPHIRE,KIPHIRE,2018-08-30,06:00:00,0,1,26.5,24.9,26.7,,75.0,57,1,880.8,910.5,3.1,14.1,L
8,KIPHIRE,KIPHIRE,2018-08-30,07:00:00,0,1,27.4,26.3,27.4,,73.0,81,2,880.0,900.7,4.1,14.2,L
9,KIPHIRE,KIPHIRE,2018-08-30,08:00:00,0,1,26.8,26.6,29.4,,70.0,353,4,879.4,904.8,5.1,14.2,L
10,KIPHIRE,KIPHIRE,2018-08-30,09:00:00,0,1,26.6,25.7,26.8,,79.0,278,1,878.4,904.4,6.1,14.1,L
11,KIPHIRE,KIPHIRE,2018-08-30,10:00:00,1,1,26.7,26.3,26.9,,77.0,242,1,878.5,903.7,7.1,13.9,L
12,KIPHIRE,KIPHIRE,2018-08-30,11:00:00,0,1,25.9,25.3,26.7,,82.0,303,1,878.4,910.8,7.19,13.1,L
13,KIPHIRE,KIPHIRE,2018-08-30,12:00:00,0,1,24.9,24.9,26.0,29.4,85.0,67,1,878.5,920.0,7.19,12.8,L
14,KIPHIRE,KIPHIRE,2018-08-30,13:00:00,0,1,24.2,24.1,25.0,,86.0,297,1,879.5,928.3,7.19,12.5,L
15,KIPHIRE,KIPHIRE,2018-08-30,14:00:00,0,1,23.6,23.4,24.3,,88.0,2,1,880.5,935.6,7.19,12.5,L
16,KIPHIRE,KIPHIRE,2018-08-30,15:00:00,0,1,23.5,23.4,23.8,,91.0,261,0,881.2,937.9,7.19,12.5,L
17,KIPHIRE,KIPHIRE,2018-08-30,16:00:00,0,1,22.8,22.7,23.5,,95.0,200,0,881.6,944.8,7.19,12.5,L
18,KIPHIRE,KIPHIRE,2018-08-30,17:00:00,0,1,22.6,22.5,22.9,,99.0,267,0,881.9,947.1,7.19,12.4,L
19,KIPHIRE,KIPHIRE,2018-08-30,18:00:00,0,1,22.4,22.3,22.6,,,287,1,881.8,948.7,7.19,12.4,L
20,KIPHIRE,KIPHIRE,2018-08-30,19:00:00,0,1,22.2,22.2,22.6,,,65,1,881.5,949.9,7.19,12.4,L
21,KIPHIRE,KIPHIRE,2018-08-30,20:00:00,0,1,22.2,22.0,22.3,,,327,0,881.1,949.2,7.19,12.4,L
22,KIPHIRE,KIPHIRE,2018-08-30,21:00:00,0,1,21.9,21.8,22.3,,,30,1,881.1,951.8,0.0,12.4,L
23,KIPHIRE,KIPHIRE,2018-08-30,22:00:00,0,1,21.9,21.6,21.9,,,7,0,881.1,951.8,0.0,12.4,L
24,KIPHIRE,KIPHIRE,2018-08-30,23:00:00,1,2,21.5,21.4,21.9,,,70,2,881.4,955.9,0.0,12.4,L
25,KIPHIRE,KIPHIRE,2018-08-31,00:00:00,0,2,21.7,21.3,21.7,,,73,0,881.8,954.8,0.0,12.4,L
26,KIPHIRE,KIPHIRE,2018-08-31,01:00:00,0,2,21.8,21.6,21.9,,,311,1,882.2,954.6,0.0,12.4,L
27,KIPHIRE,KIPHIRE,2018-08-31,02:00:00,1,2,22.2,21.7,22.3,,,272,1,882.7,952.1,0.13,13.1,L
28,KIPHIRE,KIPHIRE,2018-08-31,03:00:00,0,2,23.4,22.3,23.5,21.3,,197,1,882.7,941.6,0.55,13.4,L
29,KIPHIRE,KIPHIRE,2018-08-31,04:00:00,0,0,24.4,23.4,24.5,,91.0,295,0,882.4,932.3,1.55,13.8,L
30,KIPHIRE,KIPHIRE,2018-08-31,05:00:00,1,1,26.2,24.4,26.3,,81.0,263,1,881.7,915.1,2.55,14.2,L
31,KIPHIRE,KIPHIRE,2018-08-31,06:00:00,0,1,27.6,25.8,27.7,,75.0,297,1,881.0,901.2,3.49,14.1,L
32,KIPHIRE,KIPHIRE,2018-08-31,07:00:00,0,1,29.1,27.8,29.6,,68.0,359,1,880.1,885.8,4.49,14.2,L
33,KIPHIRE,KIPHIRE,2018-08-31,08:00:00,0,1,31.1,28.8,31.4,,56.0,257,1,879.3,865.9,5.49,14.2,L
34,KIPHIRE,KIPHIRE,2018-08-31,09:00:00,0,1,28.7,28.5,31.3,,68.0,73,3,878.9,886.6,6.49,14.2,L
35,KIPHIRE,KIPHIRE,2018-08-31,10:00:00,0,1,27.6,27.6,28.6,,75.0,350,2,878.9,896.5,7.36,13.5,L
36,KIPHIRE,KIPHIRE,2018-08-31,11:00:00,0,1,26.6,26.4,27.6,,78.0,33,3,878.7,905.1,7.53,13.5,L
37,KIPHIRE,KIPHIRE,2018-08-31,12:00:00,1,1,24.4,24.4,26.5,31.4,87.0,233,2,879.7,926.9,7.53,12.8,L
38,KIPHIRE,KIPHIRE,2018-08-31,13:00:00,0,1,22.9,22.8,24.3,,99.0,108,2,880.1,941.1,7.53,12.6,L
39,KIPHIRE,KIPHIRE,2018-08-31,14:00:00,0,1,22.6,22.3,22.8,,,86,2,881.1,945.6,7.53,12.5,L
40,KIPHIRE,KIPHIRE,2018-08-31,15:00:00,1,2,22.2,22.0,22.6,,,357,0,882.1,951.0,7.53,12.5,L
41,KIPHIRE,KIPHIRE,2018-08-31,16:00:00,0,2,22.2,22.0,22.3,,,53,0,882.5,951.7,7.53,12.4,L
42,KIPHIRE,KIPHIRE,2018-08-31,17:00:00,1,2,21.6,21.6,22.3,,,94,0,882.5,956.9,7.53,12.4,L
43,KIPHIRE,KIPHIRE,2018-08-31,18:00:00,0,2,21.3,21.1,21.8,,,48,3,882.1,958.9,7.53,12.4,L
44,KIPHIRE,KIPHIRE,2018-08-31,19:00:00,1,3,21.5,21.2,21.7,,,262,1,881.9,956.7,7.53,12.4,L
45,KIPHIRE,KIPHIRE,2018-08-31,20:00:00,0,3,21.1,20.9,21.6,,,84,0,881.3,959.2,7.53,12.4,L
46,KIPHIRE,KIPHIRE,2018-08-31,21:00:00,1,3,21.3,21.2,21.4,,,337,2,881.0,956.9,0.0,12.4,L
47,KIPHIRE,KIPHIRE,2018-08-31,22:00:00,0,3,21.0,20.9,21.3,,,307,1,880.6,958.9,0.0,12.4,L
48,KIPHIRE,KIPHIRE,2018-08-31,23:00:00,1,4,21.1,20.8,21.1,,,287,0,881.4,959.4,0.0,12.4,L
49,KIPHIRE,KIPHIRE,2018-09-01,00:00:00,0,4,21.0,20.9,21.2,,,260,1,882.0,961.3,0.0,12.4,L
50,KIPHIRE,KIPHIRE,2018-09-01,01:00:00,1,4,20.8,20.8,21.0,,,178,1,882.8,964.4,0.0,12.4,L
51,KIPHIRE,KIPHIRE,2018-09-01,02:00:00,0,4,21.0,20.9,21.0,,,74,2,883.4,963.7,0.0,12.4,L
52,KIPHIRE,KIPHIRE,2018-09-01,03:00:00,0,4,21.3,20.9,21.3,20.8,,103,1,883.7,961.6,0.0,12.6,L
