S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),WIND DIR (Deg),WIND SPEED (Kt),SLP (hPa),MSLP (hPa/gpm),SUNSHINE (HH.MM),BATTERY (Volts),GPS
1,DHANKUTA,DHANKUTA,2018-08-30,00:00:00,0,16,25.4,12.6,25.4,,99.0,58,2,886.1,855.9,0.0,12.8,L
2,DHANKUTA,DHANKUTA,2018-08-30,01:00:00,0,16,25.5,12.6,25.5,,99.0,70,1,886.8,856.5,0.0,12.8,L
3,DHANKUTA,DHANKUTA,2018-08-30,02:00:00,0,16,25.7,12.6,25.7,,99.0,29,1,887.2,855.6,0.0,13.1,L
4,DHANKUTA,DHANKUTA,2018-08-30,03:00:00,0,16,25.6,12.6,25.8,12.6,99.0,94,4,887.4,856.9,0.09,13.6,L
5,DHANKUTA,DHANKUTA,2018-08-30,04:00:00,0,0,26.4,12.6,26.6,,99.0,143,2,887.0,849.3,1.08,14.2,L
6,DHANKUTA,DHANKUTA,2018-08-30,05:00:00,0,0,27.4,12.6,27.4,,97.0,174,2,887.0,841.0,2.08,14.4,L
7,DHANKUTA,DHANKUTA,2018-08-30,06:00:00,0,0,28.8,12.6,28.8,,88.0,215,2,886.7,828.6,3.08,14.5,L
8,DHANKUTA,DHANKUTA,2018-08-30,07:00:00,0,0,29.6,12.6,29.6,,82.0,205,3,886.1,820.4,4.08,14.7,L
9,DHANKUTA,DHANKUTA,2018-08-30,08:00:00,0,0,30.1,12.6,30.1,,78.0,217,2,885.3,814.3,5.08,14.9,L
10,DHANKUTA,DHANKUTA,2018-08-30,09:00:00,0,0,29.2,12.6,29.4,,78.0,222,3,884.6,820.3,6.08,14.7,L
11,DHANKUTA,DHANKUTA,2018-08-30,10:00:00,0,0,28.5,12.6,28.5,,85.0,236,3,884.0,824.9,6.46,14.5,L
12,DHANKUTA,DHANKUTA,2018-08-30,11:00:00,0,0,27.9,12.6,27.9,,92.0,222,2,884.2,830.5,6.46,14.2,L
13,DHANKUTA,DHANKUTA,2018-08-30,12:00:00,0,0,26.9,12.6,26.9,30.1,95.0,238,2,884.6,839.9,6.46,13.4,L
