S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),WIND DIR (Deg),WIND SPEED (Kt),SLP (hPa),MSLP (hPa/gpm),SUNSHINE (HH.MM),BATTERY (Volts),GPS
1,BALANGIR,BOLANGIR,2018-09-05,22:00:00,0,0.0,24.1,24.0,33.1,,99.0,220,2,952.0,972.9,0.0,12.4,L
2,CUTTACK,CUTTACK,2018-08-30,00:00:00,0,0.0,27.9,27.8,27.9,,100.0,359,0,999.0,1002.1,0.0,12.5,L
3,CUTTACK,CUTTACK,2018-08-30,00:20:00,0,0.0,27.9,27.8,27.9,,100.0,359,0,999.0,1002.1,0.0,12.5,L
4,CUTTACK,CUTTACK,2018-08-30,00:40:00,0,0.0,28.0,27.8,28.0,,100.0,359,0,998.9,1001.9,0.0,12.5,L
5,CUTTACK,CUTTACK,2018-08-30,01:00:00,0,0.0,28.4,27.8,28.4,,100.0,359,0,999.0,1002.0,0.0,12.6,L
6,CUTTACK,CUTTACK,2018-08-30,01:20:00,0,0.0,29.1,28.4,29.1,,100.0,359,0,999.3,1002.3,0.13,12.6,L
7,CUTTACK,CUTTACK,2018-08-30,01:40:00,0,0.0,29.3,28.4,29.3,,100.0,359,0,999.4,1002.4,0.31,12.6,L
8,CUTTACK,CUTTACK,2018-08-30,02:00:00,0,0.0,29.4,28.4,29.4,,99.0,359,0,1000.2,1003.2,0.44,13.0,L
9,CUTTACK,CUTTACK,2018-08-30,02:20:00,0,0.0,29.6,29.4,29.6,,98.0,359,0,1000.6,1003.6,1.02,13.0,L
10,CUTTACK,CUTTACK,2018-08-30,02:40:00,0,0.0,29.9,29.4,29.9,,98.0,359,0,1000.5,1003.5,1.2,13.0,L
11,CUTTACK,CUTTACK,2018-08-30,03:00:00,0,0.0,30.6,29.4,30.6,27.7,98.0,359,0,1000.4,1003.4,1.35,13.5,L
12,CUTTACK,CUTTACK,2018-08-30,03:20:00,0,0.0,30.8,30.7,30.8,,95.0,359,0,1000.5,1003.5,1.54,13.5,L
13,CUTTACK,CUTTACK,2018-08-30,03:40:00,0,0.0,31.6,30.7,31.6,,93.0,359,0,1000.5,1003.5,2.12,13.5,L
14,CUTTACK,CUTTACK,2018-08-30,04:00:00,0,0.0,31.6,30.7,31.6,,93.0,359,0,1000.4,1003.4,2.27,14.2,L
15,CUTTACK,CUTTACK,2018-08-30,04:20:00,0,0.0,31.9,31.6,31.9,,90.0,359,0,1000.3,1003.3,2.46,14.2,L
16,CUTTACK,CUTTACK,2018-08-30,04:40:00,0,0.0,31.9,31.6,31.9,,89.0,359,0,1000.0,1003.0,3.04,14.2,L
17,CUTTACK,CUTTACK,2018-08-30,05:00:00,0,0.0,32.1,31.6,32.1,,89.0,359,0,999.7,1002.7,3.19,14.6,L
18,CUTTACK,CUTTACK,2018-08-30,05:20:00,0,0.0,32.2,32.0,32.2,,90.0,359,0,999.8,1002.8,3.38,14.6,L
19,CUTTACK,CUTTACK,2018-08-30,05:40:00,0,0.0,32.3,32.0,32.3,,89.0,359,0,999.8,1002.8,3.56,14.6,L
20,CUTTACK,CUTTACK,2018-08-30,06:00:00,0,0.0,32.6,32.0,32.6,,89.0,359,0,999.6,1002.6,4.11,14.7,L
21,CUTTACK,CUTTACK,2018-08-30,06:20:00,0,0.0,32.6,32.4,32.6,,89.0,359,0,999.1,1002.1,4.3,14.7,L
22,CUTTACK,CUTTACK,2018-08-30,06:40:00,0,0.0,32.6,32.4,32.6,,90.0,359,0,998.8,1001.8,4.48,14.7,L
23,CUTTACK,CUTTACK,2018-08-30,07:00:00,0,0.0,32.7,32.4,32.7,,89.0,359,0,998.4,1001.4,5.03,14.8,L
24,CUTTACK,CUTTACK,2018-08-30,07:20:00,0,0.0,32.7,32.6,32.7,,90.0,359,0,998.1,1001.1,5.22,14.8,L
25,CUTTACK,CUTTACK,2018-08-30,07:40:00,0,0.0,32.7,32.1,32.7,,92.0,359,0,997.9,1000.9,5.4,14.8,L
26,CUTTACK,CUTTACK,2018-08-30,08:00:00,0,0.0,32.7,31.9,32.7,,93.0,359,0,997.8,1000.8,5.55,14.7,L
27,CUTTACK,CUTTACK,2018-08-30,08:20:00,0,0.0,32.5,31.9,32.5,,92.0,359,0,997.4,1000.4,6.14,14.7,L
28,CUTTACK,CUTTACK,2018-08-30,08:40:00,0,0.0,32.5,31.9,32.5,,92.0,359,0,997.2,1000.2,6.32,14.7,L
29,CUTTACK,CUTTACK,2018-08-30,09:00:00,0,0.0,32.5,31.9,32.5,,92.0,359,0,997.0,1000.0,6.47,14.7,L
30,CUTTACK,CUTTACK,2018-08-30,09:20:00,0,0.0,32.5,32.2,32.5,,95.0,359,0,996.9,999.9,7.06,14.7,L
31,CUTTACK,CUTTACK,2018-08-30,09:40:00,0,0.0,32.6,32.1,32.6,,95.0,359,0,996.9,999.9,7.24,14.7,L
32,CUTTACK,CUTTACK,2018-08-30,10:00:00,0,0.0,32.6,31.8,32.6,,97.0,359,0,996.5,999.5,7.33,14.7,L
33,CUTTACK,CUTTACK,2018-08-30,10:20:00,0,0.0,32.8,32.0,32.8,,93.0,359,0,996.6,999.6,7.52,14.7,L
34,CUTTACK,CUTTACK,2018-08-30,10:40:00,0,0.0,33.0,32.0,33.0,,88.0,359,0,996.6,999.6,8.1,14.7,L
35,CUTTACK,CUTTACK,2018-08-30,11:00:00,0,0.0,33.0,32.0,33.0,,91.0,359,0,996.6,999.6,8.25,14.8,L
36,CUTTACK,CUTTACK,2018-08-30,11:20:00,0,0.0,32.5,31.6,32.5,,93.0,359,0,996.7,999.7,8.32,14.8,L
37,CUTTACK,CUTTACK,2018-08-30,11:40:00,0,0.0,32.5,31.1,32.5,,93.0,359,0,996.5,999.5,8.32,14.8,L
38,CUTTACK,CUTTACK,2018-08-30,12:00:00,0,0.0,32.5,30.7,32.5,33.0,94.0,359,0,996.6,999.6,8.32,13.0,L
39,CUTTACK,CUTTACK,2018-08-30,12:20:00,0,0.0,30.7,30.3,30.7,,96.0,359,0,996.7,999.7,8.32,13.0,L
40,CUTTACK,CUTTACK,2018-08-30,12:40:00,0,0.0,30.7,30.0,30.7,,96.0,359,0,996.8,999.8,8.32,13.0,L
41,CUTTACK,CUTTACK,2018-08-30,13:00:00,0,0.0,30.7,29.8,30.7,,97.0,359,0,997.0,1000.0,8.32,12.7,L
42,CUTTACK,CUTTACK,2018-08-30,13:20:00,0,0.0,29.8,29.6,29.8,,98.0,359,0,997.5,1000.5,8.32,12.7,L
43,CUTTACK,CUTTACK,2018-08-30,13:40:00,0,0.0,29.8,29.5,29.8,,99.0,359,0,997.8,1000.8,8.32,12.7,L
44,CUTTACK,CUTTACK,2018-08-30,14:00:00,0,0.0,29.8,29.5,29.8,,99.0,359,0,998.2,1001.2,8.32,12.6,L
45,CUTTACK,CUTTACK,2018-08-30,14:20:00,0,0.0,29.6,29.6,29.6,,99.0,359,0,998.7,1001.7,8.32,12.6,L
46,CUTTACK,CUTTACK,2018-08-30,14:40:00,0,0.0,29.6,29.5,29.6,,100.0,359,0,999.1,1002.1,8.32,12.6,L
47,CUTTACK,CUTTACK,2018-08-30,15:00:00,0,0.0,29.6,29.5,29.6,,100.0,359,0,999.4,1002.4,8.32,12.6,L
48,CUTTACK,CUTTACK,2018-08-30,15:20:00,0,0.0,29.6,29.5,29.6,,100.0,359,0,999.5,1002.5,8.32,12.6,L
49,CUTTACK,CUTTACK,2018-08-30,15:40:00,0,0.0,29.6,29.5,29.6,,100.0,359,0,999.7,1002.7,8.32,12.6,L
50,CUTTACK,CUTTACK,2018-08-30,16:00:00,0,0.0,29.6,29.5,29.6,,100.0,359,0,999.8,1002.8,8.32,12.6,L
51,CUTTACK,CUTTACK,2018-08-30,16:20:00,0,0.0,29.7,29.6,29.7,,100.0,359,0,999.7,1002.7,8.32,12.6,L
52,CUTTACK,CUTTACK,2018-08-30,16:40:00,0,0.0,29.7,29.5,29.7,,100.0,359,0,999.6,1002.6,8.32,12.6,L
53,CUTTACK,CUTTACK,2018-08-30,17:00:00,0,0.0,29.7,29.5,29.7,,100.0,359,0,999.7,1002.7,8.32,12.6,L
54,CUTTACK,CUTTACK,2018-08-30,17:20:00,0,0.0,29.5,29.4,29.5,,100.0,359,0,999.8,1002.8,8.32,12.6,L
55,CUTTACK,CUTTACK,2018-08-30,17:40:00,0,0.0,29.5,29.4,29.5,,100.0,359,0,999.7,1002.7,8.32,12.6,L
56,CUTTACK,CUTTACK,2018-08-30,18:00:00,0,0.0,29.5,29.4,29.5,,100.0,359,0,999.5,1002.5,8.32,12.6,L
