S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),WIND DIR (Deg),WIND SPEED (Kt),SLP (hPa),MSLP (hPa/gpm),SUNSHINE (HH.MM),BATTERY (Volts),GPS
1,KARIAKAL,KARAIKAL,2018-08-30,00:00:00,0,0,27.6,27.5,27.7,,85.0,229,4,1007.1,1008.0,4.0,12.6,L
2,KARIAKAL,KARAIKAL,2018-08-30,01:00:00,0,0,27.6,27.4,27.7,,85.0,223,3,1007.4,1008.3,5.0,12.6,L
3,KARIAKAL,KARAIKAL,2018-08-30,02:00:00,0,0,28.5,27.5,28.5,,80.0,222,3,1008.1,1009.0,6.0,12.6,L
4,KARIAKAL,KARAIKAL,2018-08-30,03:00:00,0,0,29.6,28.5,29.5,27.4,74.0,226,5,1008.6,1009.5,7.0,13.1,L
5,KARIAKAL,KARAIKAL,2018-08-30,04:00:00,0,0,31.1,29.6,32.1,,66.0,259,5,1008.7,1009.6,8.0,13.5,L
6,KARIAKAL,KARAIKAL,2018-08-30,05:00:00,0,0,33.2,31.0,33.4,,56.0,239,3,1008.1,1009.0,9.0,13.6,L
7,KARIAKAL,KARAIKAL,2018-08-30,06:00:00,0,0,34.5,33.2,35.2,,52.0,248,5,1007.4,1008.3,10.0,13.5,L
8,KARIAKAL,KARAIKAL,2018-08-30,07:00:00,0,0,35.5,34.0,35.7,,45.0,265,1,1006.4,1007.3,11.0,13.6,L
9,KARIAKAL,KARAIKAL,2018-08-30,08:00:00,0,0,36.2,34.5,36.1,,42.0,266,2,1005.3,1006.2,12.0,14.0,L
10,KARIAKAL,KARAIKAL,2018-08-30,09:00:00,0,0,33.3,33.1,36.6,,67.0,96,3,1004.6,1005.5,13.0,13.2,L
