S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),WIND DIR (Deg),WIND SPEED (Kt),SLP (hPa),MSLP (hPa/gpm),SUNSHINE (HH.MM),BATTERY (Volts),GPS
1,ARIYALUR,ARIYALUR,2018-08-30,00:00:00,0,0.0,26.5,26.4,26.7,,100.0,238,0,997.7,1006.2,0.0,12.4,L
2,ARIYALUR,ARIYALUR,2018-08-30,00:10:00,0,0.0,26.3,26.3,26.5,,100.0,227,0,997.7,1006.2,0.0,12.4,L
3,ARIYALUR,ARIYALUR,2018-08-30,00:20:00,0,0.0,26.3,26.3,26.5,,100.0,249,0,997.7,1006.2,0.0,12.4,L
4,ARIYALUR,ARIYALUR,2018-08-30,00:30:00,0,0.0,26.2,26.2,26.5,,100.0,207,0,997.7,1006.2,0.0,12.4,L
5,ARIYALUR,ARIYALUR,2018-08-30,00:40:00,0,0.0,26.2,26.2,26.5,,100.0,249,0,997.8,1006.3,0.0,12.4,L
6,ARIYALUR,ARIYALUR,2018-08-30,00:50:00,0,0.0,26.2,26.2,26.5,,100.0,243,0,997.9,1006.4,0.0,12.4,L
7,ARIYALUR,ARIYALUR,2018-08-30,01:00:00,0,0.0,26.3,26.2,26.5,,100.0,232,0,998.0,1006.5,0.0,12.4,L
8,ARIYALUR,ARIYALUR,2018-08-30,01:10:00,0,0.0,26.3,26.3,26.3,,100.0,255,0,998.1,1006.6,0.0,12.4,L
9,ARIYALUR,ARIYALUR,2018-08-30,01:20:00,0,0.0,26.4,26.3,26.4,,100.0,268,0,998.3,1006.8,0.0,12.4,L
10,ARIYALUR,ARIYALUR,2018-08-30,01:30:00,0,0.0,26.4,26.3,26.4,,100.0,247,0,998.3,1006.8,0.05,12.4,L
11,ARIYALUR,ARIYALUR,2018-08-30,01:40:00,0,0.0,26.6,26.3,26.6,,100.0,231,0,998.4,1006.9,0.15,12.4,L
12,ARIYALUR,ARIYALUR,2018-08-30,01:50:00,0,0.0,26.9,26.3,26.9,,100.0,282,0,998.6,1007.1,0.25,12.4,L
13,ARIYALUR,ARIYALUR,2018-08-30,02:00:00,0,0.0,27.6,26.3,27.6,,100.0,246,0,998.6,1007.0,0.35,12.9,L
14,ARIYALUR,ARIYALUR,2018-08-30,02:10:00,0,0.0,28.3,27.6,28.3,,100.0,245,0,998.8,1007.2,0.45,12.9,L
15,ARIYALUR,ARIYALUR,2018-08-30,02:20:00,0,0.0,28.5,27.6,28.5,,96.0,274,0,998.9,1007.3,0.55,12.9,L
16,ARIYALUR,ARIYALUR,2018-08-30,02:30:00,0,0.0,28.8,27.6,28.8,,94.0,259,0,999.1,1007.5,1.05,12.9,L
17,ARIYALUR,ARIYALUR,2018-08-30,02:40:00,0,0.0,29.1,27.6,29.3,,91.0,248,0,999.1,1007.5,1.15,12.9,L
18,ARIYALUR,ARIYALUR,2018-08-30,02:50:00,0,0.0,29.0,27.6,29.3,,92.0,269,0,999.2,1007.6,1.25,12.9,L
19,ARIYALUR,ARIYALUR,2018-08-30,03:00:00,0,0.0,29.4,27.6,29.4,26.2,90.0,260,0,999.1,1007.5,1.35,13.6,L
20,ARIYALUR,ARIYALUR,2018-08-30,03:10:00,0,0.0,30.1,29.5,30.1,,87.0,269,0,999.1,1007.5,1.45,13.6,L
21,ARIYALUR,ARIYALUR,2018-08-30,03:20:00,0,0.0,30.4,29.5,30.4,,83.0,250,0,999.2,1007.6,1.55,13.6,L
22,ARIYALUR,ARIYALUR,2018-08-30,03:30:00,0,0.0,31.1,29.5,31.1,,79.0,239,0,999.1,1007.4,2.05,13.6,L
23,ARIYALUR,ARIYALUR,2018-08-30,03:40:00,0,0.0,31.0,29.5,31.2,,77.0,252,0,999.1,1007.5,2.15,13.6,L
24,ARIYALUR,ARIYALUR,2018-08-30,03:50:00,0,0.0,31.4,29.5,31.4,,74.0,253,0,999.1,1007.4,2.25,13.6,L
25,ARIYALUR,ARIYALUR,2018-08-30,04:00:00,0,0.0,32.3,29.5,32.3,,70.0,236,0,999.0,1007.3,2.35,15.2,L
26,ARIYALUR,ARIYALUR,2018-08-30,04:10:00,0,0.0,32.7,32.4,32.7,,66.0,242,0,999.0,1007.3,2.45,15.2,L
27,ARIYALUR,ARIYALUR,2018-08-30,04:20:00,0,0.0,32.7,32.4,32.9,,62.0,219,0,998.9,1007.2,2.55,15.2,L
28,ARIYALUR,ARIYALUR,2018-08-30,04:30:00,0,0.0,33.1,32.4,33.1,,59.0,242,0,998.8,1007.1,3.05,15.2,L
29,ARIYALUR,ARIYALUR,2018-08-30,04:40:00,0,0.0,33.5,32.4,33.6,,57.0,215,0,998.7,1007.0,3.15,15.2,L
30,ARIYALUR,ARIYALUR,2018-08-30,04:50:00,0,0.0,33.5,32.4,33.6,,55.0,279,0,998.6,1006.9,3.25,15.2,L
31,ARIYALUR,ARIYALUR,2018-08-30,05:00:00,0,0.0,33.4,32.4,34.1,,54.0,265,0,998.5,1006.8,3.35,15.2,L
32,ARIYALUR,ARIYALUR,2018-08-30,05:10:00,0,0.0,34.2,33.6,34.2,,53.0,196,0,998.4,1006.7,3.45,15.2,L
33,ARIYALUR,ARIYALUR,2018-08-30,05:20:00,0,0.0,34.2,33.6,34.2,,52.0,251,0,998.3,1006.6,3.55,15.2,L
34,ARIYALUR,ARIYALUR,2018-08-30,05:30:00,0,0.0,34.0,33.6,34.3,,52.0,226,0,998.2,1006.5,4.05,15.2,L
35,ARIYALUR,ARIYALUR,2018-08-30,05:40:00,0,0.0,34.4,33.6,34.4,,52.0,227,0,997.9,1006.1,4.15,15.2,L
36,ARIYALUR,ARIYALUR,2018-08-30,05:50:00,0,0.0,34.7,33.6,34.8,,52.0,186,0,997.8,1006.0,4.25,15.2,L
37,ARIYALUR,ARIYALUR,2018-08-30,06:00:00,0,0.0,35.1,33.6,35.1,,50.0,235,0,997.6,1005.8,4.35,15.2,L
38,ARIYALUR,ARIYALUR,2018-08-30,06:10:00,0,0.0,35.4,35.0,35.5,,48.0,259,0,997.4,1005.6,4.45,15.2,L
39,ARIYALUR,ARIYALUR,2018-08-30,06:20:00,0,0.0,35.6,35.0,35.7,,47.0,227,0,997.2,1005.4,4.55,15.2,L
