S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),WIND DIR (Deg),WIND SPEED (Kt),SLP (hPa),MSLP (hPa/gpm),SUNSHINE (HH.MM),BATTERY (Volts),GPS
1,ADILABAD,ADILABAD,2018-08-30,00:00:00,0,0,25.2,24.9,25.7,,90.0,359,0,977.3,1007.3,0.0,12.6,L
2,ADILABAD,ADILABAD,2018-08-30,01:00:00,0,0,25.0,24.9,25.5,,90.0,359,0,977.7,1007.7,0.0,12.6,L
3,ADILABAD,ADILABAD,2018-08-30,02:00:00,0,0,25.7,24.9,26.0,,91.0,359,0,978.0,1008.0,0.0,12.8,L
4,ADILABAD,ADILABAD,2018-08-30,03:00:00,0,0,26.2,25.7,26.4,24.8,90.0,359,0,978.3,1008.2,0.51,13.2,L
5,ADILABAD,ADILABAD,2018-08-30,04:00:00,0,0,27.7,26.2,29.9,,90.0,359,0,978.5,1008.3,1.51,13.5,L
6,ADILABAD,ADILABAD,2018-08-30,05:00:00,0,0,28.7,27.4,28.7,,90.0,359,0,978.6,1008.3,2.51,13.7,L
7,ADILABAD,ADILABAD,2018-08-30,06:00:00,0,0,29.1,28.4,29.4,,90.0,359,0,978.3,1007.9,3.51,14.4,L
8,ADILABAD,ADILABAD,2018-08-30,07:00:00,0,0,29.9,29.0,30.1,,90.0,359,0,978.0,1007.5,4.51,14.0,L
9,ADILABAD,ADILABAD,2018-08-30,08:00:00,0,0,30.3,29.4,30.9,,90.0,359,0,977.4,1006.9,5.51,14.4,L
10,ADILABAD,ADILABAD,2018-08-30,09:00:00,0,0,30.3,29.8,30.6,,90.0,359,0,976.5,1006.0,6.51,13.7,L
11,ADILABAD,ADILABAD,2018-08-30,10:00:00,0,0,30.6,30.1,30.9,,90.0,359,0,975.9,1005.3,7.51,13.6,L
12,ADILABAD,ADILABAD,2018-08-30,11:00:00,0,0,29.6,29.5,30.9,,90.0,337,7,975.8,1005.3,8.47,13.0,L
13,ADILABAD,ADILABAD,2018-08-30,12:00:00,0,0,25.9,25.8,29.6,30.9,90.0,262,8,976.3,1006.2,8.52,12.8,L
14,ADILABAD,ADILABAD,2018-08-30,13:00:00,0,0,25.1,24.9,25.7,,90.0,253,4,976.6,1006.6,8.52,12.7,L
15,ADILABAD,ADILABAD,2018-08-30,14:00:00,0,0,25.4,25.2,25.5,,90.0,264,5,977.1,1007.1,8.52,12.7,L
16,ADILABAD,ADILABAD,2018-08-30,15:00:00,0,0,25.4,25.3,25.5,,90.0,266,4,977.6,1007.6,8.52,12.7,L
17,ADILABAD,ADILABAD,2018-08-30,16:00:00,0,0,25.6,25.4,25.7,,90.0,262,1,978.2,1008.2,8.52,12.7,L
18,ADILABAD,ADILABAD,2018-08-30,17:00:00,0,0,25.6,25.4,25.7,,90.0,288,2,978.7,1008.7,8.52,12.7,L
19,ADILABAD,ADILABAD,2018-08-30,18:00:00,0,0,25.6,25.4,25.7,,90.0,260,2,978.4,1008.4,8.52,12.8,L
20,ADILABAD,ADILABAD,2018-08-30,19:00:00,0,0,25.6,25.3,25.7,,90.0,304,3,978.0,1008.0,8.52,12.7,L
21,ADILABAD,ADILABAD,2018-08-30,20:00:00,0,0,25.8,25.6,25.9,,90.0,288,3,977.6,1007.5,8.52,12.7,L
22,ADILABAD,ADILABAD,2018-08-30,21:00:00,0,0,25.9,25.6,25.9,,90.0,308,3,977.3,1007.2,0.0,12.6,L
23,ADILABAD,ADILABAD,2018-08-30,23:00:00,0,0,25.4,25.2,25.9,,90.0,306,5,977.0,1007.0,0.0,12.7,L
24,ADILABAD,ADILABAD,2018-08-31,00:00:00,0,0,24.7,24.6,25.4,,90.0,304,3,977.2,1007.2,0.0,12.6,L
25,ADILABAD,ADILABAD,2018-08-31,01:00:00,0,0,24.3,24.2,24.8,,90.0,283,3,977.3,1007.4,0.0,12.7,L
26,ADILABAD,ADILABAD,2018-08-31,02:00:00,0,0,24.5,24.2,24.7,,90.0,287,2,978.1,1008.2,0.0,12.7,L
27,ADILABAD,ADILABAD,2018-08-31,03:00:00,0,0,24.9,24.4,24.9,,90.0,260,3,978.7,1008.8,0.03,13.0,L
28,ADILABAD,ADILABAD,2018-08-31,04:00:00,0,0,25.4,24.9,25.5,,90.0,275,5,979.1,1009.1,0.47,13.2,L
29,ADILABAD,ADILABAD,2018-08-31,05:00:00,0,0,24.7,24.6,25.5,,90.0,280,7,979.2,1009.3,1.39,13.1,L
30,ADILABAD,ADILABAD,2018-08-31,06:00:00,0,0,25.0,24.5,25.8,,90.0,282,6,979.0,1009.1,1.5,13.0,L
31,ADILABAD,ADILABAD,2018-08-31,07:00:00,0,0,24.8,24.6,25.8,,90.0,297,9,978.6,1008.7,2.45,13.2,L
32,ADILABAD,ADILABAD,2018-08-31,08:00:00,1,1,24.0,23.9,24.8,,90.0,280,7,978.2,1008.3,3.03,13.0,L
33,ADILABAD,ADILABAD,2018-08-31,09:00:00,3,4,23.6,23.5,24.2,,90.0,282,6,977.6,1007.8,3.21,13.1,L
34,ADILABAD,ADILABAD,2018-08-31,10:00:00,3,7,23.8,23.4,23.9,,90.0,300,5,976.9,1007.0,3.22,12.9,L
35,ADILABAD,ADILABAD,2018-08-31,11:00:00,1,8,24.0,23.6,25.0,,90.0,304,3,976.6,1006.7,3.22,12.8,L
36,ADILABAD,ADILABAD,2018-08-31,12:00:00,8,16,23.5,23.4,24.7,25.8,90.0,256,2,977.0,1007.2,3.22,12.7,L
37,ADILABAD,ADILABAD,2018-08-31,13:00:00,11,26,23.5,23.3,24.0,,90.0,324,6,978.0,1008.2,3.22,12.7,L
38,ADILABAD,ADILABAD,2018-08-31,14:00:00,8,34,23.3,22.9,23.5,,90.0,62,1,978.3,1008.5,3.22,12.7,L
39,ADILABAD,ADILABAD,2018-08-31,15:00:00,4,38,23.4,23.1,23.5,,90.0,216,3,978.9,1009.1,3.22,12.6,L
40,ADILABAD,ADILABAD,2018-08-31,16:00:00,0,38,23.4,23.3,23.5,,90.0,87,5,979.3,1009.5,3.22,12.6,L
41,ADILABAD,ADILABAD,2018-08-31,17:00:00,0,38,23.5,23.2,23.5,,90.0,205,2,979.2,1009.4,3.22,12.7,L
42,ADILABAD,ADILABAD,2018-08-31,18:00:00,1,38,23.5,23.2,23.5,,90.0,198,2,978.7,1008.9,3.22,12.6,L
43,ADILABAD,ADILABAD,2018-08-31,19:00:00,0,38,23.6,23.4,23.8,,90.0,235,2,978.3,1008.5,3.22,12.6,L
