S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),WIND DIR (Deg),WIND SPEED (Kt),SLP (hPa),MSLP (hPa/gpm),SUNSHINE (HH.MM),BATTERY (Volts),GPS
1,AGRA,AGRA,2018-08-30,04:00:00,0,0.0,29.1,29.3,27.7,,,359,0,981.5,1000.3,0.0,12.6,L
2,AGRA,AGRA,2018-08-30,05:00:00,0,0.0,30.7,30.8,29.3,,95.0,359,0,981.3,1000.0,0.0,12.9,L
3,AGRA,AGRA,2018-08-30,06:00:00,0,0.0,31.8,31.8,30.6,,86.0,359,0,981.0,999.6,0.0,12.9,L
4,AGRA,AGRA,2018-08-30,07:00:00,0,0.0,31.0,32.7,30.7,,86.0,359,0,980.5,999.2,0.0,12.7,L
5,AGRA,AGRA,2018-08-30,08:00:00,0,0.0,31.6,31.7,30.8,,82.0,359,0,979.5,998.1,0.0,12.7,L
6,AGRA,AGRA,2018-08-30,09:00:00,0,0.0,31.7,32.2,31.5,,79.0,359,0,978.6,997.2,0.0,12.7,L
7,AGRA,AGRA,2018-08-30,10:00:00,0,0.0,31.4,32.0,31.3,,85.0,359,0,978.1,996.7,0.0,12.5,L
8,AGRA,AGRA,2018-08-30,11:00:00,0,0.0,32.3,32.3,31.3,,79.0,359,0,977.5,996.1,0.0,12.4,L
9,AGRA,AGRA,2018-08-30,12:00:00,0,0.0,31.8,32.3,31.6,31.6,85.0,359,0,977.7,996.3,0.0,12.4,L
10,AGRA,AGRA,2018-08-30,13:00:00,0,0.0,31.1,31.7,31.1,,87.0,359,0,978.1,996.7,0.0,12.4,L
11,AGRA,AGRA,2018-08-30,14:00:00,0,0.0,30.1,31.2,30.0,,95.0,359,0,978.7,997.4,0.0,12.3,L
12,AGRA,AGRA,2018-08-30,15:00:00,0,0.0,29.1,30.1,29.0,,99.0,359,0,979.4,998.2,0.0,12.4,L
13,AGRA,AGRA,2018-08-30,16:00:00,0,0.0,28.1,29.2,28.1,,99.0,359,0,980.0,998.9,0.0,12.3,L
14,AGRA,AGRA,2018-08-30,17:00:00,0,0.0,27.4,28.1,27.3,,,359,0,980.1,999.0,0.0,12.4,L
15,AGRA,AGRA,2018-08-30,18:00:00,0,0.0,26.5,27.4,26.5,,99.0,359,0,980.0,999.0,0.0,12.3,L
16,AGRA,AGRA,2018-08-30,19:00:00,0,0.0,26.4,26.6,26.2,,99.0,359,0,979.8,998.8,0.0,12.4,L
17,AGRA,AGRA,2018-08-30,20:00:00,0,0.0,26.7,26.7,26.3,,,359,0,979.5,998.4,0.0,12.3,L
18,AGRA,AGRA,2018-08-30,21:00:00,0,0.0,26.9,26.9,26.7,,,359,0,979.4,998.3,0.0,12.3,L
19,AGRA,AGRA,2018-08-30,23:00:00,0,0.0,26.7,26.8,26.5,,,359,0,979.1,998.0,0.0,12.2,L
20,AGRA,AGRA,2018-08-31,00:00:00,0,0.0,26.9,27.0,26.6,,,359,0,979.1,998.0,0.0,12.3,L
21,AGRA,AGRA,2018-08-31,01:00:00,0,0.0,27.1,27.2,26.9,,,359,0,979.8,998.7,0.0,12.2,L
22,AGRA,AGRA,2018-08-31,04:00:00,0,0.0,,28.2,,,,359,0,950.0,986.4,0.0,11.5,L
23,AGRA,AGRA,2018-08-31,05:00:00,0,0.0,28.7,28.9,28.3,,,359,0,982.0,1000.9,0.0,12.3,L
24,AGRA,AGRA,2018-08-31,06:00:00,0,0.0,29.5,29.6,28.6,,,359,0,981.6,1000.4,0.0,12.6,L
25,AGRA,AGRA,2018-08-31,07:00:00,0,0.0,29.6,30.0,29.4,,95.0,359,0,981.5,1000.3,0.0,12.5,L
26,AGRA,AGRA,2018-08-31,08:00:00,0,0.0,29.3,30.0,29.2,,95.0,359,0,981.1,999.9,0.0,12.4,L
27,AGRA,AGRA,2018-08-31,09:00:00,0,0.0,29.0,29.3,28.9,,96.0,359,0,980.8,999.6,0.0,12.4,L
28,AGRA,AGRA,2018-08-31,10:00:00,0,0.0,29.0,29.1,28.8,,99.0,359,0,980.2,999.0,0.0,12.3,L
