S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),WIND DIR (Deg),WIND SPEED (Kt),SLP (hPa),MSLP (hPa/gpm),SUNSHINE (HH.MM),BATTERY (Volts),GPS
1,BANKURA,BANKURA,2018-08-30,00:00:00,0,1,26.8,26.7,27.0,,,212,0,988.8,1000.5,0.0,12.5,L
2,BANKURA,BANKURA,2018-08-30,01:00:00,0,1,27.1,26.7,27.2,,,359,0,989.4,1001.1,0.0,12.5,L
3,BANKURA,BANKURA,2018-08-30,02:00:00,0,1,28.7,27.0,28.8,,,359,0,989.7,1001.4,0.0,12.9,L
4,BANKURA,BANKURA,2018-08-30,03:00:00,0,1,30.7,28.6,30.8,26.7,,359,0,990.2,1001.8,0.0,13.6,L
5,BANKURA,BANKURA,2018-08-30,04:00:00,0,0,32.2,30.7,32.8,,,86,0,989.7,1001.2,0.0,14.1,L
6,BANKURA,BANKURA,2018-08-30,05:00:00,0,0,34.4,32.2,34.6,,,359,0,988.6,1000.0,0.0,14.6,L
7,BANKURA,BANKURA,2018-08-30,06:00:00,0,0,33.2,32.7,34.5,,,167,0,987.6,999.1,0.0,14.6,L
8,BANKURA,BANKURA,2018-08-30,07:00:00,0,0,32.1,32.0,33.3,,,359,0,986.8,998.3,0.0,14.1,L
9,BANKURA,BANKURA,2018-08-30,08:00:00,0,0,34.2,32.0,34.4,,,148,0,985.8,997.2,0.0,14.3,L
10,BANKURA,BANKURA,2018-08-30,09:00:00,0,0,34.2,33.6,35.0,,,208,0,984.9,996.3,0.0,14.4,L
11,BANKURA,BANKURA,2018-08-30,10:00:00,0,0,31.5,31.5,34.6,,,65,0,984.6,996.1,0.0,13.7,L
12,BANKURA,BANKURA,2018-08-30,11:00:00,0,0,30.7,30.7,31.6,,,232,0,984.6,996.1,0.0,13.0,L
