S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),WIND DIR (Deg),WIND SPEED (Kt),SLP (hPa),MSLP (hPa/gpm),SUNSHINE (HH.MM),BATTERY (Volts),GPS
1,CHANDIGARH,CHANDIGARH,2018-08-30,03:00:00,1,8,26.4,26.3,26.7,,99.0,145,2,965.3,1002.1,0.07,11.6,L
2,CHANDIGARH,CHANDIGARH,2018-08-30,04:00:00,0,0,27.8,26.5,27.9,,99.0,157,2,965.3,1001.9,1.07,12.1,L
3,CHANDIGARH,CHANDIGARH,2018-08-30,05:00:00,0,0,29.2,27.9,29.4,,99.0,217,2,965.5,1001.9,2.07,12.2,L
4,CHANDIGARH,CHANDIGARH,2018-08-30,06:00:00,0,0,30.1,28.9,30.2,,99.0,240,2,965.1,1001.4,3.07,12.2,L
5,CHANDIGARH,CHANDIGARH,2018-08-30,07:00:00,0,0,29.9,29.9,30.9,,99.0,304,3,964.9,1001.2,4.07,11.7,L
6,CHANDIGARH,CHANDIGARH,2018-08-30,08:00:00,4,4,28.6,28.0,30.0,,99.0,289,1,964.5,1001.0,5.07,11.7,L
7,CHANDIGARH,CHANDIGARH,2018-08-30,09:00:00,0,4,30.8,28.7,30.9,,91.0,18,3,963.5,999.7,6.07,12.5,L
8,CHANDIGARH,CHANDIGARH,2018-08-30,10:00:00,0,4,31.0,30.8,32.0,,91.0,296,4,962.6,998.7,7.07,11.8,L
9,CHANDIGARH,CHANDIGARH,2018-08-30,11:00:00,0,4,30.9,30.6,31.4,,95.0,313,1,962.1,998.2,8.07,11.9,L
10,CHANDIGARH,CHANDIGARH,2018-08-30,12:00:00,0,4,30.8,30.6,31.5,32.0,96.0,301,2,961.7,997.8,8.58,11.7,L
11,CHANDIGARH,CHANDIGARH,2018-08-30,13:00:00,0,4,29.9,29.8,30.9,,99.0,298,1,961.8,998.0,8.58,11.3,L
12,CHANDIGARH,CHANDIGARH,2018-08-30,14:00:00,0,4,29.1,29.1,29.9,,99.0,319,0,962.2,998.5,8.58,11.1,L
13,CHANDIGARH,CHANDIGARH,2018-08-30,15:00:00,0,4,28.7,28.6,29.1,,99.0,35,1,962.6,999.0,8.58,11.0,L
14,CHANDIGARH,CHANDIGARH,2018-08-30,16:00:00,0,4,28.6,28.5,28.7,,99.0,6,1,963.2,999.6,8.58,11.1,L
15,CHANDIGARH,CHANDIGARH,2018-08-30,17:00:00,0,4,28.4,28.3,28.7,,99.0,310,0,963.1,999.5,8.58,11.1,L
16,CHANDIGARH,CHANDIGARH,2018-08-30,18:00:00,0,4,28.0,27.9,28.4,,99.0,285,1,963.2,999.7,8.58,10.9,L
17,CHANDIGARH,CHANDIGARH,2018-08-31,02:00:00,0,4,27.2,26.9,27.3,,99.0,93,1,964.0,1000.6,0.0,10.7,L
18,CHANDIGARH,CHANDIGARH,2018-08-31,03:00:00,0,4,28.5,27.0,28.5,,99.0,111,1,964.7,1001.2,0.54,11.6,L
19,CHANDIGARH,CHANDIGARH,2018-08-31,04:00:00,0,0,30.0,28.5,30.0,,99.0,69,2,964.9,1001.2,1.54,12.1,L
20,CHANDIGARH,CHANDIGARH,2018-08-31,05:00:00,0,0,29.1,28.4,30.6,,82.0,59,3,965.2,1001.6,2.54,12.3,L
21,CHANDIGARH,CHANDIGARH,2018-08-31,06:00:00,0,0,31.2,29.2,31.7,,73.0,356,1,965.0,1001.2,3.54,12.2,L
22,CHANDIGARH,CHANDIGARH,2018-08-31,07:00:00,0,0,33.2,31.5,33.6,,70.0,296,1,964.6,1000.5,4.54,12.7,L
23,CHANDIGARH,CHANDIGARH,2018-08-31,08:00:00,0,0,32.3,32.2,33.7,,78.0,275,4,964.2,1000.2,5.54,12.1,L
24,CHANDIGARH,CHANDIGARH,2018-08-31,09:00:00,0,0,32.0,31.8,32.6,,82.0,263,4,963.8,999.8,6.54,11.9,L
25,CHANDIGARH,CHANDIGARH,2018-08-31,10:00:00,0,0,32.2,31.7,32.5,,78.0,302,1,963.6,999.6,7.54,11.9,L
26,CHANDIGARH,CHANDIGARH,2018-08-31,11:00:00,0,0,32.0,31.7,32.5,,86.0,149,3,963.5,999.5,8.54,11.7,L
27,CHANDIGARH,CHANDIGARH,2018-08-31,12:00:00,0,0,29.9,29.8,31.6,33.7,99.0,137,2,963.6,999.9,9.1,11.5,L
28,CHANDIGARH,CHANDIGARH,2018-08-31,13:00:00,0,0,29.2,29.2,30.0,,99.0,152,3,963.7,1000.1,9.1,10.9,L
29,CHANDIGARH,CHANDIGARH,2018-08-31,14:00:00,0,0,28.7,28.5,29.2,,99.0,130,2,964.5,1000.9,9.1,11.0,L
30,CHANDIGARH,CHANDIGARH,2018-08-31,15:00:00,0,0,28.4,28.3,28.7,,99.0,125,4,965.1,1001.6,9.1,11.0,L
31,CHANDIGARH,CHANDIGARH,2018-08-31,16:00:00,0,0,28.1,28.0,28.5,,99.0,145,2,965.7,1002.3,9.1,11.1,L
32,CHANDIGARH,CHANDIGARH,2018-09-01,03:00:00,0,0,28.7,27.2,28.7,,99.0,130,2,966.8,1003.3,0.39,11.9,L
33,CHANDIGARH,CHANDIGARH,2018-09-01,04:00:00,0,0,29.4,28.8,29.7,,99.0,146,3,967.4,1003.9,1.39,12.0,L
34,CHANDIGARH,CHANDIGARH,2018-09-01,05:00:00,0,0,29.9,29.2,30.0,,99.0,130,3,967.6,1004.0,2.39,12.1,L
35,CHANDIGARH,CHANDIGARH,2018-09-01,06:00:00,0,0,30.4,29.8,30.9,,92.0,143,3,967.5,1003.9,3.38,12.1,L
36,CHANDIGARH,CHANDIGARH,2018-09-01,07:00:00,0,0,30.4,30.1,30.5,,95.0,138,2,967.2,1003.5,4.38,12.0,L
37,CHANDIGARH,CHANDIGARH,2018-09-01,08:00:00,0,0,30.6,30.1,30.9,,95.0,148,3,966.8,1003.1,5.38,12.0,L
38,CHANDIGARH,CHANDIGARH,2018-09-01,09:00:00,0,0,29.6,29.4,30.7,,99.0,169,3,966.3,1002.7,6.38,11.9,L
39,CHANDIGARH,CHANDIGARH,2018-09-01,10:00:00,0,0,29.3,29.1,29.9,,99.0,161,2,965.5,1001.9,7.38,11.8,L
40,CHANDIGARH,CHANDIGARH,2018-09-01,11:00:00,0,0,29.1,28.8,29.5,,99.0,174,1,964.8,1001.2,8.38,11.8,L
41,CHANDIGARH,CHANDIGARH,2018-09-01,12:00:00,0,0,29.0,28.9,29.3,30.9,99.0,195,1,965.1,1001.5,8.54,11.5,L
42,CHANDIGARH,CHANDIGARH,2018-09-01,13:00:00,0,0,28.5,28.5,29.1,,99.0,166,1,965.1,1001.6,8.54,10.9,L
43,CHANDIGARH,CHANDIGARH,2018-09-01,14:00:00,0,0,28.1,28.0,28.6,,99.0,168,2,965.5,1002.1,8.54,11.1,L
44,CHANDIGARH,CHANDIGARH,2018-09-01,15:00:00,0,0,28.0,27.9,28.1,,99.0,124,1,966.2,1002.8,8.54,11.1,L
45,CHANDIGARH,CHANDIGARH,2018-09-01,16:00:00,0,0,28.1,27.9,28.2,,99.0,129,2,966.9,1003.5,8.54,11.1,L
46,CHANDIGARH,CHANDIGARH,2018-09-02,06:00:00,4,8,25.0,24.5,25.0,,99.0,329,1,967.9,1004.9,0.06,11.4,L
47,CHANDIGARH,CHANDIGARH,2018-09-02,07:00:00,0,8,26.0,24.9,26.0,,99.0,36,1,967.4,1004.3,1.06,11.7,L
48,CHANDIGARH,CHANDIGARH,2018-09-02,08:00:00,0,8,26.9,25.9,27.0,,99.0,50,1,966.8,1003.6,2.06,11.7,L
49,CHANDIGARH,CHANDIGARH,2018-09-02,09:00:00,0,8,27.6,26.7,27.7,,99.0,81,1,966.5,1003.2,3.06,11.7,L
50,CHANDIGARH,CHANDIGARH,2018-09-02,10:00:00,0,8,27.2,27.1,28.0,,99.0,121,3,965.9,1002.6,3.32,11.6,L
51,CHANDIGARH,CHANDIGARH,2018-09-02,11:00:00,0,8,26.5,26.5,27.3,,99.0,143,3,965.0,1001.7,4.29,11.5,L
52,CHANDIGARH,CHANDIGARH,2018-09-02,12:00:00,0,8,26.7,26.4,26.8,28.0,99.0,253,0,964.6,1001.3,4.29,11.4,L
53,CHANDIGARH,CHANDIGARH,2018-09-02,13:00:00,0,8,26.3,26.2,26.9,,99.0,279,1,965.1,1001.9,4.29,11.2,L
54,CHANDIGARH,CHANDIGARH,2018-09-03,04:00:00,1,1,26.0,25.5,26.2,,99.0,301,1,968.7,1005.6,0.0,11.2,L
