S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),WIND DIR (Deg),WIND SPEED (Kt),SLP (hPa),MSLP (hPa/gpm),SUNSHINE (HH.MM),BATTERY (Volts),GPS
1,BIJAPUR,BIJAPUR,2018-08-30,00:00:00,0,,22.8,22.6,22.9,,,185,0,968.3,1005.7,0.0,12.5,L
2,BIJAPUR,BIJAPUR,2018-08-30,01:00:00,0,,23.0,22.6,23.1,,,3,0,968.7,1006.1,0.0,12.5,L
3,BIJAPUR,BIJAPUR,2018-08-30,02:00:00,0,,24.1,22.9,24.2,,,19,0,969.0,1006.3,0.0,12.5,L
4,BIJAPUR,BIJAPUR,2018-08-30,03:00:00,0,,25.1,23.9,25.3,22.6,,221,1,969.4,1006.6,0.37,12.4,L
5,BIJAPUR,BIJAPUR,2018-08-30,04:00:00,0,,26.8,24.8,26.9,,99.0,263,2,969.5,1006.4,1.37,12.5,L
6,BIJAPUR,BIJAPUR,2018-08-30,05:00:00,0,,26.5,26.3,28.3,,87.0,227,2,969.5,1006.5,2.23,12.5,L
7,BIJAPUR,BIJAPUR,2018-08-30,06:00:00,0,,27.0,25.1,27.2,,94.0,218,1,969.1,1006.0,3.02,12.5,U
8,BIJAPUR,BIJAPUR,2018-08-30,07:00:00,0,,29.8,27.1,30.2,,69.0,268,2,968.1,1004.6,4.02,12.5,U
9,BIJAPUR,BIJAPUR,2018-08-30,08:00:00,0,,29.8,28.2,30.2,,69.0,276,1,967.5,1004.0,5.02,12.5,L
10,BIJAPUR,BIJAPUR,2018-08-30,09:00:00,0,,28.9,28.0,29.4,,77.0,237,2,966.7,1003.3,5.43,12.6,L
11,BIJAPUR,BIJAPUR,2018-08-30,10:00:00,0,,28.5,28.3,29.9,,78.0,305,1,966.3,1002.9,6.23,12.6,L
12,BIJAPUR,BIJAPUR,2018-08-30,11:00:00,0,,28.7,28.4,28.8,,82.0,258,0,966.0,1002.6,7.08,12.5,L
13,BIJAPUR,BIJAPUR,2018-08-30,12:00:00,0,,25.7,25.3,28.6,30.2,94.0,263,3,966.3,1003.3,7.08,12.5,L
14,BIJAPUR,BIJAPUR,2018-08-30,13:00:00,0,,24.9,24.8,25.8,,94.0,247,0,966.8,1003.9,7.08,12.5,L
15,BIJAPUR,BIJAPUR,2018-08-30,14:00:00,0,,24.4,24.1,24.8,,95.0,263,0,967.4,1004.6,7.08,12.5,L
16,BIJAPUR,BIJAPUR,2018-08-30,15:00:00,0,,24.2,24.1,24.5,,98.0,62,0,968.1,1005.3,7.08,12.5,L
17,BIJAPUR,BIJAPUR,2018-08-30,16:00:00,0,,24.3,24.1,24.5,,,359,0,968.8,1006.0,7.08,12.6,L
18,BIJAPUR,BIJAPUR,2018-08-30,17:00:00,0,,24.4,24.2,24.5,,,346,0,969.0,1006.2,7.08,12.5,L
19,BIJAPUR,BIJAPUR,2018-08-30,18:00:00,0,,24.6,24.2,24.7,,,282,0,969.2,1006.4,7.08,12.5,L
20,BIJAPUR,BIJAPUR,2018-08-30,19:00:00,0,,24.3,23.9,24.8,,,252,1,968.9,1006.1,7.08,12.5,L
21,BIJAPUR,BIJAPUR,2018-08-30,20:00:00,0,,24.3,24.2,24.4,,98.0,338,1,968.7,1005.9,7.08,12.5,L
22,BIJAPUR,BIJAPUR,2018-08-30,21:00:00,0,,24.1,24.0,24.3,,99.0,253,1,967.9,1005.1,0.0,12.5,L
23,BIJAPUR,BIJAPUR,2018-08-30,22:00:00,0,,23.6,23.5,24.1,,,327,1,967.6,1004.9,0.0,12.5,L
24,BIJAPUR,BIJAPUR,2018-08-30,23:00:00,0,,23.6,23.5,23.7,,,284,1,967.5,1004.8,0.0,12.6,L
25,BIJAPUR,BIJAPUR,2018-08-31,00:00:00,0,,23.8,23.5,23.8,,,276,1,967.7,1005.0,0.0,12.5,L
26,BIJAPUR,BIJAPUR,2018-08-31,01:00:00,0,,24.1,23.7,24.1,,,359,0,968.4,1005.6,0.0,12.6,L
27,BIJAPUR,BIJAPUR,2018-08-31,02:00:00,0,,24.3,23.9,24.5,,,151,0,968.9,1006.1,0.0,12.5,L
28,BIJAPUR,BIJAPUR,2018-08-31,03:00:00,0,,24.8,24.2,24.9,23.5,98.0,231,1,969.6,1006.8,0.0,12.5,L
29,BIJAPUR,BIJAPUR,2018-08-31,04:00:00,0,,24.8,24.6,25.0,,95.0,254,1,969.9,1007.1,0.0,12.5,L
30,BIJAPUR,BIJAPUR,2018-08-31,05:00:00,0,,24.3,24.1,25.0,,99.0,306,2,970.0,1007.3,0.0,12.5,L
31,BIJAPUR,BIJAPUR,2018-08-31,06:00:00,0,,24.2,23.9,24.4,,,300,1,969.7,1007.0,0.02,12.5,L
32,BIJAPUR,BIJAPUR,2018-08-31,07:00:00,0,,24.2,24.1,25.1,,,354,2,969.1,1006.4,0.23,12.5,L
33,BIJAPUR,BIJAPUR,2018-08-31,08:00:00,0,,24.9,24.0,25.0,,96.0,332,2,968.4,1005.5,0.53,12.5,L
34,BIJAPUR,BIJAPUR,2018-08-31,09:00:00,0,,27.3,24.8,27.4,,78.0,301,2,967.5,1004.3,1.53,12.5,L
35,BIJAPUR,BIJAPUR,2018-08-31,10:00:00,0,,26.2,25.8,27.4,,82.0,270,2,967.1,1004.0,2.53,12.5,L
36,BIJAPUR,BIJAPUR,2018-08-31,11:00:00,0,,25.3,25.3,26.6,,85.0,233,1,967.0,1004.0,3.12,12.5,L
37,BIJAPUR,BIJAPUR,2018-08-31,12:00:00,0,,24.5,24.4,25.2,27.4,90.0,260,2,967.9,1005.1,3.12,12.6,L
38,BIJAPUR,BIJAPUR,2018-08-31,13:00:00,0,,23.7,23.6,24.4,,96.0,254,0,968.6,1005.9,3.12,12.5,L
39,BIJAPUR,BIJAPUR,2018-08-31,14:00:00,0,,23.8,23.6,23.8,,,227,1,969.2,1006.5,3.12,12.4,L
40,BIJAPUR,BIJAPUR,2018-08-31,15:00:00,0,,23.4,23.4,23.7,,,236,1,969.8,1007.2,3.12,12.6,L
41,BIJAPUR,BIJAPUR,2018-08-31,16:00:00,0,,23.4,23.2,23.5,,,270,0,970.2,1007.6,3.12,12.4,L
42,BIJAPUR,BIJAPUR,2018-08-31,17:00:00,0,,23.3,23.2,23.5,,,250,1,970.0,1007.4,3.12,12.5,L
43,BIJAPUR,BIJAPUR,2018-08-31,18:00:00,0,,23.1,23.0,23.4,,99.0,274,1,969.9,1007.3,3.12,12.5,L
44,BIJAPUR,BIJAPUR,2018-08-31,19:00:00,0,,23.3,23.0,23.2,,96.0,326,1,969.4,1006.8,3.12,12.5,L
45,BIJAPUR,BIJAPUR,2018-08-31,20:00:00,0,,23.1,23.0,23.2,,96.0,288,1,969.0,1006.4,3.12,12.5,L
46,BIJAPUR,BIJAPUR,2018-08-31,21:00:00,0,,22.9,22.8,23.2,,99.0,283,1,968.6,1006.0,0.0,12.5,L
47,BIJAPUR,BIJAPUR,2018-08-31,22:00:00,0,,22.5,22.4,22.9,,,257,3,968.6,1006.1,0.0,12.5,L
48,BIJAPUR,BIJAPUR,2018-08-31,23:00:00,0,,22.4,22.2,22.6,,,241,1,968.5,1006.0,0.0,12.5,U
49,BIJAPUR,BIJAPUR,2018-09-01,00:00:00,0,,22.3,22.2,22.4,,,299,0,968.9,1006.4,0.0,12.4,U
50,BIJAPUR,BIJAPUR,2018-09-01,01:00:00,0,,22.4,22.2,22.5,,,265,2,969.3,1006.8,0.0,12.5,U
