S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),WIND DIR (Deg),WIND SPEED (Kt),SLP (hPa),MSLP (hPa/gpm),SUNSHINE (HH.MM),BATTERY (Volts),GPS
1,NEW_DELHI,NEW_DELHI,2018-08-30,00:00:00,0,11,26.1,26.1,26.4,,10.0,359,0,978.0,1001.5,0.0,12.7,L
2,NEW_DELHI,NEW_DELHI,2018-08-30,01:00:00,0,11,26.1,26.0,26.1,,11.0,359,0,977.8,1001.3,0.0,12.7,L
3,NEW_DELHI,NEW_DELHI,2018-08-30,02:00:00,0,11,26.5,26.1,26.5,,10.0,359,0,977.9,1001.4,0.0,12.7,L
4,NEW_DELHI,NEW_DELHI,2018-08-30,03:00:00,0,11,27.7,26.5,27.7,26.0,50.0,359,0,978.0,1001.4,0.0,13.9,L
5,NEW_DELHI,NEW_DELHI,2018-08-30,04:00:00,0,0,29.1,27.7,29.1,,100.0,359,0,978.3,1001.6,0.0,14.9,L
6,NEW_DELHI,NEW_DELHI,2018-08-30,05:00:00,0,0,30.8,29.1,30.8,,98.0,359,0,978.3,1001.5,0.0,15.2,L
7,NEW_DELHI,NEW_DELHI,2018-08-30,06:00:00,0,0,32.1,30.8,32.1,,93.0,359,0,978.2,1001.3,0.0,15.2,L
8,NEW_DELHI,NEW_DELHI,2018-08-30,07:00:00,0,0,32.7,31.9,32.8,,89.0,359,0,977.5,1000.5,0.0,15.1,L
9,NEW_DELHI,NEW_DELHI,2018-08-30,08:00:00,0,0,34.0,32.5,34.0,,85.0,359,0,976.7,999.6,0.0,15.2,L
10,NEW_DELHI,NEW_DELHI,2018-08-30,09:00:00,0,0,33.9,33.2,34.1,,85.0,359,0,975.7,998.6,0.0,15.2,L
11,NEW_DELHI,NEW_DELHI,2018-08-30,10:00:00,0,0,34.0,33.6,34.1,,85.0,359,0,974.9,997.7,0.0,15.1,L
12,NEW_DELHI,NEW_DELHI,2018-08-30,11:00:00,0,0,33.3,33.3,34.3,,87.0,359,0,974.8,997.7,0.0,14.5,L
13,NEW_DELHI,NEW_DELHI,2018-08-30,12:00:00,0,0,32.4,32.4,33.3,34.3,92.0,359,0,974.4,997.4,0.0,13.7,L
14,NEW_DELHI,NEW_DELHI,2018-08-30,13:00:00,0,0,31.0,31.0,32.4,,100.0,359,0,974.6,997.7,0.0,13.4,L
15,NEW_DELHI,NEW_DELHI,2018-08-30,14:00:00,0,0,29.9,29.9,31.0,,100.0,359,0,975.1,998.3,0.0,13.2,L
16,NEW_DELHI,NEW_DELHI,2018-08-30,15:00:00,0,0,29.4,29.4,30.0,,100.0,359,0,975.7,998.9,0.0,13.1,L
17,NEW_DELHI,NEW_DELHI,2018-08-30,16:00:00,0,0,29.4,29.3,29.4,,100.0,359,0,976.3,999.5,0.0,13.1,L
18,NEW_DELHI,NEW_DELHI,2018-08-30,17:00:00,0,0,29.2,29.1,29.4,,100.0,359,0,976.8,1000.1,0.0,13.0,L
19,NEW_DELHI,NEW_DELHI,2018-08-30,18:00:00,0,0,29.2,29.0,29.2,,99.0,359,0,976.6,999.9,0.0,13.0,L
20,NEW_DELHI,NEW_DELHI,2018-08-30,19:00:00,0,0,28.9,28.9,29.2,,100.0,359,0,976.3,999.6,0.0,13.0,L
21,NEW_DELHI,NEW_DELHI,2018-08-30,20:00:00,0,0,28.7,28.7,28.9,,100.0,359,0,976.6,999.9,0.0,13.0,L
22,NEW_DELHI,NEW_DELHI,2018-08-30,21:00:00,0,0,28.5,28.5,28.7,,100.0,359,0,975.9,999.2,0.0,12.9,L
23,NEW_DELHI,NEW_DELHI,2018-08-30,22:00:00,0,0,28.2,28.1,28.5,,100.0,359,0,976.1,999.4,0.0,12.9,L
24,NEW_DELHI,NEW_DELHI,2018-08-30,23:00:00,0,0,28.7,28.1,28.7,,100.0,359,0,975.6,998.9,0.0,12.9,L
25,NEW_DELHI,NEW_DELHI,2018-08-31,00:00:00,0,0,28.6,28.5,28.8,,99.0,359,0,975.6,998.9,0.0,12.9,L
26,NEW_DELHI,NEW_DELHI,2018-08-31,01:00:00,0,0,28.2,28.1,28.6,,100.0,359,0,976.5,999.8,0.0,12.9,L
27,NEW_DELHI,NEW_DELHI,2018-08-31,02:00:00,0,0,28.4,28.1,28.4,,100.0,359,0,977.2,1000.5,0.0,12.9,L
28,NEW_DELHI,NEW_DELHI,2018-08-31,03:00:00,0,0,28.8,28.4,28.8,28.1,100.0,359,0,977.7,1001.0,0.0,13.1,L
29,NEW_DELHI,NEW_DELHI,2018-08-31,04:00:00,0,0,30.8,28.8,30.8,,91.0,359,0,978.0,1001.2,0.0,15.0,L
30,NEW_DELHI,NEW_DELHI,2018-08-31,05:00:00,0,0,31.6,30.8,31.7,,89.0,359,0,978.3,1001.4,0.0,15.0,L
31,NEW_DELHI,NEW_DELHI,2018-08-31,06:00:00,0,0,32.3,31.5,32.3,,87.0,359,0,978.1,1001.1,0.0,15.2,L
32,NEW_DELHI,NEW_DELHI,2018-08-31,07:00:00,0,0,32.4,32.3,33.1,,85.0,359,0,977.9,1000.9,0.0,15.0,L
33,NEW_DELHI,NEW_DELHI,2018-08-31,08:00:00,0,0,32.9,32.4,33.2,,79.0,359,0,977.6,1000.6,0.0,15.2,L
34,NEW_DELHI,NEW_DELHI,2018-08-31,09:00:00,0,0,32.8,32.5,32.9,,83.0,359,0,977.3,1000.3,0.0,14.8,L
