S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),WIND DIR (Deg),WIND SPEED (Kt),SLP (hPa),MSLP (hPa/gpm),SUNSHINE (HH.MM),BATTERY (Volts),GPS
1,NORTH_GOA,GOA,2018-08-30,00:00:00,0,0,34.6,33.6,49.9,,100.0,292,2,1002.0,1008.2,4.0,11.4,L
2,NORTH_GOA,GOA,2018-08-30,01:00:00,0,0,46.5,33.8,35.7,,100.0,319,1,1002.3,1008.3,5.0,11.3,L
3,NORTH_GOA,GOA,2018-08-30,02:00:00,0,0,35.5,33.8,46.5,,100.0,319,1,1002.6,1008.8,6.0,11.3,L
4,NORTH_GOA,GOA,2018-08-30,03:00:00,0,0,46.9,34.5,36.9,33.6,100.0,286,2,1003.2,1009.2,7.0,11.2,L
5,NORTH_GOA,GOA,2018-08-30,04:00:00,0,0,37.3,35.1,46.9,,100.0,301,2,1003.6,1009.8,8.0,11.7,L
6,NORTH_GOA,GOA,2018-08-30,05:00:00,0,0,38.9,37.2,39.3,,100.0,269,3,1003.8,1009.9,9.0,11.9,L
7,NORTH_GOA,GOA,2018-08-30,06:00:00,0,0,39.2,37.8,39.4,,100.0,266,3,1003.5,1009.6,10.0,12.0,L
8,NORTH_GOA,GOA,2018-08-30,07:00:00,0,0,,38.1,39.9,,100.0,254,3,1002.9,1008.7,11.0,11.9,L
9,NORTH_GOA,GOA,2018-08-30,08:00:00,0,0,39.4,38.0,,,100.0,272,4,1002.2,1008.3,12.0,12.1,L
10,NORTH_GOA,GOA,2018-08-30,09:00:00,0,0,48.0,34.9,39.7,,100.0,283,2,1001.4,1007.3,13.0,11.8,L
11,NORTH_GOA,GOA,2018-08-30,10:00:00,0,0,48.6,34.9,48.0,,100.0,275,4,1001.1,1007.0,14.0,11.8,L
12,NORTH_GOA,GOA,2018-08-30,11:00:00,0,0,51.7,35.5,48.6,,100.0,306,3,1000.8,1006.7,15.0,11.8,L
13,NORTH_GOA,GOA,2018-08-30,12:00:00,0,0,48.5,36.3,51.7,,100.0,304,2,1001.0,1006.9,16.0,11.7,L
14,NORTH_GOA,GOA,2018-08-30,13:00:00,0,0,51.5,35.2,48.5,,100.0,298,3,1001.2,1007.1,17.0,11.7,L
15,NORTH_GOA,GOA,2018-08-30,14:00:00,0,0,51.4,34.9,51.5,,100.0,283,2,1001.8,1007.7,18.0,11.7,L
16,NORTH_GOA,GOA,2018-08-30,15:00:00,0,0,49.3,34.0,51.4,,100.0,332,2,1002.3,1008.2,19.0,11.7,L
17,NORTH_GOA,GOA,2018-08-30,16:00:00,0,0,46.4,33.6,49.3,,100.0,336,4,1002.9,1008.9,20.0,11.7,L
18,NORTH_GOA,GOA,2018-08-30,17:00:00,0,0,46.3,33.5,46.4,,100.0,252,1,1003.5,1009.5,0.31,11.7,L
19,NORTH_GOA,GOA,2018-08-30,18:00:00,0,0,48.0,33.7,46.3,,100.0,16,1,1003.5,1009.5,1.31,11.6,L
20,NORTH_GOA,GOA,2018-08-30,19:00:00,0,0,45.8,33.7,48.0,,100.0,265,1,1003.3,1009.3,2.31,11.6,L
21,NORTH_GOA,GOA,2018-08-30,20:00:00,0,0,45.9,33.9,45.8,,100.0,354,1,1002.8,1008.8,3.31,11.6,L
22,NORTH_GOA,GOA,2018-08-30,21:00:00,0,0,49.3,33.6,45.9,,100.0,17,1,1002.3,1008.2,1.0,11.6,L
23,NORTH_GOA,GOA,2018-08-30,22:00:00,0,0,34.1,33.5,49.3,,100.0,132,1,1001.8,1008.0,2.0,11.6,L
24,NORTH_GOA,GOA,2018-08-30,23:00:00,0,0,34.8,33.7,36.1,,100.0,127,1,1001.9,1008.1,3.0,11.6,L
25,NORTH_GOA,GOA,2018-08-31,00:00:00,0,0,34.9,33.6,36.1,,100.0,124,1,1001.9,1008.1,4.0,11.6,L
26,NORTH_GOA,GOA,2018-08-31,01:00:00,0,0,46.0,33.7,36.1,,100.0,156,1,1002.1,1008.1,5.0,11.6,L
