S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),WIND DIR (Deg),WIND SPEED (Kt),SLP (hPa),MSLP (hPa/gpm),SUNSHINE (HH.MM),BATTERY (Volts),GPS
1,AHMEDABAD,AHMEDABAD,2018-08-30,05:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
2,AHMEDABAD,AHMEDABAD,2018-08-30,06:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
3,AHMEDABAD,AHMEDABAD,2018-08-30,07:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
4,AHMEDABAD,AHMEDABAD,2018-08-30,08:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
5,AHMEDABAD,AHMEDABAD,2018-08-30,09:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
6,AHMEDABAD,AHMEDABAD,2018-08-30,10:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
7,AHMEDABAD,AHMEDABAD,2018-08-30,11:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
8,AHMEDABAD,AHMEDABAD,2018-08-31,04:00:00,0,0,0.0,,,,88.0,16,1,963.2,969.8,0.0,0.0,L
9,AHMEDABAD,AHMEDABAD,2018-08-31,05:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
10,AHMEDABAD,AHMEDABAD,2018-08-31,06:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
11,AHMEDABAD,AHMEDABAD,2018-08-31,07:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
12,AHMEDABAD,AHMEDABAD,2018-08-31,08:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
13,AHMEDABAD,AHMEDABAD,2018-08-31,09:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
14,AHMEDABAD,AHMEDABAD,2018-08-31,10:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
15,AHMEDABAD,AHMEDABAD,2018-08-31,11:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
16,AHMEDABAD,AHMEDABAD,2018-08-31,12:00:00,0,0,0.0,0.0,0.0,0.0,,0,0,,,0.0,0.0,L
17,AHMEDABAD,AHMEDABAD,2018-08-31,13:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
18,AHMEDABAD,AHMEDABAD,2018-08-31,14:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
19,AHMEDABAD,AHMEDABAD,2018-08-31,15:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
20,AHMEDABAD,AHMEDABAD,2018-09-01,03:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
21,AHMEDABAD,AHMEDABAD,2018-09-01,04:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
22,AHMEDABAD,AHMEDABAD,2018-09-01,05:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
23,AHMEDABAD,AHMEDABAD,2018-09-01,06:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
24,AHMEDABAD,AHMEDABAD,2018-09-01,07:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
25,AHMEDABAD,AHMEDABAD,2018-09-01,08:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
26,AHMEDABAD,AHMEDABAD,2018-09-01,09:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
27,AHMEDABAD,AHMEDABAD,2018-09-01,10:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
28,AHMEDABAD,AHMEDABAD,2018-09-01,11:00:00,0,0,0.0,0.0,0.0,,,0,0,,,0.0,0.0,L
29,AHMEDABAD,AHMEDABAD,2018-09-01,12:00:00,0,0,0.0,0.0,0.0,0.0,,0,0,,,0.0,0.0,L
