S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),WIND DIR (Deg),WIND SPEED (Kt),SLP (hPa),MSLP (hPa/gpm),SUNSHINE (HH.MM),BATTERY (Volts),GPS
1,FARIDABAD,BOPANI,2018-08-30,02:00:00,0,0.0,27.3,27.1,27.4,,100.0,286,0,,,0.0,14.2,L
2,FARIDABAD,BOPANI,2018-08-30,02:30:00,0,0.0,27.7,27.4,27.8,,100.0,271,0,,,0.0,14.2,L
3,FARIDABAD,BOPANI,2018-08-30,03:00:00,0,0.0,28.2,27.4,28.2,,100.0,313,0,,,0.0,14.5,L
4,FARIDABAD,BOPANI,2018-08-30,03:30:00,0,0.0,29.0,28.1,29.0,,100.0,298,0,,,0.0,14.5,L
5,FARIDABAD,BOPANI,2018-08-30,04:00:00,0,0.0,29.4,28.1,29.5,,100.0,298,0,,,0.0,14.6,L
6,FARIDABAD,BOPANI,2018-08-30,04:30:00,0,0.0,30.0,29.5,30.2,,100.0,260,0,,,0.0,14.6,L
7,FARIDABAD,BOPANI,2018-08-30,05:00:00,0,0.0,30.6,29.5,30.6,,100.0,262,0,,,0.0,14.9,L
8,FARIDABAD,BOPANI,2018-08-30,05:30:00,0,0.0,30.9,30.5,31.0,,100.0,251,0,,,0.0,14.9,L
9,FARIDABAD,BOPANI,2018-08-30,06:00:00,0,0.0,31.2,30.5,31.7,,100.0,228,0,,,0.0,15.2,L
10,FARIDABAD,BOPANI,2018-08-30,06:30:00,0,0.0,32.0,31.1,32.1,,100.0,299,0,,,0.0,15.2,L
11,FARIDABAD,BOPANI,2018-08-30,07:00:00,0,0.0,32.4,31.1,32.4,,99.0,295,0,,,0.0,15.2,L
12,FARIDABAD,BOPANI,2018-08-30,07:30:00,0,0.0,32.6,32.1,32.7,,95.0,279,0,,,0.0,15.2,L
13,FARIDABAD,BOPANI,2018-08-30,08:00:00,0,0.0,33.2,32.1,33.4,,94.0,298,0,,,0.0,15.2,L
14,FARIDABAD,BOPANI,2018-08-30,08:30:00,0,0.0,33.2,32.9,33.4,,92.0,280,0,,,0.0,15.2,L
15,FARIDABAD,BOPANI,2018-08-30,09:00:00,0,0.0,33.5,32.9,33.8,,89.0,305,0,,,0.0,15.2,L
