S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),WIND DIR (Deg),WIND SPEED (Kt),SLP (hPa),MSLP (hPa/gpm),SUNSHINE (HH.MM),BATTERY (Volts),GPS
1,BILASPUR,BILASPUR_HP,2018-08-30,00:00:00,0,0,23.8,23.6,23.8,,43.0,340,2,945.3,1002.0,0.0,12.7,L
2,BILASPUR,BILASPUR_HP,2018-08-30,01:00:00,0,0,23.7,23.5,23.7,,43.0,337,1,945.1,1001.8,0.0,12.6,L
3,BILASPUR,BILASPUR_HP,2018-08-30,02:00:00,0,0,24.1,23.6,24.0,,43.0,332,1,945.6,1002.3,0.0,12.6,L
4,BILASPUR,BILASPUR_HP,2018-08-30,06:00:00,0,0,25.4,24.9,28.4,,43.0,265,1,943.2,999.5,1.26,14.2,L
5,BILASPUR,BILASPUR_HP,2018-08-30,07:00:00,0,0,26.3,25.3,26.2,,43.0,359,0,945.8,1002.0,1.33,14.2,L
6,BILASPUR,BILASPUR_HP,2018-08-30,17:00:00,0,0,25.7,25.5,25.9,,43.0,95,2,943.6,999.8,5.35,12.7,L
7,BILASPUR,BILASPUR_HP,2018-08-30,20:00:00,0,0,24.2,24.0,24.4,,43.0,312,0,944.2,1000.8,5.35,12.7,L
8,BILASPUR,BILASPUR_HP,2018-08-30,21:00:00,0,0,24.0,23.7,24.1,,43.0,289,2,944.0,1000.6,0.0,12.6,L
9,BILASPUR,BILASPUR_HP,2018-08-30,22:00:00,0,0,23.8,23.6,23.9,,43.0,268,1,944.2,1000.8,0.0,12.6,L
10,BILASPUR,BILASPUR_HP,2018-08-30,23:00:00,0,0,23.6,23.4,23.8,,43.0,226,1,943.5,1000.1,0.0,12.6,L
11,BILASPUR,BILASPUR_HP,2018-08-31,00:00:00,0,0,23.7,23.3,23.6,,43.0,231,1,943.3,999.9,0.0,12.7,L
12,BILASPUR,BILASPUR_HP,2018-08-31,01:00:00,0,0,23.6,23.3,23.6,,43.0,9,0,944.0,1000.7,0.0,12.7,L
13,BILASPUR,BILASPUR_HP,2018-08-31,02:00:00,0,0,24.1,23.5,24.1,,43.0,160,1,944.2,1000.8,0.0,12.8,L
14,BILASPUR,BILASPUR_HP,2018-08-31,03:00:00,0,0,24.4,24.0,24.4,23.3,43.0,162,0,945.6,1002.2,0.0,13.0,L
15,BILASPUR,BILASPUR_HP,2018-08-31,04:00:00,0,0,24.0,23.8,24.7,,43.0,348,2,946.3,1003.0,0.0,13.2,L
16,BILASPUR,BILASPUR_HP,2018-08-31,05:00:00,0,0,25.8,23.8,25.8,,44.0,353,0,900.0,953.6,0.21,14.2,L
17,BILASPUR,BILASPUR_HP,2018-08-31,13:00:00,0,0,28.1,27.9,29.5,,44.0,150,2,943.9,999.7,5.51,13.0,L
