S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),WIND DIR (Deg),WIND SPEED (Kt),SLP (hPa),MSLP (hPa/gpm),SUNSHINE (HH.MM),BATTERY (Volts),GPS
1,BOKARO,BOKARO,2018-08-30,00:00:00,0,0,25.4,25.4,25.5,,,359,0,970.7,1002.3,0.0,12.6,L
2,BOKARO,BOKARO,2018-08-30,01:00:00,0,0,25.8,25.4,25.8,,,359,0,971.2,1002.7,0.0,12.9,L
3,BOKARO,BOKARO,2018-08-30,02:00:00,0,0,28.1,25.8,28.1,,99.0,359,0,971.4,1002.7,0.3,13.6,L
4,BOKARO,BOKARO,2018-08-30,03:00:00,0,0,31.0,28.1,31.1,,88.0,359,0,971.8,1002.8,1.3,14.4,L
5,BOKARO,BOKARO,2018-08-30,04:00:00,0,0,31.7,31.2,33.2,,82.0,359,0,971.8,1002.7,2.3,14.4,L
6,BOKARO,BOKARO,2018-08-30,05:00:00,0,0,33.3,31.5,33.3,,75.0,359,0,971.2,1002.0,3.3,14.4,L
7,BOKARO,BOKARO,2018-08-30,06:00:00,0,0,32.9,32.5,33.5,,78.0,359,0,970.5,1001.3,4.3,14.4,L
8,BOKARO,BOKARO,2018-08-30,07:00:00,0,0,32.8,32.6,33.2,,78.0,359,0,969.7,1000.5,5.3,14.4,L
9,BOKARO,BOKARO,2018-08-30,08:00:00,0,0,32.4,30.5,32.6,,81.0,359,0,968.8,999.6,6.3,14.4,L
10,BOKARO,BOKARO,2018-08-30,09:00:00,0,0,29.1,29.0,32.4,,96.0,359,0,968.5,999.6,7.02,14.4,L
11,BOKARO,BOKARO,2018-08-30,10:00:00,0,0,29.3,28.1,29.4,,95.0,359,0,967.9,999.0,7.15,14.4,L
12,BOKARO,BOKARO,2018-08-30,11:00:00,0,0,29.5,29.2,29.6,,99.0,359,0,968.5,999.6,7.24,14.4,L
13,BOKARO,BOKARO,2018-08-30,12:00:00,0,0,28.3,28.2,29.7,33.5,99.0,359,0,968.8,1000.0,7.24,13.3,L
14,BOKARO,BOKARO,2018-08-30,13:00:00,0,0,27.3,27.2,28.2,,99.0,359,0,969.5,1000.8,7.24,13.0,L
15,BOKARO,BOKARO,2018-08-30,14:00:00,0,0,26.6,26.5,27.3,,99.0,359,0,970.1,1001.5,7.24,12.8,L
16,BOKARO,BOKARO,2018-08-30,15:00:00,0,0,26.2,26.2,26.6,,99.0,359,0,970.7,1002.2,7.24,12.7,L
17,BOKARO,BOKARO,2018-08-30,16:00:00,0,0,25.8,25.7,26.2,,99.0,359,0,971.3,1002.8,7.24,12.7,L
18,BOKARO,BOKARO,2018-08-30,17:00:00,0,0,25.7,25.6,25.7,,99.0,359,0,971.6,1003.2,7.24,12.7,L
19,BOKARO,BOKARO,2018-08-30,18:00:00,0,0,25.8,25.6,25.8,,99.0,359,0,971.7,1003.3,7.24,12.6,L
20,BOKARO,BOKARO,2018-08-30,19:00:00,0,0,25.6,25.5,25.8,,99.0,359,0,971.1,1002.7,7.24,12.7,L
21,BOKARO,BOKARO,2018-08-30,20:00:00,0,0,25.4,25.4,25.7,,99.0,359,0,971.2,1002.8,7.24,12.7,L
