S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),WIND DIR (Deg),WIND SPEED (Kt),SLP (hPa),MSLP (hPa/gpm),SUNSHINE (HH.MM),BATTERY (Volts),GPS
1,AMRITSAR,AMRITSAR,2018-08-30,00:00:00,0.0,0,28.5,28.4,28.7,,100.0,359,0,974.5,999.5,0.0,12.5,L
2,AMRITSAR,AMRITSAR,2018-08-30,00:20:00,0.0,0,28.3,28.3,28.5,,100.0,359,0,974.6,999.7,0.0,12.5,L
3,AMRITSAR,AMRITSAR,2018-08-30,00:40:00,0.0,0,28.2,28.1,28.5,,100.0,359,0,974.5,999.6,0.0,12.5,L
4,AMRITSAR,AMRITSAR,2018-08-30,01:00:00,0.0,0,28.3,28.1,28.5,,100.0,359,0,974.6,999.7,0.0,12.5,L
5,AMRITSAR,AMRITSAR,2018-08-30,01:20:00,0.0,0,28.2,28.2,28.5,,100.0,359,0,974.9,1000.0,0.0,12.5,L
6,AMRITSAR,AMRITSAR,2018-08-30,01:40:00,0.0,0,28.6,28.2,28.7,,100.0,359,0,975.1,1000.1,0.01,12.5,L
7,AMRITSAR,AMRITSAR,2018-08-30,02:00:00,0.0,0,29.0,28.2,29.1,,100.0,359,0,975.1,1000.1,0.2,12.8,L
8,AMRITSAR,AMRITSAR,2018-08-30,02:20:00,0.0,0,29.4,29.0,29.5,,100.0,359,0,975.0,1000.0,0.41,12.8,L
9,AMRITSAR,AMRITSAR,2018-08-30,02:40:00,0.0,0,29.7,29.0,29.8,,100.0,359,0,975.0,999.9,1.01,12.8,L
10,AMRITSAR,AMRITSAR,2018-08-30,03:00:00,0.0,0,30.1,29.0,30.1,28.1,100.0,359,0,974.9,999.8,1.2,13.5,L
11,AMRITSAR,AMRITSAR,2018-08-30,03:20:00,0.0,0,31.1,30.2,31.2,,100.0,359,0,975.0,999.8,1.41,13.5,L
