S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),WIND DIR (Deg),WIND SPEED (Kt),SLP (hPa),MSLP (hPa/gpm),SUNSHINE (HH.MM),BATTERY (Volts),GPS
1,NORTH_SIKKIM,MANGAN,2018-08-30,00:00:00,0,0,20.6,20.4,20.6,,100.0,131,0,874.9,997.8,0.0,12.2,L
2,NORTH_SIKKIM,MANGAN,2018-08-30,01:00:00,0,0,20.4,20.2,20.6,,100.0,57,0,875.2,1000.2,0.0,12.3,L
3,NORTH_SIKKIM,MANGAN,2018-08-30,02:00:00,0,0,20.9,20.4,21.0,,100.0,70,0,875.6,996.2,0.0,12.4,L
4,NORTH_SIKKIM,MANGAN,2018-08-30,03:00:00,0,0,21.3,20.8,21.5,20.2,100.0,72,0,876.2,993.6,0.44,12.8,L
5,NORTH_SIKKIM,MANGAN,2018-08-30,04:00:00,0,0,22.3,21.2,22.5,,100.0,136,0,876.2,984.3,1.44,13.1,L
6,NORTH_SIKKIM,MANGAN,2018-08-30,05:00:00,0,0,23.4,22.5,23.7,,100.0,78,0,876.1,974.0,2.44,13.2,L
7,NORTH_SIKKIM,MANGAN,2018-08-30,06:00:00,0,0,23.3,23.0,23.6,,100.0,32,1,875.2,973.2,3.44,13.2,L
8,NORTH_SIKKIM,MANGAN,2018-08-30,07:00:00,0,0,26.1,23.5,26.6,,100.0,89,0,873.9,944.3,4.44,14.7,L
9,NORTH_SIKKIM,MANGAN,2018-08-30,08:00:00,0,0,27.0,26.3,27.2,,100.0,182,0,872.8,933.3,5.44,15.1,L
10,NORTH_SIKKIM,MANGAN,2018-08-30,09:00:00,0,0,27.7,26.1,27.8,,96.0,241,0,871.9,924.6,6.44,15.2,L
11,NORTH_SIKKIM,MANGAN,2018-08-30,10:00:00,0,0,26.7,26.4,28.2,,100.0,136,0,871.6,933.5,7.44,14.8,L
12,NORTH_SIKKIM,MANGAN,2018-08-30,11:00:00,0,0,24.6,24.6,27.0,,100.0,106,0,871.9,954.3,8.35,13.8,L
13,NORTH_SIKKIM,MANGAN,2018-08-30,12:00:00,0,0,23.8,23.7,24.6,28.2,100.0,147,0,872.6,963.4,8.35,12.9,L
14,NORTH_SIKKIM,MANGAN,2018-08-30,13:00:00,0,0,23.1,23.0,23.9,,100.0,128,0,873.3,971.4,8.35,12.5,U
15,NORTH_SIKKIM,MANGAN,2018-08-30,14:00:00,0,0,22.6,22.6,23.0,,100.0,165,0,874.2,977.8,8.35,12.5,L
16,NORTH_SIKKIM,MANGAN,2018-08-30,15:00:00,0,0,22.0,22.0,22.6,,100.0,113,0,875.2,985.3,8.35,12.4,L
17,NORTH_SIKKIM,MANGAN,2018-08-30,16:00:00,0,0,21.7,21.5,22.0,,100.0,163,0,875.7,989.0,8.35,12.4,L
