S NO.,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAIN HOURLY CUMULATIVE (mm),RAIN DAY CUMULATIVE SINCE 0300 UTC (mm),TEMP ('C),TEMP MIN HOURLY ('C),TEMP MAX HOURLY ('C),TEMP DAY MIN MAX ('C),RH (%),WIND DIR (Deg),WIND SPEED (Kt),SLP (hPa),MSLP (hPa/gpm),SUNSHINE (HH.MM),BATTERY (Volts),GPS
1,SOUTH_TRIPURA,GOKULPUR,2018-09-04,04:00:00,0,0,,,,,35,127,2,1025.2,1030.3,0.0,12.1,L
2,SOUTH_TRIPURA,GOKULPUR,2018-09-04,05:00:00,0,0,,,,,35,124,4,1024.3,1029.4,0.0,13.0,L
3,SOUTH_TRIPURA,GOKULPUR,2018-09-04,06:00:00,0,0,,,,,34,239,3,1023.8,1028.9,0.0,12.0,L
4,SOUTH_TRIPURA,GOKULPUR,2018-09-04,07:00:00,0,0,,,,,35,133,1,1022.9,1028.0,0.0,13.0,L
5,SOUTH_TRIPURA,GOKULPUR,2018-09-04,08:00:00,0,0,,,,,34,218,2,1021.7,1026.8,0.0,12.9,L
6,SOUTH_TRIPURA,GOKULPUR,2018-09-04,09:00:00,0,0,,,,,34,236,2,1020.8,1025.9,0.0,11.9,L
7,SOUTH_TRIPURA,GOKULPUR,2018-09-05,04:00:00,0,0,,,,,37,192,3,1024.1,1029.2,0.0,12.0,L
8,SOUTH_TRIPURA,GOKULPUR,2018-09-05,05:00:00,0,103,,,,,36,162,2,1023.5,1028.6,0.0,12.2,L
9,SOUTH_TRIPURA,GOKULPUR,2018-09-05,06:00:00,0,0,,,,,36,208,2,1022.6,1027.7,0.0,12.0,L
10,SOUTH_TRIPURA,GOKULPUR,2018-09-05,07:00:00,0,0,,,,,36,183,4,1021.7,1026.8,0.0,12.9,L
11,SOUTH_TRIPURA,GOKULPUR,2018-09-05,08:00:00,0,0,,,,,35,235,3,1020.9,1026.0,0.0,11.6,L
12,SOUTH_TRIPURA,GOKULPUR,2018-09-05,09:00:00,0,0,,,,,35,218,2,1019.7,1024.8,0.0,12.4,L
